Source,topic_int,labels_layer,topic_names
Pro Media,26,26_electr_wind_energi_island,26_electr_wind_energi_island
Pro Media,26,26_electr_wind_energi_island,26_electr_wind_energi_island
Pro Media,9,9_island_bornholm_sea_energi,9_island_bornholm_sea_energi
Pro Media,36,36_price_zone_connect_electr,36_price_zone_connect_electr
Pro Media,9,9_island_bornholm_sea_energi,9_island_bornholm_sea_energi
Pro Media,34,34_wind_bornholm_energi_island,34_wind_bornholm_energi_island
Pro Media,41,41_error_muffler_power_energi,41_error_muffler_power_energi
Pro Media,0,0_bornholm_green_energi_baltic,0_bornholm_green_energi_baltic
Pro Media,33,33_energi_project_wind_offshor,33_energi_project_wind_offshor
Pro Media,12,12_co2_materi_ga_system,12_co2_materi_ga_system
Pro Media,3,3_grid_power_harmon_convert,3_grid_power_harmon_convert
Pro Media,33,33_energi_project_wind_offshor,33_energi_project_wind_offshor
Pro Media,41,41_error_muffler_power_energi,41_error_muffler_power_energi
Pro Media,26,26_electr_wind_energi_island,26_electr_wind_energi_island
Pro Media,-1,Noise,Noise
Pro Media,3,3_grid_power_harmon_convert,3_grid_power_harmon_convert
Pro Media,12,12_co2_materi_ga_system,12_co2_materi_ga_system
Pro Media,12,12_co2_materi_ga_system,12_co2_materi_ga_system
Pro Media,22,22_agreement_bornholm_energi_project,22_agreement_bornholm_energi_project
Pro Media,8,8_offshor_grid_wind_billion,8_offshor_grid_wind_billion
Pro Media,22,22_agreement_bornholm_energi_project,22_agreement_bornholm_energi_project
Pro Media,9,9_island_bornholm_sea_energi,9_island_bornholm_sea_energi
Pro Media,10,10_bornholm_island_energi_sea,10_bornholm_island_energi_sea
Pro Media,2,2_offshor_energi_wind_grid,2_offshor_energi_wind_grid
Pro Media,5,5_wind_bornholm_energi_island,5_wind_bornholm_energi_island
Pro Media,34,34_wind_bornholm_energi_island,34_wind_bornholm_energi_island
Pro Media,2,2_offshor_energi_wind_grid,2_offshor_energi_wind_grid
