Source,topic_int,labels_layer,topic_names
Pro Media,35,35_water_wind_nordsen_af,35_water_wind_nordsen_af
Pro Media,18,18_energi_island_project_nuclear,18_energi_island_project_nuclear
Pro Media,37,37_ship_island_tonn_sea,37_ship_island_tonn_sea
Pro Media,43,43_co2_climat_2030_bioga,43_co2_climat_2030_bioga
Pro Media,19,19_island_energi_sea_det,19_island_energi_sea_det
Pro Media,29,29_color_nuclear_wind_energi,29_color_nuclear_wind_energi
Pro Media,-1,Noise,Noise
Pro Media,-1,Noise,Noise
Pro Media,10,10_energi_island_agreement_dkk,10_energi_island_agreement_dkk
Pro Media,-1,Noise,Noise
Pro Media,41,41_af_en_og_regeringsgrundlaget,41_af_en_og_regeringsgrundlaget
Pro Media,41,41_af_en_og_regeringsgrundlaget,41_af_en_og_regeringsgrundlaget
Pro Media,35,35_water_wind_nordsen_af,35_water_wind_nordsen_af
Pro Media,19,19_island_energi_sea_det,19_island_energi_sea_det
Pro Media,43,43_co2_climat_2030_bioga,43_co2_climat_2030_bioga
Pro Media,-1,Noise,Noise
Pro Media,10,10_energi_island_agreement_dkk,10_energi_island_agreement_dkk
Pro Media,10,10_energi_island_agreement_dkk,10_energi_island_agreement_dkk
Pro Media,19,19_island_energi_sea_det,19_island_energi_sea_det
Pro Media,-1,Noise,Noise
Pro Media,28,28_til_og_danmark_sweco,28_til_og_danmark_sweco
Pro Media,37,37_ship_island_tonn_sea,37_ship_island_tonn_sea
Pro Media,25,25_price_energinet_electr_island,25_price_energinet_electr_island
Pro Media,33,33_vi_er_det_og,33_vi_er_det_og
Pro Media,43,43_co2_climat_2030_bioga,43_co2_climat_2030_bioga
Pro Media,40,40_fund_energi_rsted_receiv,40_fund_energi_rsted_receiv
Pro Media,-1,Noise,Noise
Pro Media,19,19_island_energi_sea_det,19_island_energi_sea_det
Pro Media,40,40_fund_energi_rsted_receiv,40_fund_energi_rsted_receiv
Pro Media,19,19_island_energi_sea_det,19_island_energi_sea_det
Pro Media,28,28_til_og_danmark_sweco,28_til_og_danmark_sweco
Pro Media,43,43_co2_climat_2030_bioga,43_co2_climat_2030_bioga
Pro Media,43,43_co2_climat_2030_bioga,43_co2_climat_2030_bioga
Pro Media,32,32_til_og_sweco_danmark,32_til_og_sweco_danmark
Pro Media,-1,Noise,Noise
Pro Media,26,26_transmiss_grid_offshor_system,26_transmiss_grid_offshor_system
