Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
pro,5,7.804473,1.5777768,energi island wind turbin wind power district heat lower box,energi island wind offshor electr
pro,5,8.110836,1.4315892,energi island wind turbin wind power district heat lower box,energi island wind offshor electr
pro,1,6.9819274,0.81111574,energi island north sea island north island north sea energi island north,energi island sea wind connect
pro,0,7.6026945,2.1351767,wind turbin offshor wind nuclear power tej vegg open door,wind energi offshor area project
pro,5,8.49099,0.98590434,energi island wind turbin wind power district heat lower box,energi island wind offshor electr
pro,0,8.688272,4.1048965,wind turbin offshor wind nuclear power tej vegg open door,wind energi offshor area project
pro,2,9.721891,4.5558734,green power natur ga hydrogen produc wave power 70 percent target,energi green power hydrogen wind
pro,3,10.308671,5.142189,million tonn million ton co2 emiss dkk million climat act,co2 climat energi green 2030
pro,3,9.6406555,4.6270084,million tonn million ton co2 emiss dkk million climat act,co2 climat energi green 2030
pro,5,8.367898,1.5009542,energi island wind turbin wind power district heat lower box,energi island wind offshor electr
pro,5,8.174101,1.7058877,energi island wind turbin wind power district heat lower box,energi island wind offshor electr
pro,5,8.522313,1.6497785,energi island wind turbin wind power district heat lower box,energi island wind offshor electr
pro,5,8.359322,1.2659056,energi island wind turbin wind power district heat lower box,energi island wind offshor electr
pro,0,8.063337,4.350445,wind turbin offshor wind nuclear power tej vegg open door,wind energi offshor area project
pro,3,10.420983,5.273315,million tonn million ton co2 emiss dkk million climat act,co2 climat energi green 2030
pro,3,10.375288,5.108008,million tonn million ton co2 emiss dkk million climat act,co2 climat energi green 2030
pro,1,6.8094983,0.5464079,energi island north sea island north island north sea energi island north,energi island sea wind connect
pro,2,9.728995,3.7562819,green power natur ga hydrogen produc wave power 70 percent target,energi green power hydrogen wind
pro,1,6.792765,0.5960482,energi island north sea island north island north sea energi island north,energi island sea wind connect
pro,1,7.3009577,0.51109374,energi island north sea island north island north sea energi island north,energi island sea wind connect
pro,5,8.511471,1.1628212,energi island wind turbin wind power district heat lower box,energi island wind offshor electr
pro,4,7.9287844,0.29051897,energiø bornholm energiø north energiø north sea busi case energi island,energi island project billion say
pro,5,8.084259,0.7800747,energi island wind turbin wind power district heat lower box,energi island wind offshor electr
pro,5,8.389972,0.6786902,energi island wind turbin wind power district heat lower box,energi island wind offshor electr
pro,1,7.3510594,0.7747187,energi island north sea island north island north sea energi island north,energi island sea wind connect
pro,3,10.251463,5.0082903,million tonn million ton co2 emiss dkk million climat act,co2 climat energi green 2030
pro,5,8.618694,1.2199124,energi island wind turbin wind power district heat lower box,energi island wind offshor electr
pro,2,9.891568,3.8736534,green power natur ga hydrogen produc wave power 70 percent target,energi green power hydrogen wind
pro,1,7.212203,0.6936558,energi island north sea island north island north sea energi island north,energi island sea wind connect
pro,0,8.082073,3.6613076,wind turbin offshor wind nuclear power tej vegg open door,wind energi offshor area project
pro,1,7.1633024,0.4732813,energi island north sea island north island north sea energi island north,energi island sea wind connect
pro,1,7.2978716,0.4952498,energi island north sea island north island north sea energi island north,energi island sea wind connect
pro,1,6.468202,0.9922053,energi island north sea island north island north sea energi island north,energi island sea wind connect
pro,4,7.8007135,0.39855388,energiø bornholm energiø north energiø north sea busi case energi island,energi island project billion say
pro,1,6.65561,0.90826535,energi island north sea island north island north sea energi island north,energi island sea wind connect
pro,5,7.993388,0.7618876,energi island wind turbin wind power district heat lower box,energi island wind offshor electr
pro,2,9.272172,4.525035,green power natur ga hydrogen produc wave power 70 percent target,energi green power hydrogen wind
pro,1,7.2484517,0.19733879,energi island north sea island north island north sea energi island north,energi island sea wind connect
pro,3,10.514986,5.207213,million tonn million ton co2 emiss dkk million climat act,co2 climat energi green 2030
pro,0,7.1437473,2.0388436,wind turbin offshor wind nuclear power tej vegg open door,wind energi offshor area project
pro,3,10.115057,4.185474,million tonn million ton co2 emiss dkk million climat act,co2 climat energi green 2030
pro,2,9.369557,4.193568,green power natur ga hydrogen produc wave power 70 percent target,energi green power hydrogen wind
pro,0,7.716619,2.1965969,wind turbin offshor wind nuclear power tej vegg open door,wind energi offshor area project
pro,1,6.9404626,0.19048744,energi island north sea island north island north sea energi island north,energi island sea wind connect
pro,1,6.9472036,0.3708266,energi island north sea island north island north sea energi island north,energi island sea wind connect
