Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
pro,0,7.804473,1.5777768,energi island offshor wind north sea,energi island wind
pro,0,7.674091,1.4953603,energi island offshor wind north sea,energi island wind
pro,0,6.8590093,1.6281887,energi island offshor wind north sea,energi island wind
pro,0,8.110836,1.4315892,energi island offshor wind north sea,energi island wind
pro,0,6.9819274,0.81111574,energi island offshor wind north sea,energi island wind
pro,0,7.6026945,2.1351767,energi island offshor wind north sea,energi island wind
pro,0,8.49099,0.98590434,energi island offshor wind north sea,energi island wind
pro,1,9.721891,4.5558734,million tonn nuclear power natur ga,energi climat green
pro,1,10.308671,5.142189,million tonn nuclear power natur ga,energi climat green
pro,1,9.6406555,4.6270084,million tonn nuclear power natur ga,energi climat green
pro,0,8.367898,1.5009542,energi island offshor wind north sea,energi island wind
pro,0,8.174101,1.7058877,energi island offshor wind north sea,energi island wind
pro,0,8.522313,1.6497785,energi island offshor wind north sea,energi island wind
pro,0,8.359322,1.2659056,energi island offshor wind north sea,energi island wind
pro,1,8.063337,4.350445,million tonn nuclear power natur ga,energi climat green
pro,1,10.420983,5.273315,million tonn nuclear power natur ga,energi climat green
pro,1,10.375288,5.108008,million tonn nuclear power natur ga,energi climat green
pro,0,6.8094983,0.5464079,energi island offshor wind north sea,energi island wind
pro,0,7.522835,1.0984583,energi island offshor wind north sea,energi island wind
pro,0,6.792765,0.5960482,energi island offshor wind north sea,energi island wind
pro,0,7.3009577,0.51109374,energi island offshor wind north sea,energi island wind
pro,0,8.511471,1.1628212,energi island offshor wind north sea,energi island wind
pro,0,7.9287844,0.29051897,energi island offshor wind north sea,energi island wind
pro,0,8.084259,0.7800747,energi island offshor wind north sea,energi island wind
pro,0,8.389972,0.6786902,energi island offshor wind north sea,energi island wind
pro,0,7.3510594,0.7747187,energi island offshor wind north sea,energi island wind
pro,0,7.510937,0.92436117,energi island offshor wind north sea,energi island wind
pro,1,10.251463,5.0082903,million tonn nuclear power natur ga,energi climat green
pro,0,8.618694,1.2199124,energi island offshor wind north sea,energi island wind
pro,1,9.891568,3.8736534,million tonn nuclear power natur ga,energi climat green
pro,0,7.212203,0.6936558,energi island offshor wind north sea,energi island wind
pro,0,8.082073,3.6613076,energi island offshor wind north sea,energi island wind
pro,0,6.9927464,1.3756806,energi island offshor wind north sea,energi island wind
pro,1,9.834159,2.7859826,million tonn nuclear power natur ga,energi climat green
pro,0,7.1633024,0.4732813,energi island offshor wind north sea,energi island wind
pro,0,7.2978716,0.4952498,energi island offshor wind north sea,energi island wind
pro,0,6.468202,0.9922053,energi island offshor wind north sea,energi island wind
pro,0,7.8007135,0.39855388,energi island offshor wind north sea,energi island wind
pro,0,6.65561,0.90826535,energi island offshor wind north sea,energi island wind
pro,0,7.993388,0.7618876,energi island offshor wind north sea,energi island wind
pro,1,9.272172,4.525035,million tonn nuclear power natur ga,energi climat green
pro,0,7.2484517,0.19733879,energi island offshor wind north sea,energi island wind
pro,1,10.514986,5.207213,million tonn nuclear power natur ga,energi climat green
pro,0,7.1437473,2.0388436,energi island offshor wind north sea,energi island wind
pro,1,10.115057,4.185474,million tonn nuclear power natur ga,energi climat green
pro,1,9.369557,4.193568,million tonn nuclear power natur ga,energi climat green
pro,0,7.716619,2.1965969,energi island offshor wind north sea,energi island wind
pro,0,6.9404626,0.19048744,energi island offshor wind north sea,energi island wind
pro,0,6.9472036,0.3708266,energi island offshor wind north sea,energi island wind
pro,1,8.166783,4.249559,million tonn nuclear power natur ga,energi climat green
pro,0,6.450397,0.7449259,energi island offshor wind north sea,energi island wind
pro,0,6.8769403,0.8365812,energi island offshor wind north sea,energi island wind
pro,0,7.420558,3.0052958,energi island offshor wind north sea,energi island wind
pro,1,10.309835,4.7185802,million tonn nuclear power natur ga,energi climat green
pro,0,6.694924,0.5027123,energi island offshor wind north sea,energi island wind
pro,1,9.590248,4.237551,million tonn nuclear power natur ga,energi climat green
pro,1,10.071684,3.690044,million tonn nuclear power natur ga,energi climat green
pro,1,10.167745,3.7501411,million tonn nuclear power natur ga,energi climat green
pro,1,10.036687,4.0464606,million tonn nuclear power natur ga,energi climat green
pro,1,10.278965,4.132348,million tonn nuclear power natur ga,energi climat green
pro,1,9.733188,4.086909,million tonn nuclear power natur ga,energi climat green
pro,0,8.104824,0.84938604,energi island offshor wind north sea,energi island wind
pro,0,8.322573,3.3200278,energi island offshor wind north sea,energi island wind
pro,0,8.191898,1.5456936,energi island offshor wind north sea,energi island wind
pro,1,9.409846,4.880966,million tonn nuclear power natur ga,energi climat green
pro,0,7.6947446,2.7325928,energi island offshor wind north sea,energi island wind
pro,0,6.2230873,1.2345567,energi island offshor wind north sea,energi island wind
pro,1,9.666616,3.1273463,million tonn nuclear power natur ga,energi climat green
pro,1,7.6667194,3.4175627,million tonn nuclear power natur ga,energi climat green
pro,0,7.969729,2.5150425,energi island offshor wind north sea,energi island wind
pro,1,9.973483,4.467966,million tonn nuclear power natur ga,energi climat green
pro,1,9.710687,5.4205375,million tonn nuclear power natur ga,energi climat green
pro,0,7.999691,3.9257355,energi island offshor wind north sea,energi island wind
pro,1,8.539101,4.8300805,million tonn nuclear power natur ga,energi climat green
