Source,cluster,x,y
pro,0,3.0749934,16.779318
pro,0,2.8053005,16.836605
pro,0,2.3731017,17.222736
pro,0,3.3205662,16.786182
pro,0,2.7732887,17.51859
pro,0,2.533341,16.128826
pro,0,4.02449,16.866062
pro,1,4.999181,15.345919
pro,1,4.04545,14.545305
pro,1,4.67618,12.963194
pro,1,3.6214519,13.262288
pro,0,3.5998704,16.472683
pro,0,3.289348,16.16546
pro,-1,3.7227237,15.209579
pro,0,3.790783,16.796701
pro,1,4.3794885,15.135906
pro,1,4.9565754,13.0681715
pro,1,4.811328,12.867251
pro,0,3.1880925,18.298225
pro,1,3.4337618,13.693915
pro,0,2.5300941,16.717459
pro,0,2.7650063,18.324308
pro,0,3.080328,17.837147
pro,0,3.8190093,16.633
pro,0,3.655347,17.78322
pro,0,3.5182889,16.962267
pro,0,3.9328494,17.215553
pro,0,3.0125606,17.687117
pro,0,2.7936354,17.303068
pro,1,4.425931,13.212946
pro,0,3.8981879,16.672583
pro,1,3.7113998,14.302371
pro,0,2.9606318,18.058289
pro,0,2.8981094,16.505342
pro,0,2.0642073,17.291649
pro,1,3.3022738,14.529682
pro,0,3.145017,17.96867
pro,0,3.1504364,18.082123
pro,0,2.5153542,18.278286
pro,0,3.7175965,18.225119
pro,0,2.3613145,17.772314
pro,0,3.734811,18.116608
pro,1,4.123053,13.734832
pro,0,3.4415474,18.466908
pro,1,4.4802637,12.88719
pro,0,1.8871905,16.833384
pro,1,3.5226731,13.545639
pro,1,2.9103556,13.627168
pro,0,2.382183,16.30114
pro,0,3.2748039,18.607462
pro,0,2.8374362,17.797989
pro,-1,3.8581154,14.953218
pro,0,2.6673186,18.401201
pro,0,2.5598922,16.992376
pro,0,2.5948286,15.890744
pro,1,4.2463007,13.527599
pro,0,2.511983,18.302294
pro,1,3.880897,13.892535
pro,1,3.2197857,14.103435
pro,1,3.6716318,14.453061
pro,1,3.176469,13.850734
pro,1,3.8111963,13.437909
pro,1,3.6806676,14.31102
pro,0,3.5804844,17.388992
pro,-1,3.6642656,15.05346
pro,0,3.5288703,16.407429
pro,1,4.1410418,14.040765
pro,0,2.7611861,15.633474
pro,0,2.2741053,18.232233
pro,1,2.7775595,14.253449
pro,0,3.3756678,15.456122
pro,0,2.3841426,15.572433
pro,1,3.884847,13.095292
pro,1,5.0335894,13.703686
pro,0,3.0846288,16.692846
pro,1,4.973365,14.674195
pro,1,4.36459,13.294431
pro,1,4.4992437,13.052195
pro,0,1.8253055,16.063223
pro,0,1.8815567,16.234943
pro,0,3.5352762,18.28332
pro,1,4.3458385,15.009789
pro,0,2.1167202,15.302419
pro,1,4.539218,14.676217
pro,0,4.0919743,15.416321
pro,1,4.08034,12.892605
pro,1,3.7591805,13.001376
pro,0,4.562007,16.817047
pro,1,4.2631145,12.767986
pro,0,3.4588158,17.729921
pro,1,4.8544025,14.112341
pro,-1,2.6140862,14.679748
pro,0,2.2110236,17.530409
pro,1,2.8108087,14.197043
pro,1,4.263271,13.83139
pro,1,5.0116425,13.582374
pro,1,3.5858374,13.889362
pro,1,4.866021,14.4946575
pro,0,4.401307,16.038324
pro,1,4.7471604,15.712707
pro,0,2.847106,16.347881
pro,0,4.075991,17.48118
pro,0,3.6945782,15.893947
pro,0,2.916717,15.3307905
pro,1,4.8307943,15.659959
pro,0,3.3699193,17.228958
pro,0,3.2183042,14.961767
pro,1,5.174142,15.112365
pro,1,4.598946,14.611105
pro,0,3.2774355,15.631116
pro,0,1.9414679,15.708233
pro,0,2.2673063,15.866345
pro,0,3.1691983,14.929836
pro,0,2.1280131,15.932882
pro,0,2.4495127,18.168999
pro,0,3.896764,16.131445
pro,1,4.7113566,13.8200035
pro,1,3.8046901,13.808444
pro,0,2.989692,18.060858
pro,0,2.4043162,17.660328
pro,1,4.8699803,14.862882
pro,1,4.7463565,15.077844
pro,0,4.147567,15.783238
pro,0,3.4907215,15.970239
pro,1,2.6016576,13.602507
pro,0,3.0833902,18.597414
pro,1,4.328303,14.2961235
pro,1,4.3445926,12.642444
pro,1,3.4609342,14.132393
pro,0,1.7713803,16.372492
pro,0,2.2632766,16.936035
pro,0,4.7121687,16.334898
pro,1,4.2971134,13.879501
pro,0,3.432582,15.516261
pro,0,4.7304206,16.50362
pro,0,2.6720564,16.01816
pro,1,4.28641,13.604864
pro,0,2.847957,16.016514
pro,0,2.1403472,17.385538
pro,0,4.00733,16.631247
pro,0,2.8658469,15.816982
pro,1,2.8848248,14.375967
pro,0,2.326787,15.891724
pro,0,2.9979782,18.542795
pro,0,4.432549,17.228752
pro,0,4.2748733,17.759441
pro,1,2.6467044,13.549494
pro,0,2.7537026,18.035292
pro,0,2.0193534,17.129229
pro,0,3.7175617,17.321154
pro,0,3.7462614,17.72087
pro,0,2.5694852,17.897602
pro,1,4.7435117,14.901517
pro,0,3.2428415,17.58851
pro,0,2.5870626,15.585416
pro,1,3.1074069,13.373667
pro,0,2.4414937,15.411598
pro,1,3.5761352,13.148793
pro,1,4.1730123,13.343863
pro,0,1.9615839,16.41925
pro,1,5.075815,13.814884
pro,1,4.635085,13.774735
pro,0,4.514448,17.255669
pro,0,4.4087977,17.613035
pro,0,3.2241697,15.117624
pro,1,3.7086027,13.564138
pro,1,3.0931933,14.432313
pro,0,4.762917,16.780642
pro,1,4.219326,12.596781
pro,0,3.2477024,17.33125
pro,1,4.783318,13.1905365
pro,0,4.703828,17.075075
pro,1,4.823976,13.675657
pro,0,4.8259277,16.733114
pro,0,4.0773296,15.965149
