Source,cluster,x,y
reg,9,17.336891,4.0271206
reg,17,18.807394,6.267631
reg,5,17.712107,2.3816602
reg,20,17.944302,4.043316
reg,20,17.58136,3.984957
reg,7,14.887934,2.8766685
reg,1,15.1102,3.8336728
reg,-1,15.495573,4.2103295
reg,18,15.6344795,2.9039314
reg,11,16.41121,1.9200964
reg,3,15.832766,2.6926796
reg,7,15.348349,2.9515293
reg,9,17.652168,4.2175875
reg,20,17.155806,3.9053073
reg,12,15.599992,4.05392
reg,15,17.73047,3.1480405
reg,14,16.232452,5.2210126
reg,2,15.2200365,2.3192074
reg,0,15.434295,5.4978013
reg,16,17.26684,5.2645335
reg,3,15.634776,2.5752184
reg,7,15.051318,2.9757922
reg,19,17.202396,3.788056
reg,5,16.784065,2.2775333
reg,17,17.625967,5.810186
reg,1,15.30993,3.7589395
reg,16,17.12004,5.2184124
reg,20,15.03692,3.4375117
reg,10,17.194881,5.1726894
reg,0,16.390291,6.118573
reg,19,15.485477,3.454603
reg,2,15.439378,2.332181
reg,5,15.261487,2.027284
reg,11,15.725293,1.9318728
reg,5,15.203156,2.0518682
reg,0,17.709894,6.2894917
reg,13,16.669575,4.818528
reg,7,15.669978,3.0589485
reg,-1,17.184391,4.6615753
reg,1,16.916546,4.3383517
reg,9,15.133915,3.5830507
reg,7,15.676458,3.0860314
reg,1,17.229706,4.3824487
reg,5,16.00282,2.1978376
reg,13,15.292346,4.438109
reg,12,15.371208,4.029437
reg,13,17.0901,4.9935875
reg,15,18.74771,3.341735
reg,18,14.784953,2.7713807
reg,13,17.056345,4.942313
reg,6,16.773636,3.5715148
reg,13,17.019485,4.942436
reg,20,17.212587,3.9322553
reg,18,15.842751,3.005757
reg,2,16.905497,2.648215
reg,1,17.207748,4.1825566
reg,9,16.289268,3.8582783
reg,6,14.694793,3.0461264
reg,5,16.677698,2.2543495
reg,4,17.385025,4.8597417
reg,-1,16.003885,4.316545
reg,6,15.988083,3.34018
reg,1,19.604925,4.8855667
reg,1,14.841644,3.7353258
reg,1,16.178034,4.1517677
reg,0,19.022942,6.729245
reg,9,15.004515,3.4743927
reg,5,16.982372,2.322744
reg,20,17.712772,4.010461
reg,19,17.055782,3.8069823
reg,5,18.263933,2.5749154
reg,2,17.131926,2.5352168
reg,8,16.4619,5.694317
reg,4,16.879425,4.747083
reg,0,18.965797,6.9951334
reg,20,16.637037,3.7293773
reg,3,14.698435,2.5480812
reg,2,19.019154,2.9484596
reg,5,15.52149,2.155484
reg,3,15.170024,2.638089
reg,1,19.370138,4.8247085
reg,7,15.437519,3.048107
reg,17,16.546097,5.5109386
reg,21,17.065931,2.4369352
reg,21,17.288908,2.505767
reg,16,18.106739,5.538694
reg,18,18.001862,3.369071
reg,13,16.824957,4.879582
reg,13,16.790567,4.813647
reg,19,15.368673,3.3570864
reg,15,19.278961,3.5037587
reg,2,18.255623,2.9010377
reg,2,18.746151,2.8692605
reg,3,15.605501,2.5731764
reg,20,16.4024,3.687995
reg,15,17.137321,3.077538
reg,8,16.10817,5.499136
reg,3,15.350334,2.5335162
reg,14,17.107492,5.472396
reg,2,18.788061,2.801407
reg,2,19.10508,3.030369
reg,21,18.653631,2.7227483
reg,11,17.297403,2.179186
reg,2,18.74856,2.852732
reg,1,15.42364,3.792053
reg,3,16.452509,2.784284
reg,1,16.569216,4.103803
reg,12,16.013617,4.2803893
reg,16,18.974611,5.8699226
reg,18,16.28518,3.0633895
reg,18,18.788794,3.5499942
reg,5,15.071896,2.071075
reg,1,15.171733,3.8716278
reg,9,19.697756,4.6309304
reg,15,14.914798,2.6952188
reg,15,14.813674,2.7283654
reg,18,16.474785,3.0623808
reg,2,19.20122,2.9508219
reg,15,14.789002,2.6151824
reg,3,17.923965,3.1468034
reg,9,15.802621,3.7204301
reg,6,18.62829,4.03673
reg,18,19.069754,3.64008
reg,12,19.421165,5.199519
reg,4,18.258783,5.088342
reg,7,16.748022,3.3823223
reg,5,17.890524,2.4637341
reg,13,19.344202,5.507602
reg,7,18.492361,3.5580766
reg,18,18.34061,3.4995537
reg,6,18.77495,4.021005
reg,10,18.729195,5.526826
reg,13,18.462233,5.3251147
reg,11,17.849955,2.336999
reg,8,14.941593,5.107998
reg,12,17.265379,4.6226516
reg,11,16.391237,2.1437547
reg,2,17.278778,2.6195908
reg,7,14.581439,2.8767931
reg,12,17.291365,4.5229974
reg,1,16.713615,4.183767
reg,21,17.76167,2.59845
reg,21,15.046126,2.1520624
reg,21,15.047631,2.1527221
reg,13,15.847568,4.564143
reg,0,17.562382,6.2115703
reg,16,15.677111,4.790667
reg,3,19.848377,3.4689085
reg,2,18.028837,2.9291484
reg,8,16.58608,5.657088
reg,3,14.801908,2.5807757
reg,1,15.686552,4.026728
reg,1,16.957176,4.1293306
reg,0,16.391144,6.1053386
reg,0,14.916594,5.383898
reg,19,15.283202,3.4151375
reg,0,15.511798,5.6342316
reg,15,19.003878,3.4247003
reg,10,17.229475,5.0858016
reg,3,19.844875,3.4492512
reg,5,18.379116,2.5492172
reg,21,15.151807,2.1921158
reg,0,17.484816,6.770786
reg,3,15.606715,2.7099004
reg,0,15.032342,5.5406976
reg,0,18.941383,6.9443426
reg,-1,18.242878,4.9430566
reg,3,17.713556,2.949534
reg,8,19.04029,6.5303345
reg,0,18.858572,6.990709
reg,0,19.052324,7.004143
reg,14,19.149,6.185201
reg,7,17.648403,3.5333114
reg,9,15.126638,3.6211445
reg,-1,15.29073,4.1223235
reg,0,18.09463,6.5764427
reg,6,17.034016,3.6784
reg,8,18.987617,6.5249557
reg,9,19.160986,4.4254866
reg,9,19.27312,4.5159135
reg,21,17.3305,2.4816077
reg,19,19.639923,4.296862
reg,3,16.675243,2.910124
reg,2,15.646862,2.5359647
reg,6,16.513744,3.4619477
reg,4,19.551577,5.4448576
reg,4,19.254612,5.382916
reg,19,15.981828,3.5040648
reg,18,19.452904,3.6503136
reg,2,19.03964,2.8702729
reg,12,18.972408,5.005392
reg,5,16.6852,2.240337
reg,12,17.693583,4.6494284
reg,19,19.565245,4.3390408
reg,18,17.95383,3.417081
reg,15,19.415854,3.4816623
reg,2,19.308252,3.1332579
reg,6,17.244383,3.6175811
reg,3,18.00449,3.0432224
reg,7,19.200651,3.715402
reg,3,19.467354,3.3490167
reg,15,15.925612,2.9276636
reg,15,15.913643,2.8074617
reg,16,16.588408,5.056263
reg,0,18.969568,6.9154954
reg,21,16.898895,2.4391024
reg,14,17.242182,5.43185
reg,6,18.486044,3.9612303
reg,1,17.395216,4.3956013
reg,5,19.04902,2.589177
reg,15,18.135065,3.3464556
reg,2,17.29367,2.8085551
reg,1,18.202665,4.548698
reg,13,15.66295,4.5150495
reg,6,18.233044,3.9242473
reg,9,18.183657,4.2371306
reg,6,17.6707,3.683729
reg,2,15.476835,2.2804644
reg,11,16.43862,2.0156288
reg,1,17.453646,4.337634
reg,1,17.108095,4.322049
reg,0,18.626673,6.6353703
reg,6,18.303856,3.9670694
reg,21,18.518421,2.6556683
reg,15,18.372831,3.2548988
reg,2,18.29895,2.8393629
reg,8,16.305613,5.659265
reg,3,19.452251,3.3538125
reg,3,19.411726,3.2126234
reg,1,19.35879,4.7600102
reg,3,19.278927,3.1905305
reg,15,15.171085,2.7804675
reg,10,18.99511,5.605468
reg,7,18.778172,3.6337621
reg,21,15.266281,2.1962812
reg,13,15.044612,4.3513613
reg,5,15.458176,2.1319697
reg,13,19.467426,5.5683393
reg,5,15.786,2.2298834
reg,15,18.34088,3.3585465
reg,6,18.428371,3.8291624
reg,1,18.914698,4.616561
reg,4,19.008026,5.3108335
reg,2,15.115456,2.4611511
reg,10,18.945517,5.685745
reg,14,19.029821,6.072548
reg,17,18.457369,6.0705647
reg,10,15.678624,4.677972
reg,20,18.230927,4.119109
reg,1,19.014719,4.847128
reg,4,16.007486,4.495808
reg,14,18.268436,5.8454943
reg,17,18.27053,6.141263
reg,14,18.5395,5.7926884
reg,15,18.600534,3.3702114
reg,16,19.029531,5.859851
reg,13,19.052668,5.4869514
reg,5,17.57049,2.4774272
reg,5,17.63518,2.474797
reg,2,17.634453,2.6369963
reg,14,19.235971,5.986996
reg,18,17.41458,3.3057353
reg,6,17.220287,3.7145274
reg,2,17.653204,2.7156074
reg,18,18.95915,3.5628002
reg,4,17.45955,4.830324
reg,3,19.346165,3.2590098
reg,6,18.946997,4.111347
reg,2,19.135988,3.0086637
reg,2,19.039484,2.9602857
reg,2,19.330511,3.0956454
reg,2,19.144928,2.972388
reg,4,19.460577,5.409812
reg,8,18.305859,6.2444663
reg,7,18.506845,3.5785673
reg,17,18.88087,6.234988
reg,16,18.926168,5.828659
reg,19,18.411943,4.0785174
reg,9,17.240301,4.0072613
reg,10,15.553224,4.583504
reg,1,15.128133,3.8521886
reg,5,18.597775,2.6323965
reg,12,19.453777,5.163831
reg,2,19.30951,3.12725
reg,2,16.094923,2.4394798
reg,0,18.643362,7.053315
reg,7,18.388514,3.7516978
reg,21,18.893187,2.7160227
reg,4,19.37655,5.4651213
reg,4,17.430529,4.8055887
reg,1,18.259933,4.5492263
reg,18,16.638138,3.0901773
reg,-1,16.383045,4.4727697
reg,7,18.398722,3.6317515
reg,4,15.9990835,4.4268165
reg,13,16.083122,4.6033273
reg,20,15.9428,3.6408346
reg,3,16.701918,2.7386878
reg,10,17.683226,5.2733145
reg,3,16.394512,2.7069886
reg,5,16.318731,2.2439067
reg,4,17.251732,4.7658267
reg,0,15.995112,5.825423
reg,12,19.482061,5.2031765
reg,10,19.117554,5.6569266
reg,11,16.383682,2.0532138
reg,11,16.498266,1.8915374
reg,20,15.71198,3.5323074
reg,9,17.080667,3.97841
reg,0,18.309809,6.790674
reg,11,16.440681,1.9115517
reg,4,19.257517,5.4067
reg,7,18.03346,3.5455434
reg,21,18.732388,2.7050087
reg,11,15.786002,2.0498354
reg,16,19.354315,5.90778
reg,10,18.023802,5.397344
reg,0,19.044493,6.781104
reg,3,19.796642,3.2698798
reg,13,18.250628,5.266849
reg,14,14.90967,4.7422485
reg,12,17.444614,4.6789374
reg,8,14.954142,5.1183534
reg,5,17.523823,2.4279277
reg,2,17.723255,2.659801
reg,7,14.781383,2.939478
reg,8,14.780668,5.1914225
reg,3,18.611485,3.2229426
reg,17,14.732683,4.854694
reg,9,18.391571,4.2661834
reg,14,16.16475,5.109772
reg,2,19.152882,2.8573956
reg,4,15.701545,4.34296
reg,10,18.511309,5.4545555
reg,13,16.336348,4.7561398
reg,11,17.25844,2.170697
reg,3,19.697031,3.2677794
reg,3,18.14809,3.1788619
reg,6,18.263224,3.821223
reg,11,16.560268,2.1463387
reg,4,15.717023,4.427586
reg,14,18.945301,6.0755987
reg,3,19.86418,3.380614
reg,3,19.597527,3.3841553
reg,9,16.045523,3.7630131
reg,7,17.681097,3.590597
reg,10,16.427269,4.824891
reg,3,17.250956,2.8522544
reg,0,18.90692,6.6985765
reg,12,18.701544,5.007303
reg,7,15.675266,3.084701
reg,16,15.490231,4.7645564
reg,4,16.563732,4.5542507
reg,21,15.90767,2.3067741
reg,12,18.695011,4.947663
reg,11,15.567596,1.7557006
reg,14,15.03561,4.7242517
