Source,cluster,x,y,topic_name
reg,3,5.0662394,4.607287,green transit green island realli good
reg,14,4.1128874,1.5811361,social democraci social democrat ann thoma
reg,3,5.6531096,4.202651,green transit green island realli good
reg,3,5.7245965,4.2840967,green transit green island realli good
reg,6,6.6834545,6.7542334,offshor wind wind turbin wind farm
reg,6,5.866354,6.5524764,offshor wind wind turbin wind farm
reg,7,5.3541174,6.6343446,baltic sea north sea possibl establish
reg,6,6.420899,6.4925623,offshor wind wind turbin wind farm
reg,5,7.437023,5.9686284,hydrogen product electrolysi plant green fuel
reg,6,6.6515956,6.2985826,offshor wind wind turbin wind farm
reg,7,5.301017,6.6538305,baltic sea north sea possibl establish
reg,6,5.2519784,6.486931,offshor wind wind turbin wind farm
reg,11,3.8714762,5.223422,31 billion 20 billion energiø bornholm
reg,6,7.038646,6.996998,offshor wind wind turbin wind farm
reg,11,3.7368314,5.1810126,31 billion 20 billion energiø bornholm
reg,2,4.1708684,3.6295974,center bornholm busi center labor market
reg,6,7.175385,6.784509,offshor wind wind turbin wind farm
reg,7,5.4407396,6.6269345,baltic sea north sea possibl establish
reg,3,5.4674816,4.149692,green transit green island realli good
reg,6,5.9081726,6.6374254,offshor wind wind turbin wind farm
reg,2,4.306823,3.7414339,center bornholm busi center labor market
reg,6,6.1234555,6.5284286,offshor wind wind turbin wind farm
reg,2,4.2084446,3.700886,center bornholm busi center labor market
reg,11,3.7927485,4.8854933,31 billion 20 billion energiø bornholm
reg,2,4.3166046,4.1149516,center bornholm busi center labor market
reg,6,7.152081,6.7415905,offshor wind wind turbin wind farm
reg,6,7.3170066,7.077307,offshor wind wind turbin wind farm
reg,6,7.3900886,7.069325,offshor wind wind turbin wind farm
reg,6,7.2606344,7.1694,offshor wind wind turbin wind farm
reg,14,4.031385,1.4630046,social democraci social democrat ann thoma
reg,11,4.162673,5.2691164,31 billion 20 billion energiø bornholm
reg,6,6.6721787,6.3531957,offshor wind wind turbin wind farm
reg,2,4.5019064,3.9965572,center bornholm busi center labor market
reg,2,4.547061,4.0852284,center bornholm busi center labor market
reg,6,6.186763,6.604142,offshor wind wind turbin wind farm
reg,2,5.001304,4.117194,center bornholm busi center labor market
reg,5,7.1645613,6.145818,hydrogen product electrolysi plant green fuel
reg,7,5.2350197,6.326312,baltic sea north sea possibl establish
reg,6,5.577411,6.6399126,offshor wind wind turbin wind farm
reg,2,4.3994064,3.940355,center bornholm busi center labor market
reg,6,6.5356803,6.881669,offshor wind wind turbin wind farm
reg,2,4.2658286,3.7793396,center bornholm busi center labor market
reg,2,4.238944,3.8169498,center bornholm busi center labor market
reg,3,5.536737,4.393769,green transit green island realli good
reg,6,6.460876,6.29237,offshor wind wind turbin wind farm
reg,5,7.6499295,5.643216,hydrogen product electrolysi plant green fuel
reg,9,5.0889344,2.0887635,jacob trøst citizen meet mayor jacob trøst
reg,6,6.2071595,6.98283,offshor wind wind turbin wind farm
reg,5,7.264483,5.5357423,hydrogen product electrolysi plant green fuel
reg,2,4.608117,3.896803,center bornholm busi center labor market
reg,7,4.993533,5.992693,baltic sea north sea possibl establish
reg,6,5.8599944,6.5515714,offshor wind wind turbin wind farm
reg,8,4.917419,5.5886774,baltic sea baltic energi baltic energi island
reg,14,4.1754255,1.4636683,social democraci social democrat ann thoma
reg,6,6.1655526,6.669422,offshor wind wind turbin wind farm
reg,3,5.3612604,4.1248116,green transit green island realli good
reg,1,7.434799,3.833864,high voltag voltag station bornholm museum
reg,11,3.9689586,4.9337883,31 billion 20 billion energiø bornholm
reg,14,4.020709,1.4709363,social democraci social democrat ann thoma
reg,6,6.832796,7.033784,offshor wind wind turbin wind farm
reg,1,7.488283,3.4074147,high voltag voltag station bornholm museum
reg,6,7.4861083,7.184745,offshor wind wind turbin wind farm
reg,6,6.942619,6.6754475,offshor wind wind turbin wind farm
reg,6,6.71661,6.5111556,offshor wind wind turbin wind farm
reg,10,7.0081277,4.7005463,electr grid bornholm electr price zone
reg,1,6.9188533,3.3734014,high voltag voltag station bornholm museum
reg,1,7.2607336,2.799304,high voltag voltag station bornholm museum
reg,1,7.2447023,3.698836,high voltag voltag station bornholm museum
reg,1,7.6692667,3.3287723,high voltag voltag station bornholm museum
reg,6,7.1982307,6.635146,offshor wind wind turbin wind farm
reg,6,6.109927,6.01638,offshor wind wind turbin wind farm
reg,11,3.8931377,5.1133876,31 billion 20 billion energiø bornholm
reg,6,7.0915313,7.0916433,offshor wind wind turbin wind farm
reg,1,7.5229077,3.4019275,high voltag voltag station bornholm museum
reg,1,7.6216516,3.0696712,high voltag voltag station bornholm museum
reg,1,7.602379,3.4854355,high voltag voltag station bornholm museum
reg,1,7.429594,3.342902,high voltag voltag station bornholm museum
reg,6,5.949089,6.455235,offshor wind wind turbin wind farm
reg,5,6.89723,6.101064,hydrogen product electrolysi plant green fuel
reg,1,7.085841,3.0837224,high voltag voltag station bornholm museum
reg,6,7.3427043,6.8443165,offshor wind wind turbin wind farm
reg,6,5.7359915,6.5313606,offshor wind wind turbin wind farm
reg,6,6.665861,7.020123,offshor wind wind turbin wind farm
reg,6,6.7260213,7.088897,offshor wind wind turbin wind farm
