Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
sci,10,10.670583,7.014208,hydrogen product green hydrogen green hydrogen product,hydrogen energi offshor
sci,3,9.821272,4.913105,sustain energi long term energi island,energi island system
sci,3,9.315844,5.477508,sustain energi long term energi island,energi island system
sci,6,10.916439,5.2261715,energi secur renew energi energi system,energi system island
sci,1,7.5576005,3.7751398,wind farm offshor wind offshor grid,offshor grid wind
sci,3,8.677895,5.269329,sustain energi long term energi island,energi island system
sci,1,7.5307097,3.4290822,wind farm offshor wind offshor grid,offshor grid wind
sci,10,9.811352,6.786887,hydrogen product green hydrogen green hydrogen product,hydrogen energi offshor
sci,7,7.6117997,5.380052,island microgrid smart grid microgrid structur,energi system power
sci,3,9.540067,5.223676,sustain energi long term energi island,energi island system
sci,10,8.468009,2.1901805,hydrogen product green hydrogen green hydrogen product,hydrogen energi offshor
sci,11,5.805759,5.5128555,time domain hvdc convert domain simul,control system grid
sci,10,10.57363,6.58832,hydrogen product green hydrogen green hydrogen product,hydrogen energi offshor
sci,2,5.1879244,5.756499,sourc convert vsc hvdc hvdc link,offshor grid power
sci,0,9.022599,3.480702,north sea offshor grid baltic sea,offshor grid energi
sci,4,11.270079,5.635448,renew energi small island energi storag,energi island system
sci,12,7.085275,6.3108454,power system critic mode vsc hvdc,system power energi
sci,4,10.800912,6.0405974,renew energi small island energi storag,energi island system
sci,10,10.4082155,6.781669,hydrogen product green hydrogen green hydrogen product,hydrogen energi offshor
sci,6,10.5133505,5.107635,energi secur renew energi energi system,energi system island
sci,9,10.045324,5.9264116,energi system energi storag multi vector,energi system power
sci,6,10.043067,4.323834,energi secur renew energi energi system,energi system island
sci,4,10.974211,5.8584585,renew energi small island energi storag,energi island system
sci,0,9.182287,2.5162487,north sea offshor grid baltic sea,offshor grid energi
sci,5,7.8163705,2.6339183,offshor wind wind power wind farm,wind offshor grid
sci,6,10.223714,4.4743743,energi secur renew energi energi system,energi system island
sci,9,9.192872,6.479503,energi system energi storag multi vector,energi system power
sci,16,5.507248,5.7157516,vsc hvdc fault ride new energi,power system grid
sci,14,11.476258,5.4081144,energi island wave energi energi convers,island energi wind
sci,6,10.545562,4.8207293,energi secur renew energi energi system,energi system island
sci,12,6.629477,5.9009748,power system critic mode vsc hvdc,system power energi
sci,9,8.916233,5.9446964,energi system energi storag multi vector,energi system power
sci,0,9.000261,2.3485365,north sea offshor grid baltic sea,offshor grid energi
sci,7,7.780346,6.0755367,island microgrid smart grid microgrid structur,energi system power
sci,7,7.553483,6.332664,island microgrid smart grid microgrid structur,energi system power
sci,6,10.56018,5.1779313,energi secur renew energi energi system,energi system island
sci,10,10.452405,6.792328,hydrogen product green hydrogen green hydrogen product,hydrogen energi offshor
sci,10,10.656262,6.9086146,hydrogen product green hydrogen green hydrogen product,hydrogen energi offshor
sci,0,9.347959,3.6321702,north sea offshor grid baltic sea,offshor grid energi
sci,1,7.637568,3.2755277,wind farm offshor wind offshor grid,offshor grid wind
sci,14,11.368936,5.7105665,energi island wave energi energi convers,island energi wind
sci,16,5.5660377,5.801267,vsc hvdc fault ride new energi,power system grid
sci,10,10.394182,6.813599,hydrogen product green hydrogen green hydrogen product,hydrogen energi offshor
sci,12,6.05983,6.2098975,power system critic mode vsc hvdc,system power energi
sci,4,10.9774475,5.730683,renew energi small island energi storag,energi island system
sci,3,9.685978,5.26439,sustain energi long term energi island,energi island system
sci,4,11.212696,5.7348423,renew energi small island energi storag,energi island system
sci,13,9.195555,6.6185703,energi island wave energi right reserv,energi island growth
sci,2,4.815978,5.7442694,sourc convert vsc hvdc hvdc link,offshor grid power
sci,12,6.0691195,6.2727838,power system critic mode vsc hvdc,system power energi
sci,4,11.002702,5.8954115,renew energi small island energi storag,energi island system
sci,11,5.430535,5.765471,time domain hvdc convert domain simul,control system grid
sci,15,9.886094,5.9513044,co2 emiss oil ga power hub,energi power offshor
sci,10,10.4522505,6.8579645,hydrogen product green hydrogen green hydrogen product,hydrogen energi offshor
sci,1,7.68748,3.6784637,wind farm offshor wind offshor grid,offshor grid wind
sci,10,10.434523,6.866568,hydrogen product green hydrogen green hydrogen product,hydrogen energi offshor
sci,2,4.9741035,5.7671523,sourc convert vsc hvdc hvdc link,offshor grid power
sci,5,8.104911,2.1874857,offshor wind wind power wind farm,wind offshor grid
sci,10,9.964664,6.8950305,hydrogen product green hydrogen green hydrogen product,hydrogen energi offshor
sci,6,10.725668,5.1794457,energi secur renew energi energi system,energi system island
sci,10,10.587321,6.4358754,hydrogen product green hydrogen green hydrogen product,hydrogen energi offshor
sci,3,8.59246,5.056165,sustain energi long term energi island,energi island system
sci,4,11.405426,6.0272975,renew energi small island energi storag,energi island system
sci,2,5.205398,6.187901,sourc convert vsc hvdc hvdc link,offshor grid power
sci,7,8.263769,5.8205504,island microgrid smart grid microgrid structur,energi system power
sci,8,5.4374533,4.6368923,wind farm wind turbin ac grid,power grid wind
sci,5,8.002134,2.327849,offshor wind wind power wind farm,wind offshor grid
sci,1,8.173224,3.154168,wind farm offshor wind offshor grid,offshor grid wind
sci,9,8.854694,6.0069795,energi system energi storag multi vector,energi system power
sci,6,10.69828,5.0077267,energi secur renew energi energi system,energi system island
sci,9,9.969886,5.2602615,energi system energi storag multi vector,energi system power
sci,15,10.431098,5.7560344,co2 emiss oil ga power hub,energi power offshor
sci,15,10.338368,6.2287464,co2 emiss oil ga power hub,energi power offshor
sci,7,8.14664,6.1129446,island microgrid smart grid microgrid structur,energi system power
sci,15,9.927221,5.8208776,co2 emiss oil ga power hub,energi power offshor
sci,10,10.477201,6.890731,hydrogen product green hydrogen green hydrogen product,hydrogen energi offshor
sci,2,4.92611,6.144091,sourc convert vsc hvdc hvdc link,offshor grid power
sci,10,10.638726,6.83236,hydrogen product green hydrogen green hydrogen product,hydrogen energi offshor
sci,7,8.482098,6.0994415,island microgrid smart grid microgrid structur,energi system power
sci,8,5.256473,4.6787724,wind farm wind turbin ac grid,power grid wind
sci,0,8.745764,3.1073236,north sea offshor grid baltic sea,offshor grid energi
sci,10,10.669793,6.9851184,hydrogen product green hydrogen green hydrogen product,hydrogen energi offshor
sci,14,11.066105,5.0899606,energi island wave energi energi convers,island energi wind
sci,0,8.798134,3.3704097,north sea offshor grid baltic sea,offshor grid energi
sci,5,8.510622,2.0300786,offshor wind wind power wind farm,wind offshor grid
sci,12,6.007384,6.278733,power system critic mode vsc hvdc,system power energi
sci,7,7.753588,6.3280487,island microgrid smart grid microgrid structur,energi system power
sci,5,7.807974,2.527739,offshor wind wind power wind farm,wind offshor grid
sci,4,10.697073,5.497996,renew energi small island energi storag,energi island system
sci,8,5.608277,4.717343,wind farm wind turbin ac grid,power grid wind
sci,14,11.166032,5.431766,energi island wave energi energi convers,island energi wind
