Source,cluster,x,y
sci,7,2.4220872,5.821424
sci,0,6.7359805,3.4859874
sci,5,6.686742,5.411231
sci,8,6.490884,5.673391
sci,1,7.807729,5.2631297
sci,12,4.0764294,4.6960106
sci,17,5.8591194,6.1304297
sci,12,3.9062946,4.313573
sci,2,3.9861584,5.390945
sci,17,4.983387,5.116844
sci,8,6.2361865,5.553407
sci,0,7.0009656,3.3661985
sci,7,2.4677372,6.0931196
sci,7,2.4620376,6.0420294
sci,-1,3.3119252,6.05923
sci,4,7.6636224,4.15904
sci,7,2.7162817,6.4726458
sci,5,5.1420836,4.1295652
sci,11,8.11085,5.6352715
sci,2,5.205271,7.148019
sci,1,7.4403896,5.0014615
sci,0,7.393789,3.7153997
sci,1,6.857091,4.281291
sci,5,6.569636,5.560293
sci,4,5.8053823,3.4699893
sci,1,8.032294,5.4090858
sci,0,5.5266232,2.479938
sci,6,4.0211387,3.1716142
sci,11,6.92355,4.885052
sci,18,5.926268,5.9527345
sci,10,2.80782,5.7136393
sci,3,7.8390718,5.849023
sci,5,5.529126,4.5559664
sci,2,4.38879,5.7601686
sci,9,5.993078,5.737605
sci,4,5.0149956,2.8582196
sci,12,5.6117287,6.5684576
sci,2,5.377059,7.020694
sci,1,7.6147656,4.857901
sci,0,7.4964895,3.740085
sci,0,7.05601,3.5096884
sci,1,5.2415147,3.4639604
sci,18,3.980841,3.9580343
sci,5,7.4254537,6.146296
sci,-1,3.1383681,5.808984
sci,0,7.430553,3.7320497
sci,-1,3.6394742,6.738119
sci,11,7.8752356,5.3564563
sci,8,6.2167606,5.5865593
sci,11,8.069216,5.5372124
sci,15,2.4907625,5.55613
sci,16,5.623939,5.9582667
sci,-1,3.0575237,5.61793
sci,-1,3.5475976,6.566673
sci,11,8.061252,5.4944916
sci,10,2.981344,6.05706
sci,5,5.8006983,4.7436323
sci,0,7.6101823,3.7032535
sci,18,4.231738,4.180725
sci,0,7.422188,3.675467
sci,15,2.9460692,6.3922215
sci,11,4.362694,3.070834
sci,4,7.3079133,4.1301484
sci,0,5.7057667,2.7063806
sci,8,4.0584464,3.563906
sci,16,5.2479734,5.634854
sci,17,6.018664,6.213688
sci,10,3.197595,6.294982
sci,16,6.1694465,6.615389
sci,14,3.1444957,4.76453
sci,6,3.862738,3.001233
sci,-1,2.9699626,5.5196805
sci,3,4.6012754,3.3314064
