Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
sci,0,4.875858,2.4683583,vsc hvdc hvdc transmission ac grid high voltage hvdc system,offshore wind control grid system
sci,1,2.8940532,8.568869,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,1,1.7060642,7.441723,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,1,1.0346833,7.005912,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,1,1.7196722,8.522908,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,4,4.597898,5.8964305,wind farms offshore grid offshore wind transmission system offshore wind farms,offshore wind grid transmission farms
sci,1,0.5208311,7.3208528,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,4,4.584726,5.8875875,wind farms offshore grid offshore wind transmission system offshore wind farms,offshore wind grid transmission farms
sci,1,1.2671357,5.4848757,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,1,2.298324,8.355782,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,1,1.2768912,7.1574283,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,5,4.3327556,8.460018,offshore wind wind power north sea offshore grid baltic sea,offshore wind grid power energy
sci,0,4.8376164,2.5294845,vsc hvdc hvdc transmission ac grid high voltage hvdc system,offshore wind control grid system
sci,0,4.8533134,2.5193758,vsc hvdc hvdc transmission ac grid high voltage hvdc system,offshore wind control grid system
sci,0,3.7635515,3.4196029,vsc hvdc hvdc transmission ac grid high voltage hvdc system,offshore wind control grid system
sci,1,2.2176414,8.856439,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,0,3.9976218,3.0940702,vsc hvdc hvdc transmission ac grid high voltage hvdc system,offshore wind control grid system
sci,6,4.123232,6.8079066,north sea offshore grid offshore wind energy legal framework wind energy,offshore grid energy wind north
sci,1,0.33229837,8.041107,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,1,3.0868592,3.8805456,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,1,0.623479,7.8813734,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,1,2.3973494,8.907092,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,1,1.2826418,7.2398643,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,1,1.5554484,6.7901864,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,1,1.3288555,7.749236,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,1,0.2284836,7.9021173,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,1,1.8037038,8.879091,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
sci,7,5.391364,7.178326,offshore wind wind farm wind farms wind power offshore wind farms,offshore wind grid power energy
sci,1,1.6219542,7.9895506,renewable energy energy islands energy island energy system energy sources,energy power system island renewable
