Source,cluster,x,y
Pro Media,19,11.943123,7.413057
Pro Media,19,11.952605,7.383112
Pro Media,12,11.865046,6.812271
Pro Media,19,11.919321,7.463375
Pro Media,12,11.912982,6.9051576
Pro Media,12,11.94218,6.9524527
Pro Media,2,11.150753,7.167936
Pro Media,12,12.363574,6.921921
Pro Media,2,11.128254,7.1652927
Pro Media,2,10.913046,7.022064
Pro Media,2,11.229524,7.147593
Pro Media,2,11.535489,6.986991
Pro Media,2,11.444779,7.0006075
Pro Media,2,11.326651,6.983739
Pro Media,12,12.00491,7.049037
Pro Media,2,11.177981,7.1480684
Pro Media,2,11.059562,6.9281025
Pro Media,2,10.963956,6.973405
Pro Media,26,11.8211355,6.622137
Pro Media,12,11.911727,7.1067133
Pro Media,21,12.467951,8.098293
Pro Media,19,12.034836,7.525145
Pro Media,12,13.62965,6.9635787
Pro Media,12,11.938213,7.0054965
Pro Media,12,11.9248295,7.027275
Pro Media,12,11.98463,6.965496
Pro Media,12,11.957996,6.973682
Pro Media,12,12.112897,6.7539053
Pro Media,12,12.021136,7.0751114
Pro Media,2,10.864907,7.0742
Pro Media,2,11.249541,6.9326663
Pro Media,2,11.169204,6.923216
Pro Media,26,11.7752905,6.6785965
Pro Media,26,11.833309,6.5239606
Pro Media,19,12.132252,7.893543
Pro Media,3,-3.5363226,0.017693235
Pro Media,26,11.779072,6.734308
Pro Media,26,11.789131,6.7240195
Pro Media,19,12.184955,8.324841
Pro Media,1,12.875686,7.127235
Pro Media,19,11.978848,7.63892
Pro Media,2,10.941808,6.981519
Pro Media,2,11.307883,7.1896315
Pro Media,1,12.670245,7.0753727
Pro Media,2,11.100086,6.758212
Pro Media,12,12.199121,7.6501007
Pro Media,2,10.990704,6.9101806
Pro Media,2,11.107106,7.0629635
Pro Media,19,11.983487,8.031457
Pro Media,22,14.275953,7.3454084
Pro Media,1,12.311318,7.5990386
Pro Media,25,14.417157,6.994265
Pro Media,19,11.937291,7.9380198
Pro Media,2,10.955827,7.020072
Pro Media,12,11.954468,7.084747
Pro Media,2,11.111592,6.970046
Pro Media,2,11.053269,6.974871
Pro Media,2,11.347198,7.258552
Pro Media,2,10.967282,6.9826894
Pro Media,2,11.035152,6.9570374
Pro Media,1,12.582531,7.0449114
Pro Media,2,11.225967,6.7723756
Pro Media,38,11.216661,7.8797197
Pro Media,1,12.111904,7.731358
Pro Media,19,-1.5351993,0.8441319
Pro Media,8,14.681095,9.473037
Pro Media,19,11.975857,7.446923
Pro Media,2,11.710889,7.4544864
Pro Media,28,12.741821,9.9719715
Pro Media,29,12.848081,8.436091
Pro Media,2,10.873082,6.951253
Pro Media,2,10.839402,7.0284767
Pro Media,19,11.83308,7.013502
Pro Media,26,11.974968,6.515851
Pro Media,2,11.11952,6.5739098
Pro Media,26,11.65345,6.705482
Pro Media,2,11.014621,7.2706585
Pro Media,1,12.008583,7.570829
Pro Media,2,10.82051,7.125617
Pro Media,2,10.950134,6.970069
Pro Media,1,12.884869,7.143277
Pro Media,2,10.809115,7.15791
Pro Media,26,11.940605,6.504052
Pro Media,8,14.153842,9.356868
Pro Media,14,14.726164,9.380974
Pro Media,19,11.9579935,7.438571
Pro Media,8,14.43166,9.527492
Pro Media,2,11.162479,7.3271728
Pro Media,37,13.129571,8.979945
Pro Media,2,11.123175,7.4040074
Pro Media,1,12.401745,7.739584
Pro Media,14,14.605213,9.448657
Pro Media,1,12.887459,7.305994
Pro Media,1,12.922151,7.1644335
Pro Media,1,12.456542,7.6163554
Pro Media,0,11.900877,9.559656
Pro Media,14,14.626873,9.458593
Pro Media,26,12.108379,6.555497
Pro Media,2,11.203604,6.7250395
Pro Media,0,11.834766,9.594501
Pro Media,2,10.794635,7.24611
Pro Media,21,12.6813345,8.451881
Pro Media,12,11.900578,6.790937
Pro Media,1,12.145756,7.7791505
Pro Media,2,11.252393,6.681373
Pro Media,12,11.8850355,6.728934
Pro Media,2,11.601004,7.238777
Pro Media,1,12.441004,7.6258993
Pro Media,2,11.027954,7.3192067
Pro Media,1,12.18769,7.719459
Pro Media,12,11.750288,6.771832
Pro Media,12,11.939093,6.8702803
Pro Media,2,10.969522,7.385547
Pro Media,8,14.72861,9.466034
Pro Media,1,12.492525,7.61803
Pro Media,2,11.016944,7.3439193
Pro Media,1,12.663123,7.443845
Pro Media,2,11.307216,6.7752366
Pro Media,2,10.7699585,7.247933
Pro Media,31,11.705106,7.2488804
Pro Media,12,11.946843,7.1153955
Pro Media,12,12.019742,6.8146315
Pro Media,1,12.846962,7.11561
Pro Media,2,11.4008255,7.220355
Pro Media,1,12.413679,7.5205846
Pro Media,1,12.798679,7.2097855
Pro Media,1,12.46244,7.4048676
Pro Media,2,11.442852,7.1379848
Pro Media,12,11.994047,7.512392
Pro Media,19,12.23185,8.198201
Pro Media,1,12.644755,7.357662
Pro Media,8,14.708071,9.492127
Pro Media,8,14.706149,9.44539
Pro Media,26,11.763044,6.6084356
Pro Media,1,12.653673,7.5386753
Pro Media,1,12.46911,7.683442
Pro Media,16,11.391343,6.968416
Pro Media,34,13.47906,8.340795
Pro Media,19,12.220155,8.343048
Pro Media,31,13.447656,7.9540324
Pro Media,26,11.773966,6.657264
Pro Media,12,11.964434,6.9391837
Pro Media,36,-1.3515381,0.42786518
Pro Media,2,11.530373,6.987423
Pro Media,1,12.026484,7.49596
Pro Media,1,12.267821,7.0246224
Pro Media,1,12.457413,7.47854
Pro Media,2,11.013886,7.1890626
