Source,cluster,x,y
Pro Media,17,4.354586,7.997225
Pro Media,4,4.2452335,8.002386
Pro Media,15,3.9165323,8.367056
Pro Media,17,4.3808904,8.019376
Pro Media,15,3.8505883,8.25976
Pro Media,31,4.2628765,8.372785
Pro Media,4,3.821108,7.1916585
Pro Media,35,4.3636756,8.77305
Pro Media,4,3.8336973,7.353011
Pro Media,15,3.4376757,7.293057
Pro Media,31,3.7457592,7.3531284
Pro Media,40,3.9577742,8.002528
Pro Media,28,3.7464805,7.790203
Pro Media,40,3.8207884,7.7842054
Pro Media,35,4.1789284,8.340794
Pro Media,4,3.8811822,7.3010135
Pro Media,15,3.4530926,7.504446
Pro Media,15,3.4047043,7.519181
Pro Media,37,3.5529728,8.556272
Pro Media,35,4.053649,8.133807
Pro Media,1,4.9675207,8.140779
Pro Media,33,4.518169,8.064997
Pro Media,28,4.213564,8.693356
Pro Media,28,3.9502935,8.197374
Pro Media,40,4.0789323,8.297002
Pro Media,40,4.069116,8.360631
Pro Media,28,3.9762979,8.328532
Pro Media,15,3.924511,8.595321
Pro Media,31,4.227879,8.269277
Pro Media,40,3.4989493,7.1809373
Pro Media,15,3.5982394,7.763267
Pro Media,15,3.6723878,7.9685016
Pro Media,38,3.6148014,8.40272
Pro Media,14,3.53986,8.632289
Pro Media,1,4.668982,7.9996233
Pro Media,27,1.770253,2.1416347
Pro Media,15,3.7205832,8.308463
Pro Media,38,3.642385,8.364919
Pro Media,39,4.9859414,7.52227
Pro Media,4,4.8428607,9.245881
Pro Media,33,4.4678392,8.053274
Pro Media,15,3.4339886,7.521648
Pro Media,35,3.7885048,7.584057
Pro Media,40,4.558886,9.305858
Pro Media,38,3.3078628,7.7185516
Pro Media,1,4.9225955,8.400333
Pro Media,15,3.3794415,7.3806915
Pro Media,40,3.6858456,7.5286856
Pro Media,-1,4.807137,7.6409764
Pro Media,-1,5.7071605,9.134479
Pro Media,14,3.2817564,8.1522255
Pro Media,4,4.5198836,8.688501
Pro Media,14,3.2904754,8.249788
Pro Media,1,5.277742,8.976247
Pro Media,1,4.5846295,7.554045
Pro Media,15,3.4648094,7.3695917
Pro Media,35,4.133628,8.227519
Pro Media,15,3.5365443,7.5049114
Pro Media,15,3.4660437,7.569016
Pro Media,28,3.6501448,7.6322165
Pro Media,15,3.4592412,7.48843
Pro Media,15,3.5045605,7.5788946
Pro Media,28,4.310822,9.036327
Pro Media,37,3.4834049,8.21086
Pro Media,37,3.3594556,7.9085984
Pro Media,14,3.3713827,8.267552
Pro Media,1,4.1071334,7.0249634
Pro Media,33,4.717459,8.2554865
Pro Media,19,5.080971,7.1809225
Pro Media,31,3.7419453,7.270836
Pro Media,-1,5.01973,8.051863
Pro Media,31,4.1288133,7.9715905
Pro Media,35,3.8682954,7.7801256
Pro Media,25,6.6653385,6.8862276
Pro Media,18,5.0726557,7.993608
Pro Media,18,4.510248,7.0873256
Pro Media,28,3.4862688,7.2750034
Pro Media,28,3.4804966,7.299645
Pro Media,4,4.1983914,7.8441324
Pro Media,14,3.1955137,8.091394
Pro Media,38,3.7080822,8.46424
Pro Media,38,3.3822396,7.6657224
Pro Media,38,3.529783,8.228799
Pro Media,31,3.700294,7.1470056
Pro Media,17,4.4445424,8.176984
Pro Media,28,3.4917912,7.1879272
Pro Media,15,3.470336,7.5045404
Pro Media,4,4.8436174,9.28052
Pro Media,28,3.4341695,7.208529
Pro Media,38,3.6717715,8.478048
Pro Media,26,5.879074,7.2458305
Pro Media,8,7.6588044,8.355498
Pro Media,17,4.340204,7.894051
Pro Media,8,7.288938,7.981224
Pro Media,17,3.8737555,7.067981
Pro Media,6,4.8806686,7.2018747
Pro Media,22,5.9986,8.235369
Pro Media,17,3.7686307,6.910414
Pro Media,17,4.776054,8.829115
Pro Media,34,7.515451,8.286997
Pro Media,1,5.1747246,8.9164
Pro Media,33,5.006024,8.961015
Pro Media,4,4.7237945,8.857589
Pro Media,25,6.035847,6.269338
Pro Media,8,7.6277933,8.355751
Pro Media,14,3.5874984,8.777383
Pro Media,37,3.2904398,7.8698287
Pro Media,25,6.147018,6.4143972
Pro Media,4,3.5250058,6.776834
Pro Media,31,4.341632,8.37509
Pro Media,15,3.945797,8.375885
Pro Media,33,4.6294985,8.229497
Pro Media,14,3.278087,7.9586124
Pro Media,15,3.8835933,8.444741
Pro Media,1,4.3072786,7.478317
Pro Media,17,4.7715592,8.794832
Pro Media,4,3.8264015,7.132679
Pro Media,4,4.540621,8.468404
Pro Media,15,3.756221,8.292008
Pro Media,15,3.8879583,8.440472
Pro Media,17,3.7229326,6.9062595
Pro Media,18,4.6775823,7.271722
Pro Media,4,4.647555,8.769638
Pro Media,2,5.5868897,7.351032
Pro Media,31,3.9033833,7.6404047
Pro Media,35,4.566482,9.061518
Pro Media,38,3.5127914,7.9494734
Pro Media,17,3.6924152,6.7796707
Pro Media,40,3.836815,7.771576
Pro Media,40,4.053391,8.185009
Pro Media,15,3.796414,8.466297
Pro Media,4,4.760001,9.129895
Pro Media,28,3.7304113,7.706177
Pro Media,4,4.6538577,8.923325
Pro Media,4,4.8155484,8.978268
Pro Media,4,4.565386,8.737465
Pro Media,28,3.6822484,7.7489266
Pro Media,4,4.3323274,8.066101
Pro Media,1,4.8268585,8.24499
Pro Media,14,3.2467852,8.258703
Pro Media,4,4.769321,9.057024
Pro Media,31,3.970219,7.6821337
Pro Media,31,3.9309037,7.585713
Pro Media,37,3.5046809,8.426429
Pro Media,4,4.757521,9.14414
Pro Media,4,4.746006,8.865741
Pro Media,40,3.9662337,8.028734
Pro Media,6,5.3552256,8.031077
Pro Media,39,4.9176407,7.4193773
Pro Media,1,4.4467487,7.7049265
Pro Media,14,3.4498255,8.375685
Pro Media,35,4.160453,8.352159
Pro Media,4,3.4524937,6.6404195
Pro Media,15,3.7472508,7.947676
Pro Media,4,4.4475503,8.321522
Pro Media,15,3.9292397,8.65717
Pro Media,40,4.3576665,8.956938
Pro Media,4,3.830317,7.289166
Pro Media,4,3.8050053,7.300247
Pro Media,38,3.8854616,8.76873
Pro Media,19,5.2011633,7.37649
Pro Media,28,3.5124168,7.357125
Pro Media,35,4.581093,9.120781
Pro Media,4,4.776312,9.147738
Pro Media,24,0.8517575,0.8609801
Pro Media,35,3.7992592,7.632934
Pro Media,4,3.9191666,7.415212
Pro Media,4,4.765835,9.076816
Pro Media,35,3.6226194,7.2286386
Pro Media,6,5.256084,7.704242
Pro Media,31,3.7051203,7.1443825
Pro Media,35,4.6779294,9.296895
Pro Media,33,3.9922984,7.179682
Pro Media,17,5.117878,9.468052
Pro Media,35,4.680279,9.226338
Reg Media,20,7.8218036,7.776923
Reg Media,39,6.0859923,9.248445
Reg Media,19,5.300534,7.5598264
Reg Media,2,6.6362653,8.983013
Reg Media,5,6.7454495,8.419869
Reg Media,1,5.1847596,8.411224
Reg Media,18,5.650673,8.850069
Reg Media,6,6.2096763,9.239784
Reg Media,39,6.1084595,9.202296
Reg Media,33,4.2325907,7.5189056
Reg Media,6,6.370519,9.202254
Reg Media,1,5.458875,9.015096
Reg Media,8,7.628717,8.247769
Reg Media,2,6.4833674,8.813368
Reg Media,6,6.218989,9.301293
Reg Media,6,5.6130247,8.304825
Reg Media,17,4.003713,7.286823
Reg Media,-1,5.4244123,8.630845
Reg Media,34,7.52388,8.352079
Reg Media,41,7.750351,8.737476
Reg Media,1,4.594608,7.9822335
Reg Media,3,6.5079765,7.514582
Reg Media,19,6.571459,9.38681
Reg Media,4,4.8811126,9.091389
Reg Media,24,7.5557365,7.6298428
Reg Media,2,6.8507056,9.160013
Reg Media,22,6.7543044,9.328739
Reg Media,1,5.543939,8.959823
Reg Media,22,6.6803555,9.346738
Reg Media,2,6.779343,9.191421
Reg Media,3,7.496154,8.842685
Reg Media,1,4.6465125,7.984745
Reg Media,1,5.018157,8.416397
Reg Media,-1,5.2031875,8.328809
Reg Media,-1,5.2930202,8.402177
Reg Media,-1,6.1254826,7.9644527
Reg Media,5,6.9491773,8.938203
Reg Media,17,4.42089,8.194741
Reg Media,3,7.487762,8.834705
Reg Media,26,7.2696085,8.857731
Reg Media,19,5.960355,8.459477
Reg Media,22,5.994913,8.405838
Reg Media,5,7.0509906,8.83885
Reg Media,1,4.6275153,7.890019
Reg Media,37,3.6179128,8.643634
Reg Media,1,5.836312,9.406803
Reg Media,5,7.0685306,8.917297
Reg Media,3,6.564336,7.7329583
Reg Media,15,4.0840125,8.724735
Reg Media,3,7.606387,8.8166065
Reg Media,2,6.778343,8.998298
Reg Media,3,7.6483755,8.826473
Reg Media,19,5.897723,8.39295
Reg Media,18,5.810117,9.154
Reg Media,22,5.733871,8.03396
Reg Media,27,6.247929,7.5400114
Reg Media,26,6.2045727,7.549174
Reg Media,1,5.083855,8.817806
Reg Media,2,5.3749204,7.3119235
Reg Media,26,7.32375,8.936916
Reg Media,39,5.9127107,8.986643
Reg Media,26,5.7025285,7.018589
Reg Media,39,6.261232,9.420435
Reg Media,17,4.6188,8.477922
Reg Media,6,6.272789,9.33314
Reg Media,26,6.3433537,7.7420387
Reg Media,1,4.765324,7.77071
Reg Media,2,5.8927574,7.7876544
Reg Media,11,7.8843126,7.47311
Reg Media,22,5.6722074,7.8982253
Reg Media,-1,4.759905,7.626341
Reg Media,37,3.6737165,8.63805
Reg Media,19,6.16754,8.758324
Reg Media,6,6.2732024,9.359615
Reg Media,25,7.687378,7.964878
Reg Media,17,4.6328287,8.462542
Reg Media,19,6.2313313,8.867665
Reg Media,20,6.231762,6.1443396
Reg Media,26,6.0578732,7.368503
Reg Media,-1,4.934668,7.838038
Reg Media,5,5.656686,7.318648
