Source,topic_int,labels_layer,topic_names
Pro Media,3,3_island_bornholm_energi_budget,3_island_bornholm_energi_budget
Pro Media,3,3_island_bornholm_energi_budget,3_island_bornholm_energi_budget
Pro Media,37,37_bornholm_energi_municip_also,37_bornholm_energi_municip_also
Pro Media,3,3_island_bornholm_energi_budget,3_island_bornholm_energi_budget
Pro Media,36,36_wind_turbin_municip_island,36_wind_turbin_municip_island
Pro Media,13,13_bornholm_year_municip_save,13_bornholm_year_municip_save
Pro Media,16,16_hydrogen_co2_fuel_product,16_hydrogen_co2_fuel_product
Pro Media,28,28_bornholm_wind_energi_island,28_bornholm_wind_energi_island
Pro Media,1,1_plant_energinet_heat_plan,1_plant_energinet_heat_plan
Pro Media,1,1_plant_energinet_heat_plan,1_plant_energinet_heat_plan
Pro Media,16,16_hydrogen_co2_fuel_product,16_hydrogen_co2_fuel_product
Pro Media,7,7_also_social_municip_island,7_also_social_municip_island
Pro Media,17,17_plant_energi_hydrogen_area,17_plant_energi_hydrogen_area
Pro Media,42,42_bornholm_municip_wind_hous,42_bornholm_municip_wind_hous
Pro Media,31,31_sea_area_wind_cabl,31_sea_area_wind_cabl
Pro Media,16,16_hydrogen_co2_fuel_product,16_hydrogen_co2_fuel_product
Pro Media,10,10_plant_energi_wind_green,10_plant_energi_wind_green
Pro Media,1,1_plant_energinet_heat_plan,1_plant_energinet_heat_plan
Pro Media,20,20_island_platform_cool_energi,20_island_platform_cool_energi
Pro Media,30,30_municip_also_bornholm_energi,30_municip_also_bornholm_energi
Pro Media,-1,Noise,Noise
Pro Media,13,13_bornholm_year_municip_save,13_bornholm_year_municip_save
Pro Media,37,37_bornholm_energi_municip_also,37_bornholm_energi_municip_also
Pro Media,28,28_bornholm_wind_energi_island,28_bornholm_wind_energi_island
Pro Media,20,20_island_platform_cool_energi,20_island_platform_cool_energi
Pro Media,3,3_island_bornholm_energi_budget,3_island_bornholm_energi_budget
Pro Media,20,20_island_platform_cool_energi,20_island_platform_cool_energi
Pro Media,20,20_island_platform_cool_energi,20_island_platform_cool_energi
Pro Media,4,4_bornholm_busi_energi_wind,4_bornholm_busi_energi_wind
Pro Media,3,3_island_bornholm_energi_budget,3_island_bornholm_energi_budget
Pro Media,-1,Noise,Noise
Pro Media,1,1_plant_energinet_heat_plan,1_plant_energinet_heat_plan
Pro Media,17,17_plant_energi_hydrogen_area,17_plant_energi_hydrogen_area
Pro Media,12,12_energi_island_land_bornholm,12_energi_island_land_bornholm
Pro Media,20,20_island_platform_cool_energi,20_island_platform_cool_energi
Pro Media,20,20_island_platform_cool_energi,20_island_platform_cool_energi
Pro Media,31,31_sea_area_wind_cabl,31_sea_area_wind_cabl
Pro Media,33,33_energi_sustain_design_develop,33_energi_sustain_design_develop
Pro Media,29,29_park_busi_say_budget,29_park_busi_say_budget
Pro Media,3,3_island_bornholm_energi_budget,3_island_bornholm_energi_budget
Pro Media,31,31_sea_area_wind_cabl,31_sea_area_wind_cabl
Pro Media,6,6_energi_billion_project_defens,6_energi_billion_project_defens
Pro Media,20,20_island_platform_cool_energi,20_island_platform_cool_energi
Pro Media,1,1_plant_energinet_heat_plan,1_plant_energinet_heat_plan
Pro Media,16,16_hydrogen_co2_fuel_product,16_hydrogen_co2_fuel_product
Pro Media,22,22_energi_bornholm_project_busi,22_energi_bornholm_project_busi
Pro Media,17,17_plant_energi_hydrogen_area,17_plant_energi_hydrogen_area
Pro Media,13,13_bornholm_year_municip_save,13_bornholm_year_municip_save
Pro Media,1,1_plant_energinet_heat_plan,1_plant_energinet_heat_plan
Pro Media,3,3_island_bornholm_energi_budget,3_island_bornholm_energi_budget
Pro Media,1,1_plant_energinet_heat_plan,1_plant_energinet_heat_plan
Pro Media,3,3_island_bornholm_energi_budget,3_island_bornholm_energi_budget
Pro Media,19,19_bornholm_energi_fund_compani,19_bornholm_energi_fund_compani
Pro Media,12,12_energi_island_land_bornholm,12_energi_island_land_bornholm
Pro Media,19,19_bornholm_energi_fund_compani,19_bornholm_energi_fund_compani
Pro Media,7,7_also_social_municip_island,7_also_social_municip_island
Pro Media,27,27_bornholm_wind_energi_offshor,27_bornholm_wind_energi_offshor
Pro Media,30,30_municip_also_bornholm_energi,30_municip_also_bornholm_energi
Pro Media,1,1_plant_energinet_heat_plan,1_plant_energinet_heat_plan
Pro Media,3,3_island_bornholm_energi_budget,3_island_bornholm_energi_budget
Pro Media,1,1_plant_energinet_heat_plan,1_plant_energinet_heat_plan
Pro Media,1,1_plant_energinet_heat_plan,1_plant_energinet_heat_plan
Pro Media,17,17_plant_energi_hydrogen_area,17_plant_energi_hydrogen_area
Pro Media,1,1_plant_energinet_heat_plan,1_plant_energinet_heat_plan
Pro Media,17,17_plant_energi_hydrogen_area,17_plant_energi_hydrogen_area
Pro Media,9,9_energi_project_bornholm_state,9_energi_project_bornholm_state
Pro Media,7,7_also_social_municip_island,7_also_social_municip_island
Pro Media,10,10_plant_energi_wind_green,10_plant_energi_wind_green
Pro Media,30,30_municip_also_bornholm_energi,30_municip_also_bornholm_energi
Pro Media,1,1_plant_energinet_heat_plan,1_plant_energinet_heat_plan
Pro Media,4,4_bornholm_busi_energi_wind,4_bornholm_busi_energi_wind
Pro Media,-1,Noise,Noise
Pro Media,7,7_also_social_municip_island,7_also_social_municip_island
Pro Media,17,17_plant_energi_hydrogen_area,17_plant_energi_hydrogen_area
Pro Media,27,27_bornholm_wind_energi_offshor,27_bornholm_wind_energi_offshor
Pro Media,29,29_park_busi_say_budget,29_park_busi_say_budget
Pro Media,17,17_plant_energi_hydrogen_area,17_plant_energi_hydrogen_area
Pro Media,34,34_comput_quantum_energi_bornholm,34_comput_quantum_energi_bornholm
Pro Media,7,7_also_social_municip_island,7_also_social_municip_island
Pro Media,30,30_municip_also_bornholm_energi,30_municip_also_bornholm_energi
Pro Media,10,10_plant_energi_wind_green,10_plant_energi_wind_green
Pro Media,1,1_plant_energinet_heat_plan,1_plant_energinet_heat_plan
Pro Media,16,16_hydrogen_co2_fuel_product,16_hydrogen_co2_fuel_product
Pro Media,36,36_wind_turbin_municip_island,36_wind_turbin_municip_island
Pro Media,12,12_energi_island_land_bornholm,12_energi_island_land_bornholm
Pro Media,11,11_bornholm_price_energi_busi,11_bornholm_price_energi_busi
Pro Media,3,3_island_bornholm_energi_budget,3_island_bornholm_energi_budget
Pro Media,34,34_comput_quantum_energi_bornholm,34_comput_quantum_energi_bornholm
Pro Media,30,30_municip_also_bornholm_energi,30_municip_also_bornholm_energi
Pro Media,16,16_hydrogen_co2_fuel_product,16_hydrogen_co2_fuel_product
Pro Media,13,13_bornholm_year_municip_save,13_bornholm_year_municip_save
Pro Media,16,16_hydrogen_co2_fuel_product,16_hydrogen_co2_fuel_product
Pro Media,1,1_plant_energinet_heat_plan,1_plant_energinet_heat_plan
Pro Media,6,6_energi_billion_project_defens,6_energi_billion_project_defens
Pro Media,16,16_hydrogen_co2_fuel_product,16_hydrogen_co2_fuel_product
Pro Media,3,3_island_bornholm_energi_budget,3_island_bornholm_energi_budget
Pro Media,34,34_comput_quantum_energi_bornholm,34_comput_quantum_energi_bornholm
Pro Media,15,15_bornholm_busi_compani_offshor,15_bornholm_busi_compani_offshor
Pro Media,3,3_island_bornholm_energi_budget,3_island_bornholm_energi_budget
Pro Media,10,10_plant_energi_wind_green,10_plant_energi_wind_green
Pro Media,16,16_hydrogen_co2_fuel_product,16_hydrogen_co2_fuel_product
Pro Media,10,10_plant_energi_wind_green,10_plant_energi_wind_green
Pro Media,6,6_energi_billion_project_defens,6_energi_billion_project_defens
Pro Media,16,16_hydrogen_co2_fuel_product,16_hydrogen_co2_fuel_product
Pro Media,22,22_energi_bornholm_project_busi,22_energi_bornholm_project_busi
Pro Media,16,16_hydrogen_co2_fuel_product,16_hydrogen_co2_fuel_product
Pro Media,9,9_energi_project_bornholm_state,9_energi_project_bornholm_state
Pro Media,9,9_energi_project_bornholm_state,9_energi_project_bornholm_state
Pro Media,9,9_energi_project_bornholm_state,9_energi_project_bornholm_state
Pro Media,9,9_energi_project_bornholm_state,9_energi_project_bornholm_state
Pro Media,1,1_plant_energinet_heat_plan,1_plant_energinet_heat_plan
Pro Media,40,40_bornholm_busi_tunnel_compani,40_bornholm_busi_tunnel_compani
Pro Media,11,11_bornholm_price_energi_busi,11_bornholm_price_energi_busi
Pro Media,10,10_plant_energi_wind_green,10_plant_energi_wind_green
Pro Media,17,17_plant_energi_hydrogen_area,17_plant_energi_hydrogen_area
Pro Media,39,39_materi_111_grain_ion,39_materi_111_grain_ion
Pro Media,-1,Noise,Noise
Pro Media,4,4_bornholm_busi_energi_wind,4_bornholm_busi_energi_wind
Pro Media,13,13_bornholm_year_municip_save,13_bornholm_year_municip_save
Pro Media,4,4_bornholm_busi_energi_wind,4_bornholm_busi_energi_wind
Pro Media,10,10_plant_energi_wind_green,10_plant_energi_wind_green
Pro Media,20,20_island_platform_cool_energi,20_island_platform_cool_energi
Pro Media,34,34_comput_quantum_energi_bornholm,34_comput_quantum_energi_bornholm
Pro Media,9,9_energi_project_bornholm_state,9_energi_project_bornholm_state
Pro Media,16,16_hydrogen_co2_fuel_product,16_hydrogen_co2_fuel_product
Pro Media,28,28_bornholm_wind_energi_island,28_bornholm_wind_energi_island
Pro Media,29,29_park_busi_say_budget,29_park_busi_say_budget
Pro Media,31,31_sea_area_wind_cabl,31_sea_area_wind_cabl
Pro Media,16,16_hydrogen_co2_fuel_product,16_hydrogen_co2_fuel_product
Pro Media,17,17_plant_energi_hydrogen_area,17_plant_energi_hydrogen_area
Pro Media,19,19_bornholm_energi_fund_compani,19_bornholm_energi_fund_compani
Pro Media,20,20_island_platform_cool_energi,20_island_platform_cool_energi
Pro Media,17,17_plant_energi_hydrogen_area,17_plant_energi_hydrogen_area
Pro Media,6,6_energi_billion_project_defens,6_energi_billion_project_defens
Pro Media,34,34_comput_quantum_energi_bornholm,34_comput_quantum_energi_bornholm
Pro Media,16,16_hydrogen_co2_fuel_product,16_hydrogen_co2_fuel_product
Pro Media,7,7_also_social_municip_island,7_also_social_municip_island
Pro Media,36,36_wind_turbin_municip_island,36_wind_turbin_municip_island
Pro Media,13,13_bornholm_year_municip_save,13_bornholm_year_municip_save
Pro Media,6,6_energi_billion_project_defens,6_energi_billion_project_defens
Pro Media,16,16_hydrogen_co2_fuel_product,16_hydrogen_co2_fuel_product
Pro Media,9,9_energi_project_bornholm_state,9_energi_project_bornholm_state
Pro Media,19,19_bornholm_energi_fund_compani,19_bornholm_energi_fund_compani
Pro Media,9,9_energi_project_bornholm_state,9_energi_project_bornholm_state
Pro Media,16,16_hydrogen_co2_fuel_product,16_hydrogen_co2_fuel_product
