Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
pro,0,4.324398,4.3344083,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,4.8250933,4.5875916,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,1,3.349997,3.522393,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,0,4.183477,4.994771,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,3.4748805,4.231537,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,3.768674,3.7777545,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,2,5.3464217,0.4599425,green hydrogen 000 tonnes green fuels tejs vegge hydrogen produced,hydrogen energy green also says
pro,1,4.18547,3.257689,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,2,5.5781407,0.40395874,green hydrogen 000 tonnes green fuels tejs vegge hydrogen produced,hydrogen energy green also says
pro,2,5.3622704,0.62392217,green hydrogen 000 tonnes green fuels tejs vegge hydrogen produced,hydrogen energy green also says
pro,0,3.4303997,4.126058,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,1,3.5218766,2.5484946,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,1,3.4545028,2.3351045,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,0,3.8383727,4.22739,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,2,5.0780325,0.64059067,green hydrogen 000 tonnes green fuels tejs vegge hydrogen produced,hydrogen energy green also says
pro,1,3.671355,3.271203,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,0,3.5766475,4.4650693,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,5.0873785,4.958004,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,4.969508,4.6852703,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,3.785881,3.904446,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,4.078519,4.466049,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,4.223852,4.6375275,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,4.099092,4.1256886,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,3.8490694,4.1590304,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,3.8132274,3.7399805,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,4.280062,4.8378477,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,3,5.499565,3.4234014,energy islands bornholm islands bornholm energy islands open door business case,energy islands project wind bornholm
pro,0,4.8723574,4.021177,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,1,3.8453014,3.0991435,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,0,4.841616,5.0916605,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,1,4.266563,2.4455593,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,0,4.8003783,3.7226956,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,4.9286633,3.6224434,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,5.3272843,4.403301,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,3,6.4608006,4.1087193,energy islands bornholm islands bornholm energy islands open door business case,energy islands project wind bornholm
pro,0,4.94743,4.6654882,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,2,5.1733384,1.3346796,green hydrogen 000 tonnes green fuels tejs vegge hydrogen produced,hydrogen energy green also says
pro,4,6.20114,3.4433339,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,0,4.861646,5.0881805,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,3.1086464,3.896865,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,2,5.329554,0.9875867,green hydrogen 000 tonnes green fuels tejs vegge hydrogen produced,hydrogen energy green also says
pro,0,4.765735,4.9961166,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,4,6.1707006,3.0524278,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,1,3.1897979,3.021108,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,3,6.8547044,3.036581,energy islands bornholm islands bornholm energy islands open door business case,energy islands project wind bornholm
pro,1,3.3244865,3.0161598,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,0,4.4185123,4.5775547,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,4.743682,4.721464,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,3.472203,4.3708224,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,4,6.0312157,3.5540602,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,1,3.1909854,2.9913716,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,1,3.2759984,2.970084,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,2,5.7013197,1.3037091,green hydrogen 000 tonnes green fuels tejs vegge hydrogen produced,hydrogen energy green also says
pro,0,4.6083307,5.1649127,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,0,5.423431,4.2647257,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,4,6.5711,1.9609679,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,1,4.848296,2.8532093,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,0,3.8581057,4.6962433,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,2,5.655159,1.8303919,green hydrogen 000 tonnes green fuels tejs vegge hydrogen produced,hydrogen energy green also says
pro,2,5.739295,0.31370765,green hydrogen 000 tonnes green fuels tejs vegge hydrogen produced,hydrogen energy green also says
pro,4,6.7258315,2.4879212,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,1,4.59802,3.011528,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,4,6.976049,1.8116477,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,0,3.499502,4.1123223,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,1,3.3108923,2.9378293,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,4,6.3940883,2.6128805,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,1,3.3295076,3.756522,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,2,5.5814457,1.9010235,green hydrogen 000 tonnes green fuels tejs vegge hydrogen produced,hydrogen energy green also says
pro,1,4.035451,3.0371897,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,2,5.0444493,0.87359303,green hydrogen 000 tonnes green fuels tejs vegge hydrogen produced,hydrogen energy green also says
pro,4,6.997038,2.2779684,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,3,7.1753993,3.389664,energy islands bornholm islands bornholm energy islands open door business case,energy islands project wind bornholm
pro,1,4.505087,2.8807042,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,4,6.5759916,1.9818047,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,4,6.519387,2.3636816,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,0,4.614136,4.79109,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,4,6.659045,2.0190358,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,2,5.692633,1.3901057,green hydrogen 000 tonnes green fuels tejs vegge hydrogen produced,hydrogen energy green also says
pro,4,6.9298387,1.7378846,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,1,4.5031977,3.137798,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,2,5.9103007,1.7104048,green hydrogen 000 tonnes green fuels tejs vegge hydrogen produced,hydrogen energy green also says
pro,3,7.0191846,3.6215398,energy islands bornholm islands bornholm energy islands open door business case,energy islands project wind bornholm
pro,2,5.396821,1.1224942,green hydrogen 000 tonnes green fuels tejs vegge hydrogen produced,hydrogen energy green also says
pro,4,6.541293,2.682328,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,3,6.7138143,3.713318,energy islands bornholm islands bornholm energy islands open door business case,energy islands project wind bornholm
pro,3,6.6010847,3.9687831,energy islands bornholm islands bornholm energy islands open door business case,energy islands project wind bornholm
pro,3,6.7296705,3.8813643,energy islands bornholm islands bornholm energy islands open door business case,energy islands project wind bornholm
pro,4,5.3732224,2.793066,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,4,6.509701,2.5189183,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,3,6.230916,3.992958,energy islands bornholm islands bornholm energy islands open door business case,energy islands project wind bornholm
pro,1,3.9910176,2.2206478,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,4,5.849057,2.8868,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,2,5.8425226,1.6045492,green hydrogen 000 tonnes green fuels tejs vegge hydrogen produced,hydrogen energy green also says
pro,1,4.4162307,2.8704946,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,1,3.7083511,3.4625654,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,0,4.61041,5.301281,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island
pro,1,4.066803,2.1232212,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,1,3.515487,3.4688551,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea
pro,4,7.2989163,2.269065,district heating global wind green transition ørsted atp wave power,energy wind also says green
pro,3,6.7435403,3.2451463,energy islands bornholm islands bornholm energy islands open door business case,energy islands project wind bornholm
pro,4,7.0784926,1.5272311,district heating global wind green transition ørsted atp wave power,energy wind also says green
