Source,cluster,x,y,TF_IDF_topic_name
pro,0,4.324398,4.3344083,"offshore wind, 0.0138, 59, 378 | energy island, 0.0094, 68, 497 | wind turbines, 0.0094, 52, 178 | wind farms, 0.0091, 46, 126 | north sea, 0.0082, 54, 230"
pro,0,4.8250933,4.5875916,"offshore wind, 0.0138, 59, 378 | energy island, 0.0094, 68, 497 | wind turbines, 0.0094, 52, 178 | wind farms, 0.0091, 46, 126 | north sea, 0.0082, 54, 230"
pro,0,3.349997,3.522393,"offshore wind, 0.0138, 59, 378 | energy island, 0.0094, 68, 497 | wind turbines, 0.0094, 52, 178 | wind farms, 0.0091, 46, 126 | north sea, 0.0082, 54, 230"
pro,0,4.183477,4.994771,"offshore wind, 0.0138, 59, 378 | energy island, 0.0094, 68, 497 | wind turbines, 0.0094, 52, 178 | wind farms, 0.0091, 46, 126 | north sea, 0.0082, 54, 230"
pro,0,3.4748805,4.231537,"offshore wind, 0.0138, 59, 378 | energy island, 0.0094, 68, 497 | wind turbines, 0.0094, 52, 178 | wind farms, 0.0091, 46, 126 | north sea, 0.0082, 54, 230"
pro,0,3.768674,3.7777545,"offshore wind, 0.0138, 59, 378 | energy island, 0.0094, 68, 497 | wind turbines, 0.0094, 52, 178 | wind farms, 0.0091, 46, 126 | north sea, 0.0082, 54, 230"
pro,1,5.3464217,0.4599425,"million tonnes, 0.0092, 14, 29 | 000 tonnes, 0.0084, 13, 31 | electricity consumption, 0.0081, 15, 41 | la cour, 0.0079, 1, 21 | green hydrogen, 0.0072, 11, 26"
pro,0,4.18547,3.257689,"offshore wind, 0.0138, 59, 378 | energy island, 0.0094, 68, 497 | wind turbines, 0.0094, 52, 178 | wind farms, 0.0091, 46, 126 | north sea, 0.0082, 54, 230"
pro,1,5.5781407,0.40395874,"million tonnes, 0.0092, 14, 29 | 000 tonnes, 0.0084, 13, 31 | electricity consumption, 0.0081, 15, 41 | la cour, 0.0079, 1, 21 | green hydrogen, 0.0072, 11, 26"
pro,1,6.3253007,0.55875266,"million tonnes, 0.0092, 14, 29 | 000 tonnes, 0.0084, 13, 31 | electricity consumption, 0.0081, 15, 41 | la cour, 0.0079, 1, 21 | green hydrogen, 0.0072, 11, 26"
pro,1,5.3622704,0.62392217,"million tonnes, 0.0092, 14, 29 | 000 tonnes, 0.0084, 13, 31 | electricity consumption, 0.0081, 15, 41 | la cour, 0.0079, 1, 21 | green hydrogen, 0.0072, 11, 26"
pro,0,3.4303997,4.126058,"offshore wind, 0.0138, 59, 378 | energy island, 0.0094, 68, 497 | wind turbines, 0.0094, 52, 178 | wind farms, 0.0091, 46, 126 | north sea, 0.0082, 54, 230"
pro,0,3.5218766,2.5484946,"offshore wind, 0.0138, 59, 378 | energy island, 0.0094, 68, 497 | wind turbines, 0.0094, 52, 178 | wind farms, 0.0091, 46, 126 | north sea, 0.0082, 54, 230"
pro,0,3.4545028,2.3351045,"offshore wind, 0.0138, 59, 378 | energy island, 0.0094, 68, 497 | wind turbines, 0.0094, 52, 178 | wind farms, 0.0091, 46, 126 | north sea, 0.0082, 54, 230"
