Source,cluster,x,y
pro,3,5.226911,1.0199574
pro,3,5.1915216,1.5125294
pro,3,5.416627,0.81951934
pro,3,5.1463556,1.1273061
pro,4,6.180715,0.85309106
pro,4,6.4914417,1.0049129
pro,2,8.381056,0.09975154
pro,4,7.1392045,0.89059216
pro,2,8.244266,0.42772582
pro,0,9.113735,-0.3659701
pro,2,8.522095,0.1940105
pro,4,7.0429716,1.1337559
pro,2,7.6236753,0.09326062
pro,2,7.529357,-0.1978075
pro,3,5.571457,1.0231394
pro,2,8.283116,0.29177436
pro,0,8.8956995,-0.69220614
pro,0,8.671279,-0.86914945
pro,2,5.9802184,-0.21219686
pro,4,6.6776824,1.0985516
pro,4,6.2241173,2.137258
pro,3,5.34352,1.8333993
pro,4,6.2798557,0.9858524
pro,3,5.1147127,0.85073745
pro,3,5.4038877,1.3809646
pro,3,5.573076,0.75484324
pro,3,5.5176635,0.5752506
pro,4,6.5983114,0.74179476
pro,3,5.7013183,1.4893125
pro,0,9.399148,-0.046712924
pro,2,7.892876,-0.2993338
pro,2,6.9362574,-0.07789594
pro,2,6.96704,0.3744145
pro,2,6.097537,-0.24948376
pro,3,5.7773848,2.2568207
pro,4,6.5160503,1.1867722
pro,2,6.8997517,0.51244956
pro,2,7.19973,0.29691774
pro,3,5.9691863,2.497995
pro,1,7.6328197,2.042365
pro,3,5.168369,2.0149782
pro,0,8.395267,-0.6050148
pro,2,7.729585,0.36588016
pro,-1,7.6504817,1.5922853
pro,0,7.8709326,-0.8433042
pro,3,5.631701,2.0362992
pro,0,8.37542,-0.63676
pro,2,8.109236,0.015697848
pro,3,5.8328753,2.1633065
pro,1,7.3698983,2.1253543
pro,-1,6.589258,-0.8094384
pro,1,8.523665,2.2713797
pro,-1,6.2729573,-0.7788687
pro,4,6.1729765,1.4343469
pro,3,5.595328,1.7715548
pro,0,8.644236,-0.408737
pro,4,6.4569235,1.5059706
pro,0,8.116299,-0.7688695
pro,0,8.2684555,-1.1736029
pro,0,8.357768,-1.166766
pro,0,8.566625,-1.15735
pro,0,8.078932,-1.3115246
pro,-1,7.5271506,1.3274837
pro,-1,6.8046536,-0.5916468
pro,-1,7.5266113,-1.0341419
pro,-1,6.4211626,-0.7876745
pro,-1,8.443805,0.8631344
pro,1,6.817078,2.7402
pro,4,6.4022202,1.9087423
pro,0,9.347856,0.75318307
pro,1,7.189657,1.7573489
pro,3,5.2974615,1.3710628
pro,4,7.1794047,1.4183434
pro,-1,8.796764,2.008089
pro,2,6.6254244,0.31380737
pro,0,9.572658,0.6421523
pro,0,9.2257805,-0.24097063
pro,0,9.238433,-0.37519175
pro,4,6.270098,1.7872907
pro,-1,6.4471235,-0.90686876
pro,2,6.175537,-0.009955044
pro,-1,7.138827,-0.9072995
pro,2,6.8774433,0.18459268
pro,2,8.598587,0.17344381
pro,1,7.1333685,2.2164066
pro,0,9.1018095,-0.50264066
pro,0,8.69819,-1.0929403
pro,1,8.194788,2.1213877
pro,0,8.927925,-0.35856676
pro,2,6.334521,-0.046281736
pro,0,9.899176,0.9649011
pro,-1,9.219555,1.6508948
pro,3,5.0878816,1.4287531
pro,0,9.669115,0.73566043
pro,-1,8.5328865,1.056802
pro,0,9.854968,0.47368968
pro,1,7.6282697,2.184577
pro,0,8.944073,0.81470615
pro,1,8.689326,2.574296
pro,-1,9.041232,1.7955143
pro,1,7.448383,2.451353
pro,1,7.142216,1.9965563
pro,1,7.9744616,2.8284087
pro,1,7.3786907,2.8494887
pro,-1,8.957787,1.8741047
pro,4,5.938784,0.30260623
pro,-1,7.458998,-0.7234445
pro,1,7.429532,2.9726722
pro,0,8.85394,0.50374514
pro,1,7.157235,2.6866877
pro,3,5.6353455,0.628571
pro,1,6.913639,2.6308444
pro,-1,7.411792,-0.86460197
pro,4,6.0914063,0.56646067
pro,2,7.653941,0.7925146
pro,1,7.6939187,2.6805062
pro,0,9.023096,0.85995036
pro,1,7.23736,2.6381414
pro,4,6.5024357,0.6191312
pro,3,5.8176503,0.91519773
pro,0,8.872386,1.0055887
pro,0,9.101489,1.2290386
pro,1,8.225007,2.9527419
pro,-1,8.100002,1.1964734
pro,2,8.05604,-0.24814947
pro,1,7.8937035,2.361229
pro,2,7.375544,-0.39386982
pro,0,8.828888,0.49245137
pro,2,7.1493344,-0.19819693
pro,4,6.7881055,1.400384
pro,3,5.8044524,0.79003006
pro,1,8.303542,1.9642255
pro,2,7.777368,0.66137755
pro,1,8.3438835,3.0618782
pro,1,7.755969,2.8874257
pro,1,7.9354415,3.1643202
pro,2,7.6561604,0.50607514
pro,4,6.6324887,1.7443893
pro,4,6.3058934,2.3238506
pro,-1,6.447724,-0.6429361
pro,1,8.233464,2.7914877
pro,0,9.462785,1.070321
pro,0,9.439349,1.3357542
pro,2,6.3663497,0.1454891
pro,1,8.134392,2.3353624
pro,1,8.768427,2.4589808
pro,4,6.302764,0.9844374
pro,2,7.83369,0.8285391
pro,-1,6.3372774,2.6668797
pro,2,8.047329,0.57115126
pro,2,6.4829893,-0.05897675
pro,3,5.962504,1.0990787
pro,0,9.013637,0.2675143
pro,4,7.2524576,0.7062217
pro,1,6.9212327,2.0059502
pro,2,6.9887776,0.35783333
pro,1,8.367513,2.2200804
pro,2,8.554616,0.23411053
pro,2,8.452499,-0.040340092
pro,4,6.8708034,1.0044713
pro,0,9.969411,0.8434682
pro,0,9.665776,0.19543909
pro,1,8.281054,2.804957
pro,1,8.210244,2.9395173
pro,4,6.3792057,1.3304349
pro,0,8.623276,-0.58384025
pro,0,9.519438,1.1854377
pro,1,8.069985,2.604469
pro,2,8.214212,-0.31408876
pro,-1,7.9163566,1.4185911
pro,0,9.636479,0.18148763
pro,1,8.375407,2.5990973
pro,-1,8.425707,1.0983967
pro,1,7.5050716,2.101533
pro,1,8.729826,2.8591042
