Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
reg,7,3.450062,4.209695,climat plan municip council next year municip economi labor market,bornholm municip energi year climat
reg,0,8.024195,4.7644815,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,14,6.655802,4.9563093,busi center morten bødskov press releas busi center bornholm green energi,bornholm energi island busi green
reg,17,5.035937,4.73887,energi busi develop strategi busi commun energiø bornholm plan develop,bornholm energi island busi project
reg,3,6.5158863,3.049315,rønne harbor baltic sea wind turbin thoma bendtsen offshor wind,bornholm energi wind island offshor
reg,0,7.7128153,4.4659095,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,0,7.8647676,4.875133,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,0,7.749224,4.630842,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,9,6.693978,2.7505121,electr grid bornholm electr bornholm electr grid price zone connect bornholm,bornholm energi electr connect island
reg,0,7.6643467,4.6529512,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,0,7.920537,4.1632333,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,15,3.9797266,4.4816327,green transit young peopl municip council campu bornholm bornholm futur,bornholm energi island busi municip
reg,14,6.799031,4.5030446,busi center morten bødskov press releas busi center bornholm green energi,bornholm energi island busi green
reg,0,7.824883,4.926852,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,3,5.825935,3.4229705,rønne harbor baltic sea wind turbin thoma bendtsen offshor wind,bornholm energi wind island offshor
reg,9,6.733069,2.8671277,electr grid bornholm electr bornholm electr grid price zone connect bornholm,bornholm energi electr connect island
reg,10,6.703543,3.296421,bornholm offshor wind offshor wind bornholm offshor offshor wind turbin wind turbin,bornholm wind offshor energi project
reg,15,3.8579855,4.9793706,green transit young peopl municip council campu bornholm bornholm futur,bornholm energi island busi municip
reg,18,5.287923,5.3768306,labor market center bornholm busi center bornholm busi center bornholm compani,bornholm compani busi energi labor
reg,11,6.5586495,2.2431066,offshor wind wind farm offshor wind farm wind turbin danish energi,energi wind bornholm offshor area
reg,1,3.0711215,3.27544,social democraci ann thoma municip council rené danielsson top candid,bornholm say also energi municip
reg,0,7.923741,4.9812694,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,5,6.820349,2.029738,energiø bornholm state aid electr price energi island søren møller christensen,energi bornholm project island say
reg,1,3.173425,3.552052,social democraci ann thoma municip council rené danielsson top candid,bornholm say also energi municip
reg,0,7.6991377,5.0097685,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,0,7.642284,5.0348334,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,0,7.405561,4.0032787,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,0,7.4961615,4.882254,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,0,7.6119347,5.0023293,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,18,5.341339,5.28016,labor market center bornholm busi center bornholm busi center bornholm compani,bornholm compani busi energi labor
reg,11,6.2094793,2.0874808,offshor wind wind farm offshor wind farm wind turbin danish energi,energi wind bornholm offshor area
reg,10,6.4711027,2.858758,bornholm offshor wind offshor wind bornholm offshor offshor wind turbin wind turbin,bornholm wind offshor energi project
reg,10,6.324162,2.9985015,bornholm offshor wind offshor wind bornholm offshor offshor wind turbin wind turbin,bornholm wind offshor energi project
reg,10,6.3577905,3.0139055,bornholm offshor wind offshor wind bornholm offshor offshor wind turbin wind turbin,bornholm wind offshor energi project
reg,0,8.0982,4.9492254,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,14,6.2697616,5.0059304,busi center morten bødskov press releas busi center bornholm green energi,bornholm energi island busi green
reg,3,6.655008,3.479515,rønne harbor baltic sea wind turbin thoma bendtsen offshor wind,bornholm energi wind island offshor
reg,18,5.5023236,5.0906453,labor market center bornholm busi center bornholm busi center bornholm compani,bornholm compani busi energi labor
reg,18,5.613148,5.0120516,labor market center bornholm busi center bornholm busi center bornholm compani,bornholm compani busi energi labor
reg,3,5.8698754,4.1775355,rønne harbor baltic sea wind turbin thoma bendtsen offshor wind,bornholm energi wind island offshor
reg,3,5.90448,4.038542,rønne harbor baltic sea wind turbin thoma bendtsen offshor wind,bornholm energi wind island offshor
reg,17,5.9446306,5.011297,energi busi develop strategi busi commun energiø bornholm plan develop,bornholm energi island busi project
reg,3,6.381748,2.6488888,rønne harbor baltic sea wind turbin thoma bendtsen offshor wind,bornholm energi wind island offshor
reg,9,7.248729,2.5384705,electr grid bornholm electr bornholm electr grid price zone connect bornholm,bornholm energi electr connect island
reg,0,7.6689405,3.7278368,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,18,5.7288113,5.030416,labor market center bornholm busi center bornholm busi center bornholm compani,bornholm compani busi energi labor
reg,9,7.4546504,3.2218368,electr grid bornholm electr bornholm electr grid price zone connect bornholm,bornholm energi electr connect island
reg,18,5.3429084,5.2865305,labor market center bornholm busi center bornholm busi center bornholm compani,bornholm compani busi energi labor
reg,14,6.586379,4.4936666,busi center morten bødskov press releas busi center bornholm green energi,bornholm energi island busi green
reg,18,5.3076277,5.3514385,labor market center bornholm busi center bornholm busi center bornholm compani,bornholm compani busi energi labor
reg,22,5.662203,3.8648639,bornholm line electr car rest countri think bornholm bornholm busi,bornholm year island also ferri
reg,8,6.717902,4.0074563,baltic energi baltic energi island nation center green energi danish busi,energi bornholm island busi project
reg,10,6.0525846,3.2654982,bornholm offshor wind offshor wind bornholm offshor offshor wind turbin wind turbin,bornholm wind offshor energi project
reg,12,4.1626034,2.9300916,transform station land plant energi industri green transit properti valu,bornholm energi island plant land
reg,12,4.0468473,2.74525,transform station land plant energi industri green transit properti valu,bornholm energi island plant land
reg,0,7.591245,3.6574388,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,18,5.6183476,5.0745587,labor market center bornholm busi center bornholm busi center bornholm compani,bornholm compani busi energi labor
reg,0,7.8898263,4.6604424,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,12,4.391107,3.5041318,transform station land plant energi industri green transit properti valu,bornholm energi island plant land
reg,0,7.6244354,4.5881104,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,3,6.788628,3.199688,rønne harbor baltic sea wind turbin thoma bendtsen offshor wind,bornholm energi wind island offshor
reg,8,7.3860297,4.2571397,baltic energi baltic energi island nation center green energi danish busi,energi bornholm island busi project
reg,1,2.89096,3.0677428,social democraci ann thoma municip council rené danielsson top candid,bornholm say also energi municip
reg,11,5.8023043,1.4918486,offshor wind wind farm offshor wind farm wind turbin danish energi,energi wind bornholm offshor area
reg,0,8.067157,4.2895784,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,1,2.7222269,3.6631548,social democraci ann thoma municip council rené danielsson top candid,bornholm say also energi municip
reg,3,5.594018,3.8057709,rønne harbor baltic sea wind turbin thoma bendtsen offshor wind,bornholm energi wind island offshor
reg,11,5.6553283,1.4373735,offshor wind wind farm offshor wind farm wind turbin danish energi,energi wind bornholm offshor area
reg,9,7.528623,3.081164,electr grid bornholm electr bornholm electr grid price zone connect bornholm,bornholm energi electr connect island
reg,0,8.012849,3.7327986,north sea realli good use bornholm el net net east,bornholm energi island electr municip
reg,8,7.0843287,4.068195,baltic energi baltic energi island nation center green energi danish busi,energi bornholm island busi project
reg,7,3.296041,4.3638983,climat plan municip council next year municip economi labor market,bornholm municip energi year climat
reg,3,6.8939314,3.2208629,rønne harbor baltic sea wind turbin thoma bendtsen offshor wind,bornholm energi wind island offshor
reg,3,6.5858383,4.0422244,rønne harbor baltic sea wind turbin thoma bendtsen offshor wind,bornholm energi wind island offshor
reg,2,4.2475057,1.0365441,consult respons high voltag danish energi agenc energi agenc danish energi,bornholm energi area plant municip
