Source,cluster,x,y
reg,9,7.854076,8.722292
reg,2,5.1446905,8.615044
reg,15,6.5615234,10.253514
reg,12,5.470601,8.475835
reg,10,6.679892,9.617998
reg,1,5.2936997,10.631875
reg,1,5.045949,10.0272255
reg,2,4.865984,8.644552
reg,0,4.835536,8.935963
reg,1,5.625694,11.298174
reg,0,4.767727,8.773415
reg,1,4.5574226,10.0159855
reg,9,7.5803833,8.418871
reg,3,5.5520887,8.962854
reg,2,4.8943725,8.615203
reg,2,5.7607584,9.87551
reg,1,5.589757,11.1241455
reg,1,4.803398,10.134758
reg,-1,7.2569184,8.20352
reg,5,6.529682,7.7450767
reg,17,4.4094257,10.3284025
reg,10,7.399544,10.402676
reg,2,4.931668,8.343423
reg,2,6.317116,10.735555
reg,9,8.466621,9.210972
reg,3,4.940913,8.061171
reg,2,4.9554505,8.261009
reg,1,4.64549,9.719022
reg,2,4.857833,8.227744
reg,3,5.2760377,8.396868
reg,8,6.29007,7.923399
reg,17,4.4607196,10.36828
reg,1,5.086176,10.7990265
reg,1,5.1366105,10.618288
reg,1,5.152012,10.551594
reg,3,6.750403,10.767362
reg,18,5.647363,8.186553
reg,0,5.3197527,10.291341
reg,8,6.2129316,7.9052587
reg,4,6.0908556,8.204643
reg,3,5.832213,9.226367
reg,2,5.620212,9.578808
reg,-1,5.9060307,8.266849
reg,1,5.546405,11.303307
reg,14,4.395607,11.1769
reg,1,4.4872155,9.254311
reg,4,5.9219704,8.085088
reg,4,7.469684,10.131187
reg,14,3.9581368,9.958628
reg,13,6.272365,7.7427974
reg,15,5.5535593,8.678953
reg,13,6.377205,7.731836
reg,3,5.8997626,9.506268
reg,0,4.9178405,9.0492
reg,2,5.648613,9.927211
reg,18,7.2922463,10.5975485
reg,10,7.516371,10.744811
reg,17,4.2719626,9.970301
reg,16,6.743338,10.1531315
reg,11,6.0248985,7.9760504
reg,0,5.1554675,9.32225
reg,16,7.1270704,10.825311
reg,1,4.4511275,8.919066
reg,0,5.1114674,10.019841
reg,1,4.350547,8.9200945
reg,3,6.867521,10.86677
reg,1,5.868631,12.151511
reg,2,6.250751,10.868428
reg,6,8.761997,9.3568735
reg,3,6.225887,9.957696
reg,0,6.2325006,12.309509
reg,14,3.980957,10.483734
reg,17,4.531924,10.528361
reg,1,4.4854417,9.230092
reg,9,7.907024,8.803378
reg,0,5.3702226,10.033988
reg,3,5.4015107,8.827738
reg,3,7.7708297,12.271546
reg,12,7.100033,10.868159
reg,1,6.1061797,12.132499
reg,10,7.0260787,10.117248
reg,7,5.7946215,8.556055
reg,2,5.973975,10.170074
reg,-1,3.9135103,10.867256
reg,14,4.2055583,11.008607
reg,5,7.6604652,8.849182
reg,2,6.905482,12.054621
reg,1,4.4246783,9.24046
