Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
reg,4,3.450062,4.209695,climat plan municip council young peopl municip economi labor market,municip bornholm year climat plan
reg,5,8.024195,4.7644815,euroregion baltic north sea realli good use bornholm el net,bornholm energi island wind project
reg,13,5.84219,3.5546088,green energi good idea wast heat wind turbin transform station,energi bornholm island wind green
reg,0,5.035937,4.73887,energi busi busi commun energiø bornholm develop strategi uniqu opportun,bornholm energi island busi project
reg,5,7.7128153,4.4659095,euroregion baltic north sea realli good use bornholm el net,bornholm energi island wind project
reg,5,7.8647676,4.875133,euroregion baltic north sea realli good use bornholm el net,bornholm energi island wind project
reg,5,7.749224,4.630842,euroregion baltic north sea realli good use bornholm el net,bornholm energi island wind project
reg,5,7.6643467,4.6529512,euroregion baltic north sea realli good use bornholm el net,bornholm energi island wind project
reg,5,7.920537,4.1632333,euroregion baltic north sea realli good use bornholm el net,bornholm energi island wind project
reg,4,3.9797266,4.4816327,climat plan municip council young peopl municip economi labor market,municip bornholm year climat plan
reg,16,6.799031,4.5030446,baltic energi baltic energi island energi island green energi nation center,energi bornholm island busi green
reg,5,7.824883,4.926852,euroregion baltic north sea realli good use bornholm el net,bornholm energi island wind project
reg,3,6.703543,3.296421,offshor wind bornholm offshor wind bornholm offshor offshor wind turbin wind turbin,wind bornholm offshor energi project
reg,4,3.8579855,4.9793706,climat plan municip council young peopl municip economi labor market,municip bornholm year climat plan
reg,9,5.287923,5.3768306,labor market center bornholm busi center bornholm busi center press releas,bornholm compani busi energi labor
reg,8,3.0711215,3.27544,social democraci ann thoma municip council rené danielsson busi park,bornholm say municip also energi
reg,5,7.923741,4.9812694,euroregion baltic north sea realli good use bornholm el net,bornholm energi island wind project
reg,5,7.6991377,5.0097685,euroregion baltic north sea realli good use bornholm el net,bornholm energi island wind project
reg,5,7.642284,5.0348334,euroregion baltic north sea realli good use bornholm el net,bornholm energi island wind project
reg,5,7.4961615,4.882254,euroregion baltic north sea realli good use bornholm el net,bornholm energi island wind project
reg,5,7.6119347,5.0023293,euroregion baltic north sea realli good use bornholm el net,bornholm energi island wind project
reg,9,5.341339,5.28016,labor market center bornholm busi center bornholm busi center press releas,bornholm compani busi energi labor
reg,3,6.4711027,2.858758,offshor wind bornholm offshor wind bornholm offshor offshor wind turbin wind turbin,wind bornholm offshor energi project
reg,3,6.324162,2.9985015,offshor wind bornholm offshor wind bornholm offshor offshor wind turbin wind turbin,wind bornholm offshor energi project
reg,3,6.3577905,3.0139055,offshor wind bornholm offshor wind bornholm offshor offshor wind turbin wind turbin,wind bornholm offshor energi project
reg,5,8.0982,4.9492254,euroregion baltic north sea realli good use bornholm el net,bornholm energi island wind project
reg,9,5.5023236,5.0906453,labor market center bornholm busi center bornholm busi center press releas,bornholm compani busi energi labor
reg,9,5.613148,5.0120516,labor market center bornholm busi center bornholm busi center press releas,bornholm compani busi energi labor
reg,10,5.8698754,4.1775355,rønne harbor thoma bendtsen baltic sea center bornholm nexø harbor,bornholm wind energi offshor compani
reg,10,5.90448,4.038542,rønne harbor thoma bendtsen baltic sea center bornholm nexø harbor,bornholm wind energi offshor compani
reg,0,5.9446306,5.011297,energi busi busi commun energiø bornholm develop strategi uniqu opportun,bornholm energi island busi project
reg,17,7.248729,2.5384705,electr grid bornholm electr bornholm electr grid connect bornholm lar aagaard,bornholm energi electr connect island
reg,5,7.6689405,3.7278368,euroregion baltic north sea realli good use bornholm el net,bornholm energi island wind project
reg,9,5.7288113,5.030416,labor market center bornholm busi center bornholm busi center press releas,bornholm compani busi energi labor
reg,17,7.4546504,3.2218368,electr grid bornholm electr bornholm electr grid connect bornholm lar aagaard,bornholm energi electr connect island
reg,9,5.3429084,5.2865305,labor market center bornholm busi center bornholm busi center press releas,bornholm compani busi energi labor
reg,9,5.3076277,5.3514385,labor market center bornholm busi center bornholm busi center press releas,bornholm compani busi energi labor
