Source,cluster,x,y
sci,2,1.574026,-7.741751
sci,8,4.209855,-3.8786411
sci,10,7.4200697,-3.598634
sci,5,6.8394175,-4.631332
sci,10,6.9455314,-4.4145617
sci,0,4.2933464,-5.725375
sci,7,5.7866173,-5.6323977
sci,0,4.612077,-4.9047675
sci,8,7.8938155,-5.1199965
sci,0,5.4399476,-4.4394183
sci,13,6.446192,-3.7860398
sci,8,8.281583,-4.4645905
sci,2,2.036087,-7.635301
sci,2,2.0471847,-7.9712605
sci,1,2.2563326,-8.251945
sci,8,8.051065,-4.271936
sci,2,1.9217229,-8.283809
sci,0,5.1768136,-3.459589
sci,0,4.997043,-4.80667
sci,5,7.183268,-4.5906334
sci,8,8.214223,-4.263437
sci,13,6.2976217,-3.714895
sci,10,7.4731674,-3.9064674
sci,12,7.174508,-5.1093717
sci,8,8.453969,-4.5972033
sci,3,3.0404887,-4.883228
sci,13,6.4965196,-3.825044
sci,9,7.5992,-4.6345716
sci,4,2.321179,-7.4174476
sci,6,7.350446,-2.3208177
sci,0,5.3276443,-3.661755
sci,9,7.0026298,-5.2516546
sci,0,4.3046136,-3.8014324
sci,0,5.7584143,-4.3402357
sci,8,7.905546,-4.5524297
sci,8,8.325732,-4.5158424
sci,0,4.749172,-3.7227542
sci,0,4.214342,-4.9148116
sci,13,6.729269,-3.854158
sci,2,2.1379144,-7.734491
sci,8,8.293199,-4.525846
sci,1,2.9724185,-7.5565205
sci,5,7.3027744,-4.744315
sci,13,6.4343486,-3.7981594
sci,12,7.3633223,-4.963642
sci,2,1.8267442,-7.9217377
sci,11,6.715706,-2.050478
sci,4,2.342803,-7.631527
sci,1,2.6557717,-7.7056646
sci,10,7.286842,-4.01533
sci,1,2.5952542,-7.1429744
sci,0,4.7104187,-4.63537
sci,8,8.335306,-4.540344
sci,0,4.5584273,-4.8739386
sci,8,8.335399,-4.454204
sci,1,2.6816027,-7.458758
sci,12,7.5117016,-5.0809526
sci,9,7.6477532,-4.7418723
sci,5,6.334359,-4.820749
sci,8,8.116563,-4.1928644
sci,7,5.6931686,-5.6040134
sci,9,6.2309737,-5.7484894
sci,1,2.7691307,-7.3214107
sci,7,5.0384665,-6.062262
sci,4,1.6968958,-6.741328
sci,13,6.1854234,-3.5861259
sci,4,2.0557246,-7.3932037
sci,0,3.9462276,-4.342271
sci,9,6.8854756,-5.307947
sci,5,6.633712,-4.895917
sci,5,6.8472695,-4.801755
sci,10,7.1718655,-4.171689
sci,10,7.188829,-3.9316738
sci,7,5.326135,-5.9229684
sci,7,4.891852,-4.8325567
sci,8,8.442048,-4.6449127
sci,1,2.7761354,-7.4166627
sci,8,8.038079,-4.424775
sci,2,1.796878,-8.137078
sci,7,4.8807244,-5.3325915
sci,8,8.359172,-4.470706
sci,0,4.813829,-3.7057285
sci,0,3.6981668,-4.8544083
sci,3,3.1827877,-4.9038863
sci,1,2.2248902,-8.06407
sci,1,2.421669,-8.329332
sci,3,3.0923538,-5.206105
sci,9,7.3319664,-4.795762
sci,1,2.8380923,-7.7633576
sci,9,6.1721406,-5.4866896
sci,5,6.8327894,-4.2736044
sci,13,6.618832,-3.9941635
sci,5,6.714677,-4.7308135
sci,2,1.9969587,-8.408652
sci,9,6.338421,-5.49101
sci,12,7.3534417,-5.212434
sci,3,3.0420563,-6.0048585
sci,10,6.7027297,-3.1339936
sci,5,6.974619,-4.3042793
sci,2,1.903011,-8.388215
sci,13,6.4078965,-3.8251894
sci,0,5.3422365,-4.4812284
sci,8,8.393677,-4.607145
sci,8,8.189638,-4.6825705
sci,9,7.444652,-4.7963476
sci,3,2.7881339,-5.550555
