Source,cluster,x,y
sci,10,4.9226384,7.182948
sci,2,0.67189103,6.122559
sci,13,-0.43520594,8.274394
sci,7,0.08417003,8.190828
sci,12,-0.090860635,8.40275
sci,6,2.0019753,6.3023696
sci,11,1.0490799,7.820724
sci,6,1.567401,5.6455803
sci,2,0.755027,6.9590535
sci,0,1.3711427,6.1424417
sci,8,-0.9035651,7.7689495
sci,16,0.21128114,6.592168
sci,1,4.7350774,7.3491836
sci,1,4.856354,7.5443463
sci,3,4.704082,8.098646
sci,7,0.058596127,6.8393784
sci,1,5.223906,7.946645
sci,2,0.52135473,5.4046655
sci,6,2.0711253,7.390222
sci,17,4.007185,8.313353
sci,7,0.20035475,7.880501
sci,16,0.29371879,6.7377014
sci,8,-0.87179,7.4268727
sci,16,0.2851629,8.165767
sci,8,-1.4386002,7.8308945
sci,2,0.71966976,8.471534
sci,11,0.91735387,6.3798413
sci,5,2.379421,5.1861258
sci,8,-1.0894724,7.9520082
sci,2,0.57262063,7.9002676
sci,10,4.987436,7.022861
sci,13,-0.31289378,7.5112844
sci,2,0.44092476,5.4085445
sci,4,2.964381,8.057866
sci,2,0.80156183,8.120537
sci,6,1.3676957,5.189047
sci,6,2.2268226,7.209553
sci,5,3.8995578,8.352344
sci,7,0.08820018,6.710726
sci,16,0.21479619,7.199556
sci,15,0.36330974,6.7725763
sci,0,0.99909717,4.711431
sci,6,1.5984001,5.847362
sci,12,-0.283288,8.410336
sci,9,3.8588345,7.344735
sci,16,0.30369282,7.0017304
sci,9,3.831381,7.696311
sci,7,0.16579138,7.8768654
sci,8,-0.9672376,7.973478
sci,2,0.5340943,8.483693
sci,1,4.726219,7.395666
sci,7,0.091105774,5.3218403
sci,3,4.2840576,7.391759
sci,9,4.030187,7.7153854
sci,12,-0.06857561,8.695383
sci,1,4.2166348,6.97201
sci,0,0.94599503,5.928719
sci,15,0.36849532,6.7758813
sci,6,1.4961134,5.5660067
sci,2,0.43116596,6.8895164
sci,3,4.1360035,7.411445
sci,2,0.84184945,8.510745
sci,2,0.7745656,7.789448
sci,2,0.70076054,8.275163
sci,2,0.60248595,6.403289
sci,0,1.411996,7.4346066
sci,11,1.287184,8.630197
sci,3,3.9838839,7.224099
sci,0,1.7858443,7.678364
sci,10,4.1998467,6.173484
sci,-1,-0.54937017,6.8872705
sci,10,4.88658,7.0686045
sci,6,1.4949839,5.262187
sci,11,0.9671285,8.000975
sci,2,0.7663466,7.7467003
sci,7,0.16384865,8.294115
sci,7,-0.004453954,7.881416
sci,12,-0.25499436,7.780472
sci,0,1.7877307,7.748075
sci,11,0.89526504,6.751138
sci,2,0.5466933,6.6976557
sci,3,4.0982714,7.163594
sci,15,0.3708932,7.06943
sci,5,3.817569,8.3071995
