Source,cluster,x,y,TF_IDF_topic_name
sci,0,5.2698812,12.91376,"vsc hvdc, 0.0084, 4, 5 | reactive power, 0.0072, 27, 57 | dc grid, 0.0070, 26, 64 | ac grid, 0.0070, 26, 46 | high voltage, 0.0068, 27, 32"
sci,2,1.4828551,9.84694,"hydrogen production, 0.0298, 16, 31 | green hydrogen, 0.0215, 12, 21 | co2 emissions, 0.0146, 9, 14 | oil gas, 0.0146, 12, 15 | energy system, 0.0134, 17, 38"
sci,1,-0.14016883,11.285747,"renewable energy, 0.0206, 63, 106 | energy island, 0.0162, 88, 120 | sustainable energy, 0.0142, 16, 27 | energy islands, 0.0136, 41, 52 | energy sources, 0.0121, 35, 45"
sci,1,0.5231647,11.857331,"renewable energy, 0.0206, 63, 106 | energy island, 0.0162, 88, 120 | sustainable energy, 0.0142, 16, 27 | energy islands, 0.0136, 41, 52 | energy sources, 0.0121, 35, 45"
sci,1,0.3754505,11.703064,"renewable energy, 0.0206, 63, 106 | energy island, 0.0162, 88, 120 | sustainable energy, 0.0142, 16, 27 | energy islands, 0.0136, 41, 52 | energy sources, 0.0121, 35, 45"
sci,3,3.4299529,10.246444,"north sea, 0.0196, 69, 116 | offshore wind, 0.0183, 86, 193 | offshore grid, 0.0157, 97, 179 | wind energy, 0.0076, 29, 49 | offshore wind energy, 0.0069, 19, 33"
sci,1,1.6739358,11.45417,"renewable energy, 0.0206, 63, 106 | energy island, 0.0162, 88, 120 | sustainable energy, 0.0142, 16, 27 | energy islands, 0.0136, 41, 52 | energy sources, 0.0121, 35, 45"
sci,3,2.306792,9.574003,"north sea, 0.0196, 69, 116 | offshore wind, 0.0183, 86, 193 | offshore grid, 0.0157, 97, 179 | wind energy, 0.0076, 29, 49 | offshore wind energy, 0.0069, 19, 33"
sci,1,1.4055737,11.987128,"renewable energy, 0.0206, 63, 106 | energy island, 0.0162, 88, 120 | sustainable energy, 0.0142, 16, 27 | energy islands, 0.0136, 41, 52 | energy sources, 0.0121, 35, 45"
sci,0,3.887143,11.540714,"vsc hvdc, 0.0084, 4, 5 | reactive power, 0.0072, 27, 57 | dc grid, 0.0070, 26, 64 | ac grid, 0.0070, 26, 46 | high voltage, 0.0068, 27, 32"
