Source,cluster,x,y
Pro Media,32,6.1298223,8.223688
Pro Media,28,5.008396,9.291886
Pro Media,12,6.5167813,9.751603
Pro Media,32,5.994168,8.100631
Pro Media,12,6.3905787,9.793563
Pro Media,20,5.5638223,8.888878
Pro Media,9,5.206671,6.930363
Pro Media,7,8.7398405,7.610788
Pro Media,33,6.1644545,8.879295
Pro Media,5,5.5186005,8.168729
Pro Media,5,5.9336467,8.835883
Pro Media,18,5.806428,7.0163493
Pro Media,28,5.2878137,9.322854
Pro Media,33,6.006238,9.051304
Pro Media,12,6.2639685,9.806706
Pro Media,4,8.992444,9.20811
Pro Media,32,5.8930454,8.109496
Pro Media,25,4.845008,8.805907
Pro Media,12,6.4668875,9.900418
Pro Media,28,5.4269767,9.287597
Pro Media,9,4.928256,7.3178267
Pro Media,3,4.8220644,7.1525536
Pro Media,5,5.4160357,8.43945
Pro Media,12,6.286282,9.720774
Pro Media,5,5.507857,8.538038
Pro Media,3,4.330598,6.870192
Pro Media,18,5.843305,7.688361
Pro Media,18,5.7523637,7.5219517
Pro Media,25,4.5619416,8.734222
Pro Media,3,4.6476364,7.1904573
Pro Media,5,5.1643367,8.520534
Pro Media,5,5.4632826,8.534014
Pro Media,25,4.729594,9.010951
Pro Media,25,4.492077,8.798066
Pro Media,13,3.9005487,7.8519297
Pro Media,3,4.5569954,6.720697
Pro Media,2,3.01171,9.314243
Pro Media,18,5.7877917,7.4272757
Pro Media,38,7.1888576,8.695044
Pro Media,9,4.8447714,7.3422165
Pro Media,5,5.559603,8.404882
Pro Media,5,5.5842824,8.656901
Pro Media,18,5.5862813,7.4752893
Pro Media,37,6.7309194,8.860944
Pro Media,25,4.367592,8.405948
Pro Media,25,4.8430796,8.9246855
Pro Media,25,4.513571,8.660029
Pro Media,36,4.5714707,9.403009
Pro Media,10,4.0611334,7.4068127
Pro Media,20,5.2033806,9.097182
Pro Media,1,5.2221155,8.838703
Pro Media,20,4.950888,9.223297
Pro Media,38,7.1833916,8.299764
Pro Media,9,5.3460603,7.560349
Pro Media,5,5.216863,7.9589257
Pro Media,1,5.2223325,8.80954
Pro Media,1,5.3373346,8.616771
Pro Media,3,4.342368,6.744896
Pro Media,5,5.645285,8.748886
Pro Media,9,5.443373,6.962565
Pro Media,5,5.882312,8.64061
Pro Media,7,8.64724,7.7306285
Pro Media,9,5.1924834,7.269597
Pro Media,15,9.844665,7.000069
Pro Media,3,4.3910246,7.0961895
Pro Media,19,10.723524,9.0708275
Pro Media,5,5.384679,8.411748
Pro Media,1,5.273178,8.809357
Pro Media,1,4.333956,8.420205
Pro Media,8,2.2391317,7.639393
Pro Media,3,4.2210684,7.2580333
Pro Media,5,5.488134,8.532546
Pro Media,5,6.0048285,8.772403
Pro Media,1,3.706028,8.673176
Pro Media,15,10.339231,7.0925975
Pro Media,12,6.482809,9.802961
Pro Media,38,7.0634446,8.464911
Pro Media,5,6.2132673,8.788613
Pro Media,23,7.516021,8.003699
Pro Media,18,6.3527346,7.3516846
Pro Media,5,5.454243,8.230058
Pro Media,23,7.6935234,7.8561544
Pro Media,3,4.2218046,7.064889
Pro Media,32,6.040294,7.777043
