Source,cluster,x,y
Pro Media,3,7.2280684,7.7527256
Pro Media,9,8.127151,9.206497
Pro Media,1,9.141326,8.51687
Pro Media,0,9.521635,7.285424
Pro Media,1,8.885007,8.857302
Pro Media,11,7.752709,8.757475
Pro Media,7,6.148037,8.120837
Pro Media,-1,8.327091,10.060466
Pro Media,3,7.620534,7.279001
Pro Media,8,7.7884645,11.319385
Pro Media,2,8.1293335,8.280748
Pro Media,11,7.317662,8.389287
Pro Media,2,8.00479,8.371139
Pro Media,3,6.81847,7.2854285
Pro Media,9,8.255981,9.107942
Pro Media,-1,8.772105,7.899471
Pro Media,7,6.511087,9.134585
Pro Media,0,8.159646,4.7276034
Pro Media,1,8.982446,8.746835
Pro Media,0,9.438041,6.4081335
Pro Media,11,7.2643213,8.188463
Pro Media,14,7.284137,9.518043
Pro Media,1,9.266432,8.624314
Pro Media,9,8.3774,8.897233
Pro Media,7,6.5157332,9.200671
Pro Media,7,5.906365,8.699549
Pro Media,11,7.3293223,8.606306
Pro Media,1,9.007168,8.614612
Pro Media,11,7.480966,8.592916
Pro Media,5,5.6768804,8.963567
Pro Media,-1,6.9243093,7.614937
Pro Media,3,7.1250114,7.538681
Pro Media,14,7.3166046,9.671519
Pro Media,7,5.9813547,8.832322
Pro Media,11,7.295704,8.970352
Pro Media,11,7.4869704,8.602442
Pro Media,11,7.5858655,9.40599
Pro Media,14,7.357408,9.570503
Pro Media,13,6.4227195,9.721798
Pro Media,5,5.4814906,8.820704
Pro Media,-1,7.951209,10.895467
Pro Media,-1,6.8280783,7.6285753
Pro Media,2,8.233079,7.16369
Pro Media,-1,6.5750813,8.8053055
Pro Media,11,7.0721116,8.53931
Pro Media,11,7.5981655,8.558998
Pro Media,-1,6.9230995,7.821715
Pro Media,2,8.254264,7.821229
Pro Media,-1,6.9222994,9.489024
Pro Media,11,7.564936,9.344052
Pro Media,14,7.24111,9.55906
Pro Media,4,7.579363,9.745965
Pro Media,0,10.398138,6.327761
Pro Media,-1,8.550505,9.788594
Pro Media,-1,7.999731,8.692132
Pro Media,11,7.7860956,8.88016
Pro Media,9,7.9163327,9.393343
Pro Media,2,7.801544,7.213577
Pro Media,11,6.8502426,8.259646
Pro Media,11,7.088871,8.381057
Pro Media,11,7.7626414,9.01717
Pro Media,11,7.5757136,8.802238
Pro Media,5,5.4444485,8.8396435
Pro Media,11,7.8212547,8.718146
Pro Media,3,6.8787065,7.2418976
Pro Media,-1,7.7655964,8.339574
Pro Media,0,7.7614694,5.253075
Pro Media,-1,6.496506,8.179971
Pro Media,0,8.990062,5.553197
Pro Media,5,5.459131,9.1226635
Pro Media,0,10.2627535,4.906013
Pro Media,11,7.446961,8.483963
Pro Media,11,7.9190845,8.835602
Pro Media,10,6.5749226,10.190413
Pro Media,10,5.730614,11.329035
Pro Media,14,6.9408507,9.684416
Pro Media,11,7.4846315,8.695901
Pro Media,0,7.9904156,4.7473316
Pro Media,2,8.276709,8.45106
Pro Media,2,8.080672,8.125907
Pro Media,12,7.126542,10.217273
Pro Media,0,9.443466,4.159362
Pro Media,1,9.3304,8.358657
Pro Media,3,7.576125,7.7386284
Pro Media,2,8.1581545,8.374425
Pro Media,0,7.8037705,6.574045
Pro Media,-1,7.4378467,6.801514
Pro Media,7,6.8304105,8.997195
Pro Media,0,8.120307,4.982129
Pro Media,5,5.813946,9.14826
Pro Media,11,7.1566577,8.118713
Pro Media,1,9.146976,8.542645
Pro Media,11,7.643195,8.815045
Pro Media,11,7.3460073,8.949721
Pro Media,2,8.24601,8.180998
Pro Media,7,6.5924654,9.031001
Pro Media,12,7.17653,10.145062
Pro Media,-1,6.9258633,9.460349
Pro Media,3,7.1594033,7.507518
Pro Media,11,7.8033547,9.194817
Pro Media,11,7.307345,8.635066
Pro Media,7,6.262661,8.660673
Pro Media,0,10.260514,5.917713
Pro Media,8,7.900373,11.167768
Pro Media,11,7.739311,9.275058
Pro Media,-1,8.584623,8.82251
Pro Media,12,7.0678573,10.011317
Pro Media,8,7.575749,11.156385
Pro Media,11,7.567818,9.23352
Pro Media,-1,6.719507,7.9876084
Pro Media,1,9.064777,8.539958
Pro Media,-1,8.152922,8.62343
Pro Media,2,8.184525,8.239213
Pro Media,1,9.219512,8.547218
Pro Media,13,6.6800017,9.845609
Pro Media,7,6.2731686,8.597988
Pro Media,3,7.6849823,7.4993896
Pro Media,9,8.092889,9.012027
Pro Media,11,7.588196,8.819427
Pro Media,0,9.108865,7.6749773
Pro Media,7,5.9288616,7.98936
