Source,topic_int,labels_layer,topic_names
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,6,6_price_wind_energi_sea,6_price_wind_energi_sea
Pro Media,2,2_germani_wind_energi_connect,2_germani_wind_energi_connect
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,8,8_wind_electr_energi_island,8_wind_electr_energi_island
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,-1,Noise,Noise
Pro Media,37,37_cabl_energi_project_bornholm,37_cabl_energi_project_bornholm
Pro Media,-1,Noise,Noise
Pro Media,12,12_bornholm_municip_green_busi,12_bornholm_municip_green_busi
Pro Media,8,8_wind_electr_energi_island,8_wind_electr_energi_island
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,31,31_wind_energi_turbin_sea,31_wind_energi_turbin_sea
Pro Media,2,2_germani_wind_energi_connect,2_germani_wind_energi_connect
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,24,24_light_system_renew_pollut,24_light_system_renew_pollut
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,27,27_co2_catch_system_energi,27_co2_catch_system_energi
Pro Media,8,8_wind_electr_energi_island,8_wind_electr_energi_island
Pro Media,17,17_hydrogen_cour_european_la,17_hydrogen_cour_european_la
Pro Media,25,25_til_og_danmark_bredygtig,25_til_og_danmark_bredygtig
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,38,38_energi_wind_sea_offshor,38_energi_wind_sea_offshor
Pro Media,2,2_germani_wind_energi_connect,2_germani_wind_energi_connect
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,18,18_energi_project_wind_island,18_energi_project_wind_island
Pro Media,36,36_island_energi_bornholm_power,36_island_energi_bornholm_power
Pro Media,6,6_price_wind_energi_sea,6_price_wind_energi_sea
Pro Media,2,2_germani_wind_energi_connect,2_germani_wind_energi_connect
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,5,5_er_og_til_der,5_er_og_til_der
Pro Media,19,19_energi_og_bornholm_island,19_energi_og_bornholm_island
Pro Media,28,28_wind_sea_offshor_energi,28_wind_sea_offshor_energi
Pro Media,8,8_wind_electr_energi_island,8_wind_electr_energi_island
Pro Media,18,18_energi_project_wind_island,18_energi_project_wind_island
Pro Media,18,18_energi_project_wind_island,18_energi_project_wind_island
Pro Media,6,6_price_wind_energi_sea,6_price_wind_energi_sea
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,37,37_cabl_energi_project_bornholm,37_cabl_energi_project_bornholm
Pro Media,36,36_island_energi_bornholm_power,36_island_energi_bornholm_power
Pro Media,3,3_bornholm_baltic_defens_nato,3_bornholm_baltic_defens_nato
Pro Media,19,19_energi_og_bornholm_island,19_energi_og_bornholm_island
Pro Media,7,7_budget_bornholm_municip_save,7_budget_bornholm_municip_save
Pro Media,8,8_wind_electr_energi_island,8_wind_electr_energi_island
Pro Media,17,17_hydrogen_cour_european_la,17_hydrogen_cour_european_la
Pro Media,40,40_project_energi_scheme_danish,40_project_energi_scheme_danish
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,28,28_wind_sea_offshor_energi,28_wind_sea_offshor_energi
Pro Media,8,8_wind_electr_energi_island,8_wind_electr_energi_island
Pro Media,41,41_hydrogen_ptx_electrolysi_pipe,41_hydrogen_ptx_electrolysi_pipe
Pro Media,18,18_energi_project_wind_island,18_energi_project_wind_island
Pro Media,20,20_wind_energi_bornholm_offshor,20_wind_energi_bornholm_offshor
Pro Media,19,19_energi_og_bornholm_island,19_energi_og_bornholm_island
Pro Media,18,18_energi_project_wind_island,18_energi_project_wind_island
Pro Media,2,2_germani_wind_energi_connect,2_germani_wind_energi_connect
Pro Media,38,38_energi_wind_sea_offshor,38_energi_wind_sea_offshor
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,20,20_wind_energi_bornholm_offshor,20_wind_energi_bornholm_offshor
Pro Media,33,33_hydrogen_cip_offshor_power,33_hydrogen_cip_offshor_power
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,20,20_wind_energi_bornholm_offshor,20_wind_energi_bornholm_offshor
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,19,19_energi_og_bornholm_island,19_energi_og_bornholm_island
Pro Media,0,0_wind_energi_offshor_climat,0_wind_energi_offshor_climat
Pro Media,2,2_germani_wind_energi_connect,2_germani_wind_energi_connect
Pro Media,31,31_wind_energi_turbin_sea,31_wind_energi_turbin_sea
Pro Media,48,48_water_ptx_power_system,48_water_ptx_power_system
Pro Media,38,38_energi_wind_sea_offshor,38_energi_wind_sea_offshor
