Source,topic_int,labels_layer,topic_names
Pro Media,20,20_island_wind_energi_er,20_island_wind_energi_er
Pro Media,11,11_bornholm_energi_wind_offshor,11_bornholm_energi_wind_offshor
Pro Media,40,40_climat_market_list_municip,40_climat_market_list_municip
Pro Media,39,39_error_energi_bornholm_democraci,39_error_energi_bornholm_democraci
Pro Media,33,33_island_municip_bornholm_school,33_island_municip_bornholm_school
Pro Media,7,7_energi_green_bornholm_wind,7_energi_green_bornholm_wind
Pro Media,18,18_busi_fund_bornholm_energi,18_busi_fund_bornholm_energi
Pro Media,26,26_til_og_sweco_energinet,26_til_og_sweco_energinet
Pro Media,14,14_energi_wind_area_hydrogen,14_energi_wind_area_hydrogen
Pro Media,14,14_energi_wind_area_hydrogen,14_energi_wind_area_hydrogen
Pro Media,26,26_til_og_sweco_energinet,26_til_og_sweco_energinet
Pro Media,8,8_er_bornholm_et_samarbejd,8_er_bornholm_et_samarbejd
Pro Media,12,12_energinet_plant_plan_architect,12_energinet_plant_plan_architect
Pro Media,17,17_wind_offshor_energi_bornholm,17_wind_offshor_energi_bornholm
Pro Media,9,9_energi_bornholm_project_island,9_energi_bornholm_project_island
Pro Media,26,26_til_og_sweco_energinet,26_til_og_sweco_energinet
Pro Media,0,0_og_en_til_af,0_og_en_til_af
Pro Media,1,1_hydrogen_co2_heat_product,1_hydrogen_co2_heat_product
Pro Media,33,33_island_municip_bornholm_school,33_island_municip_bornholm_school
Pro Media,17,17_wind_offshor_energi_bornholm,17_wind_offshor_energi_bornholm
Pro Media,1,1_hydrogen_co2_heat_product,1_hydrogen_co2_heat_product
Pro Media,2,2_bornholm_energi_wind_say,2_bornholm_energi_wind_say
Pro Media,6,6_bornholm_energi_area_wind,6_bornholm_energi_area_wind
Pro Media,3,3_energi_bornholm_budget_project,3_energi_bornholm_budget_project
Pro Media,41,41_bornholm_energi_island_project,41_bornholm_energi_island_project
Pro Media,2,2_bornholm_energi_wind_say,2_bornholm_energi_wind_say
Pro Media,16,16_municip_budget_bornholm_save,16_municip_budget_bornholm_save
Pro Media,13,13_det_er_og_der,13_det_er_og_der
Pro Media,16,16_municip_budget_bornholm_save,16_municip_budget_bornholm_save
Pro Media,6,6_bornholm_energi_area_wind,6_bornholm_energi_area_wind
Pro Media,0,0_og_en_til_af,0_og_en_til_af
Pro Media,3,3_energi_bornholm_budget_project,3_energi_bornholm_budget_project
Pro Media,6,6_bornholm_energi_area_wind,6_bornholm_energi_area_wind
Pro Media,17,17_wind_offshor_energi_bornholm,17_wind_offshor_energi_bornholm
Pro Media,20,20_island_wind_energi_er,20_island_wind_energi_er
