Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
pro,2,1.1036413,3.1952841,data center marin mammal christian bueger manag consult per cent,energi island sea area wind
pro,5,0.9997639,1.7572459,hesselag pedersen morten hesselag morten hesselag pedersen green transit hann storm,energi island say electr project
pro,3,-0.03596484,2.1914277,convert station north sea wind farm two countri transform station,energi island wind connect sea
pro,6,3.0549135,2.856373,offshor wind wind turbin wind farm offshor wind farm offshor wind turbin,energi wind offshor island electr
pro,3,0.078311734,2.1281497,convert station north sea wind farm two countri transform station,energi island wind connect sea
pro,6,1.4311142,2.0622487,offshor wind wind turbin wind farm offshor wind farm offshor wind turbin,energi wind offshor island electr
pro,0,3.6506846,2.582745,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,0,4.2205667,2.3070788,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,0,3.576674,4.243434,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,0,2.5847995,1.0337788,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,4,2.5887105,2.3235455,offshor wind energiø bornholm gw offshor green sector danish energi agenc,wind energi offshor island project
pro,0,2.3506951,1.1576443,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,0,3.4778006,2.5923095,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,6,1.0366879,2.0942032,offshor wind wind turbin wind farm offshor wind farm offshor wind turbin,energi wind offshor island electr
pro,0,1.8787326,0.73340136,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,0,3.6392357,4.1976285,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,0,3.7280283,4.1562185,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,3,0.2221917,2.5847175,convert station north sea wind farm two countri transform station,energi island wind connect sea
pro,0,3.8797264,2.8230283,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,0,3.1717305,3.2502248,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,3,0.12110192,2.3758714,convert station north sea wind farm two countri transform station,energi island wind connect sea
pro,6,0.2721094,4.0153294,offshor wind wind turbin wind farm offshor wind farm offshor wind turbin,energi wind offshor island electr
pro,1,1.6779288,2.9516747,nuclear power open door wave power quantum comput digit twin,energi island wind project say
pro,1,2.0987515,2.9853096,nuclear power open door wave power quantum comput digit twin,energi island wind project say
pro,4,1.9017497,2.051992,offshor wind energiø bornholm gw offshor green sector danish energi agenc,wind energi offshor island project
pro,3,-0.05032146,2.0791645,convert station north sea wind farm two countri transform station,energi island wind connect sea
pro,4,2.034883,1.7692467,offshor wind energiø bornholm gw offshor green sector danish energi agenc,wind energi offshor island project
pro,2,1.5531238,4.085439,data center marin mammal christian bueger manag consult per cent,energi island sea area wind
pro,0,3.2489042,2.6239023,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,0,3.2441955,2.1110327,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,5,1.3384203,3.4964635,hesselag pedersen morten hesselag morten hesselag pedersen green transit hann storm,energi island say electr project
pro,1,1.9586574,3.6375225,nuclear power open door wave power quantum comput digit twin,energi island wind project say
pro,2,1.6348869,2.2684526,data center marin mammal christian bueger manag consult per cent,energi island sea area wind
pro,5,2.510216,1.5350134,hesselag pedersen morten hesselag morten hesselag pedersen green transit hann storm,energi island say electr project
pro,2,0.7221862,3.4220254,data center marin mammal christian bueger manag consult per cent,energi island sea area wind
pro,2,1.3621339,4.0302396,data center marin mammal christian bueger manag consult per cent,energi island sea area wind
pro,2,1.2673843,3.9887943,data center marin mammal christian bueger manag consult per cent,energi island sea area wind
pro,1,2.2585618,3.394354,nuclear power open door wave power quantum comput digit twin,energi island wind project say
pro,0,3.4011326,3.0605655,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,0,3.5636923,1.2704488,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,1,1.7137353,3.049486,nuclear power open door wave power quantum comput digit twin,energi island wind project say
pro,0,3.435053,3.904387,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,4,2.2995474,1.5253118,offshor wind energiø bornholm gw offshor green sector danish energi agenc,wind energi offshor island project
pro,4,3.0532048,2.2647157,offshor wind energiø bornholm gw offshor green sector danish energi agenc,wind energi offshor island project
pro,0,3.0258281,0.9263647,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,2,1.4231012,3.656597,data center marin mammal christian bueger manag consult per cent,energi island sea area wind
pro,1,1.8199402,3.9682457,nuclear power open door wave power quantum comput digit twin,energi island wind project say
pro,1,2.447101,4.2666945,nuclear power open door wave power quantum comput digit twin,energi island wind project say
pro,1,2.1283326,3.7923596,nuclear power open door wave power quantum comput digit twin,energi island wind project say
pro,6,0.9568407,2.3107095,offshor wind wind turbin wind farm offshor wind farm offshor wind turbin,energi wind offshor island electr
pro,5,1.6955273,1.2020396,hesselag pedersen morten hesselag morten hesselag pedersen green transit hann storm,energi island say electr project
pro,2,0.68569547,3.0492835,data center marin mammal christian bueger manag consult per cent,energi island sea area wind
pro,0,3.7619889,1.7932897,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,4,2.6655185,2.498417,offshor wind energiø bornholm gw offshor green sector danish energi agenc,wind energi offshor island project
pro,4,2.2856717,2.2687068,offshor wind energiø bornholm gw offshor green sector danish energi agenc,wind energi offshor island project
pro,5,1.5050653,1.0977362,hesselag pedersen morten hesselag morten hesselag pedersen green transit hann storm,energi island say electr project
pro,5,1.7512028,1.3406001,hesselag pedersen morten hesselag morten hesselag pedersen green transit hann storm,energi island say electr project
pro,1,2.7023008,3.5961514,nuclear power open door wave power quantum comput digit twin,energi island wind project say
pro,0,2.403996,1.2127786,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,6,2.7154646,3.1371043,offshor wind wind turbin wind farm offshor wind farm offshor wind turbin,energi wind offshor island electr
pro,6,1.9259952,1.4908631,offshor wind wind turbin wind farm offshor wind farm offshor wind turbin,energi wind offshor island electr
pro,0,4.2866106,2.5343242,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,6,2.735099,3.3313525,offshor wind wind turbin wind farm offshor wind farm offshor wind turbin,energi wind offshor island electr
pro,5,2.5019467,2.1440873,hesselag pedersen morten hesselag morten hesselag pedersen green transit hann storm,energi island say electr project
pro,1,2.202871,4.73425,nuclear power open door wave power quantum comput digit twin,energi island wind project say
pro,4,2.182573,1.9876027,offshor wind energiø bornholm gw offshor green sector danish energi agenc,wind energi offshor island project
pro,5,1.6867454,1.1978521,hesselag pedersen morten hesselag morten hesselag pedersen green transit hann storm,energi island say electr project
pro,1,2.0111582,4.586037,nuclear power open door wave power quantum comput digit twin,energi island wind project say
pro,2,1.5161221,3.9891539,data center marin mammal christian bueger manag consult per cent,energi island sea area wind
pro,1,2.3365781,4.5638523,nuclear power open door wave power quantum comput digit twin,energi island wind project say
pro,4,2.2236245,2.2489057,offshor wind energiø bornholm gw offshor green sector danish energi agenc,wind energi offshor island project
pro,0,3.8377354,4.2256265,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,0,2.2920763,1.0957488,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,6,2.091044,1.3550707,offshor wind wind turbin wind farm offshor wind farm offshor wind turbin,energi wind offshor island electr
pro,1,2.357615,4.588327,nuclear power open door wave power quantum comput digit twin,energi island wind project say
pro,3,-0.12601434,2.3768294,convert station north sea wind farm two countri transform station,energi island wind connect sea
pro,0,3.9762976,3.6648643,green fuel district heat natur ga 000 tonn electr consumpt,energi green wind electr island
pro,6,0.8999087,2.3938441,offshor wind wind turbin wind farm offshor wind farm offshor wind turbin,energi wind offshor island electr
