Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
pro,1,8.42041,4.3822556,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,6.558888,3.177773,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,9.6052065,3.8441215,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,7.0353494,3.4124339,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,9.399818,3.82166,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,8.83596,4.007172,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,0,6.7446337,4.2866836,"data center, 0.0139 | million tonnes, 0.0125 | million ton, 0.0093 | co2 emissions, 0.0088 | district heating, 0.0086",energy co2 climate green dkk
pro,1,7.861211,6.1280894,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,8.140338,4.6060886,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,0,6.6596684,5.3728027,"data center, 0.0139 | million tonnes, 0.0125 | million ton, 0.0093 | co2 emissions, 0.0088 | district heating, 0.0086",energy co2 climate green dkk
pro,1,8.563503,5.734184,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,5.4475217,4.0835414,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,8.902801,5.637485,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,6.4350996,4.077413,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,8.8943205,4.856368,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,9.004966,5.147017,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,0,6.5262036,5.5155053,"data center, 0.0139 | million tonnes, 0.0125 | million ton, 0.0093 | co2 emissions, 0.0088 | district heating, 0.0086",energy co2 climate green dkk
pro,0,6.738423,5.491384,"data center, 0.0139 | million tonnes, 0.0125 | million ton, 0.0093 | co2 emissions, 0.0088 | district heating, 0.0086",energy co2 climate green dkk
