Source,cluster,x,y
pro,1,-7.7165775,7.518734
pro,1,-6.1235094,7.7865896
pro,-1,-4.8492546,9.347631
pro,1,-7.580214,6.572044
pro,-1,-5.058468,8.641661
pro,1,-7.455585,7.8965607
pro,1,-5.345059,5.6805983
pro,0,-4.502821,7.7412267
pro,-1,-4.3858714,6.120067
pro,-1,-3.7920446,6.6111417
pro,-1,-7.0203695,8.740742
pro,1,-7.060379,6.5308642
pro,-1,-7.51683,8.51835
pro,1,-5.747427,5.2063193
pro,1,-6.9791408,7.639987
pro,1,-6.2999516,7.9856267
pro,-1,-3.8836348,6.4645233
pro,-1,-3.8773305,6.1462035
pro,-1,-4.592461,8.626574
pro,1,-5.0474944,5.4063635
pro,1,-7.480464,7.174597
pro,0,-4.6516156,7.848886
pro,-1,-4.669714,8.873502
pro,1,-6.4911447,7.4526005
pro,1,-6.2504144,6.593949
pro,1,-6.2592645,5.856607
pro,1,-7.085999,6.952238
pro,-1,-4.8162446,9.280888
pro,1,-7.381851,7.4381094
pro,1,-5.876885,6.6496935
pro,1,-6.072634,5.226225
pro,1,-5.4698915,5.6240487
pro,1,-5.2711053,7.8015957
pro,1,-6.453014,6.2378154
pro,1,-7.0465035,7.4024124
pro,1,-6.719314,7.616073
pro,0,-4.8195114,7.7333097
pro,0,-4.9424906,7.315865
pro,1,-5.822921,6.9944367
pro,1,-6.486918,5.9215126
pro,0,-4.245488,7.536739
pro,1,-5.58838,5.600392
pro,-1,-6.3509145,9.080885
pro,1,-6.028591,6.1934266
pro,1,-5.5975685,7.197435
pro,1,-7.6123652,7.625638
pro,1,-6.3308606,5.451441
pro,-1,-6.463108,9.083113
pro,1,-6.6328077,6.880301
pro,0,-4.545257,7.9178214
pro,0,-5.233671,7.183213
pro,0,-5.3848777,6.782506
pro,1,-6.181114,6.396274
pro,0,-4.215778,7.440862
pro,1,-6.997809,6.9627047
pro,1,-6.5043397,7.894038
pro,1,-5.0761204,8.068318
pro,1,-5.1981936,5.345056
pro,1,-7.0215225,6.0302153
pro,1,-7.1824656,6.184015
pro,1,-5.997126,7.331946
pro,1,-6.633353,7.95548
pro,1,-5.8772655,5.8303394
pro,-1,-7.2005796,8.2751875
pro,1,-6.5882273,5.229404
pro,1,-7.9669733,7.4795732
pro,-1,-4.4203067,6.0179577
pro,1,-7.106626,5.711054
pro,0,-4.0807495,6.991348
pro,1,-6.29176,6.7209363
pro,1,-5.4572663,7.6069922
pro,1,-7.5439954,7.011598
pro,1,-6.4986196,8.054626
pro,0,-4.4723744,7.3472557
pro,0,-4.7059565,6.7251096
pro,0,-4.8967047,6.6971064
pro,1,-7.1986217,6.988246
pro,-1,-3.7921975,6.1733165
pro,-1,-7.4653635,8.647327
pro,1,-7.7655244,8.0605135
pro,0,-4.3069634,7.0526934
pro,0,-5.012081,6.9368367
pro,-1,-4.4355135,9.014899
pro,0,-4.6994724,6.960098
pro,1,-7.9128137,6.53472
pro,1,-4.982938,5.1400437
pro,1,-5.067138,5.0626507
pro,1,-5.5816803,6.3406777
pro,-1,-4.229491,5.5614977
pro,1,-5.927108,6.2458906
pro,1,-5.3985467,6.3816304
pro,-1,-4.7192593,9.402595
pro,1,-6.8512793,7.920025
pro,1,-6.214673,7.415815
pro,-1,-6.242521,8.57375
pro,-1,-3.9007113,6.3183947
pro,1,-6.2675204,7.142221
pro,0,-5.0889235,6.7760344
pro,1,-5.7022924,5.67341
pro,1,-5.953824,8.185667
pro,1,-7.172929,7.015151
pro,1,-6.7609563,6.2267666
pro,1,-7.619336,5.8813405
pro,0,-4.00378,7.8348136
pro,1,-5.815052,8.09108
pro,-1,-5.1238885,9.177801
pro,1,-5.2766776,7.640578
pro,0,-4.092489,7.7885547
pro,1,-5.9343176,7.6016307
pro,1,-5.756296,5.2623463
pro,-1,-4.9621015,9.338641
pro,1,-7.948915,6.6574755
pro,-1,-7.1879735,8.790532
pro,-1,-4.8132668,9.325474
pro,0,-5.02944,7.315018
