Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
reg,0,8.3155365,9.86183,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,10,6.6922593,10.277197,social democracy municipal council energy island plan strategy claus larsen,energy bornholm island also municipal
reg,0,7.4191546,10.970074,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,8,6.719442,11.082448,business park green business green business park green transition young people,bornholm energy green island business
reg,13,10.132943,10.437768,wind farms offshore wind offshore wind farms cip ørsted green energy,energy bornholm wind island offshore
reg,6,7.2493443,11.883557,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,3,9.9513645,11.430301,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,2,10.386284,10.687264,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen
reg,2,10.64266,10.347205,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen
reg,0,9.071194,9.853356,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,3,10.015593,11.298165,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,2,10.108633,10.949164,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen
reg,5,6.3605695,7.038848,municipal council next year last year long term municipal treasury,bornholm also municipal year energy
reg,0,9.043004,9.923639,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,3,9.983933,11.450096,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,5,7.39698,7.079767,municipal council next year last year long term municipal treasury,bornholm also municipal year energy
reg,2,10.356607,10.779731,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen
reg,3,10.043446,11.293649,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,3,9.4565325,11.279205,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,5,7.3443246,7.8590074,municipal council next year last year long term municipal treasury,bornholm also municipal year energy
reg,5,6.734557,7.065315,municipal council next year last year long term municipal treasury,bornholm also municipal year energy
reg,3,9.417092,11.344455,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,17,10.309344,9.679108,offshore wind north sea state aid wind farms offshore wind farms,energy bornholm wind offshore islands
reg,0,7.6169286,10.780518,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,13,9.880296,9.745847,wind farms offshore wind offshore wind farms cip ørsted green energy,energy bornholm wind island offshore
reg,5,6.618738,7.261778,municipal council next year last year long term municipal treasury,bornholm also municipal year energy
reg,10,6.8202715,9.207046,social democracy municipal council energy island plan strategy claus larsen,energy bornholm island also municipal
reg,10,6.6772027,9.535908,social democracy municipal council energy island plan strategy claus larsen,energy bornholm island also municipal
reg,2,9.684947,11.232504,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen
reg,5,6.413306,7.319389,municipal council next year last year long term municipal treasury,bornholm also municipal year energy
reg,10,6.902655,9.417118,social democracy municipal council energy island plan strategy claus larsen,energy bornholm island also municipal
reg,6,7.513969,11.857268,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,2,10.28662,10.36696,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen
reg,1,9.039852,9.112132,energy islands bornholm islands bornholm energy islands offshore wind nuclear power,energy bornholm says island islands
reg,1,7.3812165,8.870055,energy islands bornholm islands bornholm energy islands offshore wind nuclear power,energy bornholm says island islands
reg,1,8.681861,8.188444,energy islands bornholm islands bornholm energy islands offshore wind nuclear power,energy bornholm says island islands
reg,6,7.1493683,11.991778,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,17,10.256964,9.949633,offshore wind north sea state aid wind farms offshore wind farms,energy bornholm wind offshore islands
reg,6,7.0754867,11.837118,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,6,7.147145,12.007126,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,6,7.1663933,11.995073,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,17,10.228607,9.852385,offshore wind north sea state aid wind farms offshore wind farms,energy bornholm wind offshore islands
reg,4,6.3246365,8.243303,business park anne thomas social democracy top candidate food school,bornholm business energy island says
reg,2,10.505932,10.326784,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen
reg,2,10.790914,10.898999,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen
reg,3,9.955836,11.437264,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,6,7.2458873,12.073903,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,6,7.6904664,11.621392,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,2,10.8395,10.88909,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen
reg,6,6.9191537,11.925822,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,6,6.9861774,11.619265,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,6,7.217372,11.859102,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,0,9.3056345,10.27459,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,2,10.546501,10.533715,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen
reg,0,9.742071,9.825861,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,16,8.780274,12.035038,baltic energy baltic energy island mikael benzon green transition election campaign,bornholm energy island green also
reg,9,9.081817,10.857537,high voltage local plan high voltage station voltage station gross area,energy bornholm energinet plant area
reg,3,9.8512745,11.604702,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,0,9.16311,9.661795,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,6,7.045643,12.060361,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,0,8.99593,9.593251,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,0,8.290338,10.451988,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,9,9.180985,11.789407,high voltage local plan high voltage station voltage station gross area,energy bornholm energinet plant area
reg,2,10.515714,10.605147,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen
reg,4,6.986208,7.936443,business park anne thomas social democracy top candidate food school,bornholm business energy island says
reg,2,9.995555,10.838528,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen
reg,0,9.095861,9.628832,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,4,6.86292,8.079665,business park anne thomas social democracy top candidate food school,bornholm business energy island says
reg,0,7.206339,10.148653,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,3,9.5153475,11.302831,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,3,9.455484,11.452081,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,0,9.244246,10.093505,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,8,6.90749,11.037473,business park green business green business park green transition young people,bornholm energy green island business
reg,6,7.0832105,11.353932,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,14,7.012798,7.3479586,42 000 says peter people meeting municipal council peter juel,bornholm energy also island must
reg,15,9.827495,8.142901,31 billion think tank energy policy energy industry fossil fuels,bornholm energy wind island project
reg,6,7.5928125,12.0477705,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,9,8.698842,11.623938,high voltage local plan high voltage station voltage station gross area,energy bornholm energinet plant area
reg,9,8.67487,11.24989,high voltage local plan high voltage station voltage station gross area,energy bornholm energinet plant area
reg,3,10.061929,11.355744,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,17,10.281723,10.003559,offshore wind north sea state aid wind farms offshore wind farms,energy bornholm wind offshore islands
reg,9,7.6206613,9.123539,high voltage local plan high voltage station voltage station gross area,energy bornholm energinet plant area
reg,6,7.0763955,12.062803,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,3,9.632632,11.415995,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,0,9.178126,10.297568,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,4,7.019135,7.8242617,business park anne thomas social democracy top candidate food school,bornholm business energy island says
reg,3,9.420039,10.933678,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,6,7.2063823,11.48139,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,6,7.7385836,11.420314,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,2,9.618465,11.254312,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen
reg,9,8.563636,11.176463,high voltage local plan high voltage station voltage station gross area,energy bornholm energinet plant area
reg,1,8.995901,9.418417,energy islands bornholm islands bornholm energy islands offshore wind nuclear power,energy bornholm says island islands
reg,1,8.954105,9.278554,energy islands bornholm islands bornholm energy islands offshore wind nuclear power,energy bornholm says island islands
reg,3,9.337839,11.619791,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,6,7.378676,11.633544,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,3,9.225631,11.025196,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,13,9.645543,10.52517,wind farms offshore wind offshore wind farms cip ørsted green energy,energy bornholm wind island offshore
reg,0,9.112047,10.09566,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,0,8.585488,9.574956,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,9,9.003574,11.195135,high voltage local plan high voltage station voltage station gross area,energy bornholm energinet plant area
reg,9,8.646395,11.173995,high voltage local plan high voltage station voltage station gross area,energy bornholm energinet plant area
reg,9,8.517259,11.276198,high voltage local plan high voltage station voltage station gross area,energy bornholm energinet plant area
reg,0,8.52204,9.994281,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,15,9.669667,8.918601,31 billion think tank energy policy energy industry fossil fuels,bornholm energy wind island project
reg,9,8.702169,11.073403,high voltage local plan high voltage station voltage station gross area,energy bornholm energinet plant area
reg,6,7.6835675,11.630608,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center
reg,15,9.652808,8.179759,31 billion think tank energy policy energy industry fossil fuels,bornholm energy wind island project
reg,16,8.578426,11.997132,baltic energy baltic energy island mikael benzon green transition election campaign,bornholm energy island green also
reg,7,8.840264,6.891149,baltic sea citizens association critical infrastructure war ukraine cultural identity,bornholm energy also baltic island
reg,11,8.08599,8.079307,citizens association association energy islands association energy citizens association energy citizens meeting,energy bornholm also citizens island
reg,0,8.31419,9.553152,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,3,9.543344,11.942656,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,2,9.87063,10.880736,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen
reg,9,8.673524,11.592272,high voltage local plan high voltage station voltage station gross area,energy bornholm energinet plant area
reg,3,9.557784,11.353764,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
reg,13,10.020383,10.27485,wind farms offshore wind offshore wind farms cip ørsted green energy,energy bornholm wind island offshore
reg,11,7.8258405,8.199873,citizens association association energy islands association energy citizens association energy citizens meeting,energy bornholm also citizens island
reg,0,8.701549,9.692289,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island
reg,9,8.525785,11.425299,high voltage local plan high voltage station voltage station gross area,energy bornholm energinet plant area
reg,2,9.779872,10.907049,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen
reg,15,9.536024,8.249277,31 billion think tank energy policy energy industry fossil fuels,bornholm energy wind island project
reg,2,10.470941,10.766195,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen
reg,9,7.397628,10.822797,high voltage local plan high voltage station voltage station gross area,energy bornholm energinet plant area
reg,9,9.233585,11.639472,high voltage local plan high voltage station voltage station gross area,energy bornholm energinet plant area
reg,11,7.9922633,8.243444,citizens association association energy islands association energy citizens association energy citizens meeting,energy bornholm also citizens island
reg,3,9.58678,11.994316,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish
