Source,cluster,x,y,TF_IDF_topic_name
reg,2,8.3155365,9.86183,"energy parks, 0.0198, 3, 10 | frederik tolstrup, 0.0147, 1, 8 | jacob trøst, 0.0119, 7, 19 | land facility, 0.0103, 9, 22 | mayor jacob, 0.0102, 10, 12"
reg,0,6.6922593,10.277197,"social democracy, 0.0194, 10, 51 | municipal council, 0.0187, 16, 75 | municipal elections, 0.0175, 1, 1 | energy island, 0.0159, 24, 178 | election campaign, 0.0159, 1, 1"
reg,4,9.473581,9.38573,"energy islands bornholm, 0.0065, 94, 338 | islands bornholm, 0.0065, 94, 338 | energy islands, 0.0056, 122, 457 | energy island, 0.0047, 141, 958 | climate plan, 0.0042, 3, 38"
reg,5,7.4191546,10.970074,"really good, 0.0280, 4, 4 | renewable energy, 0.0089, 11, 26 | district heating, 0.0087, 8, 14 | green island, 0.0083, 4, 6 | energy solutions, 0.0078, 4, 8"
reg,6,6.719442,11.082448,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,11,10.132943,10.437768,"offshore wind, 0.0182, 23, 129 | wind farms, 0.0142, 17, 62 | offshore wind farms, 0.0125, 15, 52 | state aid, 0.0112, 5, 20 | north sea, 0.0107, 12, 27"
reg,6,7.2493443,11.883557,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,10,9.9513645,11.430301,"danish energy agency, 0.0205, 21, 85 | energy agency, 0.0205, 21, 85 | danish energy, 0.0201, 22, 87 | environmental assessment, 0.0104, 14, 29 | det er, 0.0103, 1, 6"
reg,12,10.386284,10.687264,"district heating, 0.0139, 15, 41 | gas station, 0.0127, 8, 13 | offshore wind, 0.0115, 32, 168 | electrolysis plant, 0.0107, 14, 24 | baltic sea, 0.0105, 26, 78"
reg,12,10.64266,10.347205,"district heating, 0.0139, 15, 41 | gas station, 0.0127, 8, 13 | offshore wind, 0.0115, 32, 168 | electrolysis plant, 0.0107, 14, 24 | baltic sea, 0.0105, 26, 78"
reg,5,9.071194,9.853356,"really good, 0.0280, 4, 4 | renewable energy, 0.0089, 11, 26 | district heating, 0.0087, 8, 14 | green island, 0.0083, 4, 6 | energy solutions, 0.0078, 4, 8"
reg,10,10.015593,11.298165,"danish energy agency, 0.0205, 21, 85 | energy agency, 0.0205, 21, 85 | danish energy, 0.0201, 22, 87 | environmental assessment, 0.0104, 14, 29 | det er, 0.0103, 1, 6"
reg,3,6.3605695,7.038848,"municipal council, 0.0123, 67, 200 | social democracy, 0.0113, 38, 209 | anne thomas, 0.0091, 13, 88 | next year, 0.0074, 33, 70 | people meeting, 0.0070, 0, 0"
reg,5,9.043004,9.923639,"really good, 0.0280, 4, 4 | renewable energy, 0.0089, 11, 26 | district heating, 0.0087, 8, 14 | green island, 0.0083, 4, 6 | energy solutions, 0.0078, 4, 8"
reg,10,9.983933,11.450096,"danish energy agency, 0.0205, 21, 85 | energy agency, 0.0205, 21, 85 | danish energy, 0.0201, 22, 87 | environmental assessment, 0.0104, 14, 29 | det er, 0.0103, 1, 6"
reg,3,7.39698,7.079767,"municipal council, 0.0123, 67, 200 | social democracy, 0.0113, 38, 209 | anne thomas, 0.0091, 13, 88 | next year, 0.0074, 33, 70 | people meeting, 0.0070, 0, 0"
reg,12,10.356607,10.779731,"district heating, 0.0139, 15, 41 | gas station, 0.0127, 8, 13 | offshore wind, 0.0115, 32, 168 | electrolysis plant, 0.0107, 14, 24 | baltic sea, 0.0105, 26, 78"
reg,10,10.043446,11.293649,"danish energy agency, 0.0205, 21, 85 | energy agency, 0.0205, 21, 85 | danish energy, 0.0201, 22, 87 | environmental assessment, 0.0104, 14, 29 | det er, 0.0103, 1, 6"
reg,10,9.4565325,11.279205,"danish energy agency, 0.0205, 21, 85 | energy agency, 0.0205, 21, 85 | danish energy, 0.0201, 22, 87 | environmental assessment, 0.0104, 14, 29 | det er, 0.0103, 1, 6"
reg,3,6.734557,7.065315,"municipal council, 0.0123, 67, 200 | social democracy, 0.0113, 38, 209 | anne thomas, 0.0091, 13, 88 | next year, 0.0074, 33, 70 | people meeting, 0.0070, 0, 0"
reg,11,10.309344,9.679108,"offshore wind, 0.0182, 23, 129 | wind farms, 0.0142, 17, 62 | offshore wind farms, 0.0125, 15, 52 | state aid, 0.0112, 5, 20 | north sea, 0.0107, 12, 27"
reg,5,7.6169286,10.780518,"really good, 0.0280, 4, 4 | renewable energy, 0.0089, 11, 26 | district heating, 0.0087, 8, 14 | green island, 0.0083, 4, 6 | energy solutions, 0.0078, 4, 8"
reg,3,6.618738,7.261778,"municipal council, 0.0123, 67, 200 | social democracy, 0.0113, 38, 209 | anne thomas, 0.0091, 13, 88 | next year, 0.0074, 33, 70 | people meeting, 0.0070, 0, 0"
reg,0,6.8202715,9.207046,"social democracy, 0.0194, 10, 51 | municipal council, 0.0187, 16, 75 | municipal elections, 0.0175, 1, 1 | energy island, 0.0159, 24, 178 | election campaign, 0.0159, 1, 1"
reg,0,6.6772027,9.535908,"social democracy, 0.0194, 10, 51 | municipal council, 0.0187, 16, 75 | municipal elections, 0.0175, 1, 1 | energy island, 0.0159, 24, 178 | election campaign, 0.0159, 1, 1"
reg,3,6.413306,7.319389,"municipal council, 0.0123, 67, 200 | social democracy, 0.0113, 38, 209 | anne thomas, 0.0091, 13, 88 | next year, 0.0074, 33, 70 | people meeting, 0.0070, 0, 0"
reg,0,6.902655,9.417118,"social democracy, 0.0194, 10, 51 | municipal council, 0.0187, 16, 75 | municipal elections, 0.0175, 1, 1 | energy island, 0.0159, 24, 178 | election campaign, 0.0159, 1, 1"
reg,6,7.513969,11.857268,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,12,10.28662,10.36696,"district heating, 0.0139, 15, 41 | gas station, 0.0127, 8, 13 | offshore wind, 0.0115, 32, 168 | electrolysis plant, 0.0107, 14, 24 | baltic sea, 0.0105, 26, 78"
reg,4,9.039852,9.112132,"energy islands bornholm, 0.0065, 94, 338 | islands bornholm, 0.0065, 94, 338 | energy islands, 0.0056, 122, 457 | energy island, 0.0047, 141, 958 | climate plan, 0.0042, 3, 38"
reg,4,8.681861,8.188444,"energy islands bornholm, 0.0065, 94, 338 | islands bornholm, 0.0065, 94, 338 | energy islands, 0.0056, 122, 457 | energy island, 0.0047, 141, 958 | climate plan, 0.0042, 3, 38"
reg,4,8.743554,7.607767,"energy islands bornholm, 0.0065, 94, 338 | islands bornholm, 0.0065, 94, 338 | energy islands, 0.0056, 122, 457 | energy island, 0.0047, 141, 958 | climate plan, 0.0042, 3, 38"
reg,6,7.1493683,11.991778,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,11,10.256964,9.949633,"offshore wind, 0.0182, 23, 129 | wind farms, 0.0142, 17, 62 | offshore wind farms, 0.0125, 15, 52 | state aid, 0.0112, 5, 20 | north sea, 0.0107, 12, 27"
reg,6,7.0754867,11.837118,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,6,7.147145,12.007126,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,6,7.1663933,11.995073,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,11,10.228607,9.852385,"offshore wind, 0.0182, 23, 129 | wind farms, 0.0142, 17, 62 | offshore wind farms, 0.0125, 15, 52 | state aid, 0.0112, 5, 20 | north sea, 0.0107, 12, 27"
reg,3,6.3246365,8.243303,"municipal council, 0.0123, 67, 200 | social democracy, 0.0113, 38, 209 | anne thomas, 0.0091, 13, 88 | next year, 0.0074, 33, 70 | people meeting, 0.0070, 0, 0"
reg,12,10.505932,10.326784,"district heating, 0.0139, 15, 41 | gas station, 0.0127, 8, 13 | offshore wind, 0.0115, 32, 168 | electrolysis plant, 0.0107, 14, 24 | baltic sea, 0.0105, 26, 78"
reg,12,10.790914,10.898999,"district heating, 0.0139, 15, 41 | gas station, 0.0127, 8, 13 | offshore wind, 0.0115, 32, 168 | electrolysis plant, 0.0107, 14, 24 | baltic sea, 0.0105, 26, 78"
reg,10,9.955836,11.437264,"danish energy agency, 0.0205, 21, 85 | energy agency, 0.0205, 21, 85 | danish energy, 0.0201, 22, 87 | environmental assessment, 0.0104, 14, 29 | det er, 0.0103, 1, 6"
reg,6,7.2458873,12.073903,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,6,7.6904664,11.621392,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,12,10.8395,10.88909,"district heating, 0.0139, 15, 41 | gas station, 0.0127, 8, 13 | offshore wind, 0.0115, 32, 168 | electrolysis plant, 0.0107, 14, 24 | baltic sea, 0.0105, 26, 78"
reg,6,6.9191537,11.925822,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,6,6.9861774,11.619265,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,6,7.217372,11.859102,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,12,10.546501,10.533715,"district heating, 0.0139, 15, 41 | gas station, 0.0127, 8, 13 | offshore wind, 0.0115, 32, 168 | electrolysis plant, 0.0107, 14, 24 | baltic sea, 0.0105, 26, 78"
reg,7,8.780274,12.035038,"baltic energy, 0.0175, 9, 30 | baltic energy island, 0.0153, 7, 28 | søren møller christensen, 0.0103, 5, 16 | møller christensen, 0.0103, 5, 16 | søren møller, 0.0103, 6, 17"
reg,8,9.081817,10.857537,"high voltage, 0.0309, 10, 22 | local plan, 0.0246, 12, 40 | high voltage station, 0.0222, 9, 19 | voltage station, 0.0221, 11, 35 | gross area, 0.0144, 9, 20"
reg,10,9.8512745,11.604702,"danish energy agency, 0.0205, 21, 85 | energy agency, 0.0205, 21, 85 | danish energy, 0.0201, 22, 87 | environmental assessment, 0.0104, 14, 29 | det er, 0.0103, 1, 6"
reg,5,9.16311,9.661795,"really good, 0.0280, 4, 4 | renewable energy, 0.0089, 11, 26 | district heating, 0.0087, 8, 14 | green island, 0.0083, 4, 6 | energy solutions, 0.0078, 4, 8"
reg,6,7.045643,12.060361,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,5,8.99593,9.593251,"really good, 0.0280, 4, 4 | renewable energy, 0.0089, 11, 26 | district heating, 0.0087, 8, 14 | green island, 0.0083, 4, 6 | energy solutions, 0.0078, 4, 8"
reg,5,8.290338,10.451988,"really good, 0.0280, 4, 4 | renewable energy, 0.0089, 11, 26 | district heating, 0.0087, 8, 14 | green island, 0.0083, 4, 6 | energy solutions, 0.0078, 4, 8"
reg,7,9.180985,11.789407,"baltic energy, 0.0175, 9, 30 | baltic energy island, 0.0153, 7, 28 | søren møller christensen, 0.0103, 5, 16 | møller christensen, 0.0103, 5, 16 | søren møller, 0.0103, 6, 17"
reg,12,10.515714,10.605147,"district heating, 0.0139, 15, 41 | gas station, 0.0127, 8, 13 | offshore wind, 0.0115, 32, 168 | electrolysis plant, 0.0107, 14, 24 | baltic sea, 0.0105, 26, 78"
reg,3,6.986208,7.936443,"municipal council, 0.0123, 67, 200 | social democracy, 0.0113, 38, 209 | anne thomas, 0.0091, 13, 88 | next year, 0.0074, 33, 70 | people meeting, 0.0070, 0, 0"
reg,12,9.995555,10.838528,"district heating, 0.0139, 15, 41 | gas station, 0.0127, 8, 13 | offshore wind, 0.0115, 32, 168 | electrolysis plant, 0.0107, 14, 24 | baltic sea, 0.0105, 26, 78"
reg,5,9.095861,9.628832,"really good, 0.0280, 4, 4 | renewable energy, 0.0089, 11, 26 | district heating, 0.0087, 8, 14 | green island, 0.0083, 4, 6 | energy solutions, 0.0078, 4, 8"
reg,3,6.86292,8.079665,"municipal council, 0.0123, 67, 200 | social democracy, 0.0113, 38, 209 | anne thomas, 0.0091, 13, 88 | next year, 0.0074, 33, 70 | people meeting, 0.0070, 0, 0"
reg,10,9.5153475,11.302831,"danish energy agency, 0.0205, 21, 85 | energy agency, 0.0205, 21, 85 | danish energy, 0.0201, 22, 87 | environmental assessment, 0.0104, 14, 29 | det er, 0.0103, 1, 6"
reg,10,9.455484,11.452081,"danish energy agency, 0.0205, 21, 85 | energy agency, 0.0205, 21, 85 | danish energy, 0.0201, 22, 87 | environmental assessment, 0.0104, 14, 29 | det er, 0.0103, 1, 6"
reg,6,6.90749,11.037473,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,6,7.0832105,11.353932,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,3,7.012798,7.3479586,"municipal council, 0.0123, 67, 200 | social democracy, 0.0113, 38, 209 | anne thomas, 0.0091, 13, 88 | next year, 0.0074, 33, 70 | people meeting, 0.0070, 0, 0"
reg,4,9.827495,8.142901,"energy islands bornholm, 0.0065, 94, 338 | islands bornholm, 0.0065, 94, 338 | energy islands, 0.0056, 122, 457 | energy island, 0.0047, 141, 958 | climate plan, 0.0042, 3, 38"
reg,6,7.5928125,12.0477705,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,8,8.67487,11.24989,"high voltage, 0.0309, 10, 22 | local plan, 0.0246, 12, 40 | high voltage station, 0.0222, 9, 19 | voltage station, 0.0221, 11, 35 | gross area, 0.0144, 9, 20"
reg,10,10.061929,11.355744,"danish energy agency, 0.0205, 21, 85 | energy agency, 0.0205, 21, 85 | danish energy, 0.0201, 22, 87 | environmental assessment, 0.0104, 14, 29 | det er, 0.0103, 1, 6"
reg,11,10.281723,10.003559,"offshore wind, 0.0182, 23, 129 | wind farms, 0.0142, 17, 62 | offshore wind farms, 0.0125, 15, 52 | state aid, 0.0112, 5, 20 | north sea, 0.0107, 12, 27"
reg,6,7.0763955,12.062803,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
reg,4,7.9075236,7.2355976,"energy islands bornholm, 0.0065, 94, 338 | islands bornholm, 0.0065, 94, 338 | energy islands, 0.0056, 122, 457 | energy island, 0.0047, 141, 958 | climate plan, 0.0042, 3, 38"
reg,10,9.632632,11.415995,"danish energy agency, 0.0205, 21, 85 | energy agency, 0.0205, 21, 85 | danish energy, 0.0201, 22, 87 | environmental assessment, 0.0104, 14, 29 | det er, 0.0103, 1, 6"
reg,5,9.178126,10.297568,"really good, 0.0280, 4, 4 | renewable energy, 0.0089, 11, 26 | district heating, 0.0087, 8, 14 | green island, 0.0083, 4, 6 | energy solutions, 0.0078, 4, 8"
reg,3,7.019135,7.8242617,"municipal council, 0.0123, 67, 200 | social democracy, 0.0113, 38, 209 | anne thomas, 0.0091, 13, 88 | next year, 0.0074, 33, 70 | people meeting, 0.0070, 0, 0"
reg,10,9.420039,10.933678,"danish energy agency, 0.0205, 21, 85 | energy agency, 0.0205, 21, 85 | danish energy, 0.0201, 22, 87 | environmental assessment, 0.0104, 14, 29 | det er, 0.0103, 1, 6"
reg,6,7.2063823,11.48139,"center bornholm, 0.0116, 23, 81 | business center, 0.0097, 17, 54 | business center bornholm, 0.0092, 17, 51 | young people, 0.0083, 11, 33 | business park, 0.0078, 21, 89"
