Source,cluster,x,y
reg,1,-3.9407601,-2.7831063
reg,1,-1.9548925,-2.7569575
reg,1,-1.5327157,-0.22309905
reg,1,-1.8343284,-1.3686445
reg,1,-1.9271165,-2.0295799
reg,1,-4.462134,-0.07542657
reg,1,-4.147803,-1.253123
reg,1,-3.4287817,-2.000224
reg,1,-4.140154,0.12277266
reg,1,-3.591106,1.1330044
reg,1,-3.2312074,0.57221365
reg,1,-4.3037868,-0.2455794
reg,1,-1.2832986,-1.5651464
reg,1,-2.6886606,-1.311054
reg,1,-3.4571142,-2.0168843
reg,1,-1.2562184,-2.6179717
reg,1,-4.090081,-0.7294505
reg,1,-4.307484,-0.27719006
reg,1,0.42347336,-1.3298696
reg,1,-0.2698179,-1.3239471
reg,1,-3.6924627,-2.4347289
reg,1,-3.4879448,-0.6211671
reg,1,-2.2921069,-1.7676944
reg,1,-2.4354186,0.7088798
reg,1,-0.4551482,-2.1492462
reg,1,-2.3241115,-3.6076021
reg,1,-3.1993601,-2.9804485
reg,1,-4.318516,-0.36895886
reg,1,0.035235494,-0.4651503
reg,1,0.046687394,-1.1688511
reg,1,-4.059009,-0.93651736
reg,1,-2.7787988,0.5985298
reg,1,-2.5163214,0.3319816
reg,1,-2.1080756,-0.27209327
reg,1,-2.1026568,0.4336784
reg,1,-0.9115271,-0.4529065
reg,1,-4.902208,-0.80205125
reg,1,-3.4707234,-0.5301523
reg,1,-3.270629,-2.0071926
reg,1,-3.2570517,-1.6324179
reg,1,-3.9342024,-0.8474073
reg,1,-3.2007298,-0.15032779
reg,1,-1.8140808,-1.6589103
reg,1,-3.5303495,0.16073841
reg,0,-4.8400373,0.42939353
reg,1,-3.5077264,-1.5983617
reg,1,-3.2737472,-1.8548594
reg,1,-2.977816,-2.5393214
reg,0,-4.7029047,0.6141652
reg,1,-3.7089677,-1.377305
reg,1,-3.6784482,-1.9968216
reg,1,-3.8940241,-1.2748598
reg,1,-1.4620309,-1.8323851
reg,1,-3.8647687,0.28946167
reg,1,-2.8346567,-1.2017286
reg,1,-1.3696986,-2.1338933
reg,1,-3.5020554,-1.3849534
reg,1,-4.920158,-0.7668145
reg,1,-3.0344944,0.6842681
reg,1,-3.7238874,-2.2393606
reg,1,-2.1579278,-0.6231871
reg,1,-2.631304,0.34441918
reg,1,-3.630611,-1.247412
reg,1,-3.6467552,0.675188
reg,1,-2.8455155,-1.3245467
reg,1,-0.4875947,-2.7631333
reg,1,-4.504391,-0.28341714
reg,1,-3.5240817,0.53747976
reg,1,-0.6500712,-0.14422342
reg,1,-1.9420618,-1.4958901
reg,1,-4.571652,-0.5813418
reg,1,-4.424376,-0.8209651
reg,1,-2.2285464,-0.6646393
reg,1,-2.7324615,-2.0446167
reg,1,-0.15461314,-0.66308314
reg,1,-1.8037924,0.73530143
reg,1,-4.2037463,-0.755751
reg,1,-4.070349,-2.7711654
reg,1,-3.7501826,-1.3606306
reg,1,-3.3623013,-0.087892696
reg,1,-3.9080348,-1.9118425
reg,1,-4.0653124,-0.5005736
reg,1,-2.037746,-0.49587107
reg,1,-3.6361833,0.243518
reg,1,-3.9151294,0.7750607
reg,1,-1.2264849,-1.7151992
reg,1,-4.0493875,-1.8732917
reg,1,-2.970777,-1.9164304
reg,1,-2.6247394,-1.8838431
reg,1,-4.4895406,-0.2757704
