Source,cluster,x,y
sci,3,-2.491932,-0.7163465
sci,-1,2.3142707,-0.8065317
sci,-1,0.8552032,0.6250807
sci,5,1.1067622,0.28889042
sci,1,2.352319,-1.7113433
sci,-1,-1.1488966,-0.12681057
sci,-1,1.2742524,-0.34237775
sci,4,-0.47000954,-1.27925
sci,5,1.024143,1.9680276
sci,1,2.4619057,-1.420249
sci,-1,0.54586077,0.42083392
sci,-1,3.2868762,0.98166585
sci,3,-2.6501281,-0.72292197
sci,3,-2.5329425,-1.4120537
sci,-1,-1.1685117,0.06992266
sci,-1,3.097286,1.2616755
sci,3,-2.1408038,-0.4703265
sci,6,-0.5144671,-0.39954954
sci,5,1.582922,0.33796275
sci,-1,-1.6476386,1.0189381
sci,5,2.2938478,0.63681346
sci,-1,2.9896138,1.4209926
sci,5,1.3699828,0.3013803
sci,-1,2.4215965,1.591944
sci,1,1.850978,-1.7724206
sci,5,2.3379571,0.87469226
sci,1,1.3661617,-2.3219793
sci,1,0.5574179,-2.4622433
sci,-1,1.15224,-0.54090655
sci,5,1.3752962,1.9347494
sci,-1,-2.5056329,-0.18340518
sci,5,1.4549714,1.5328465
sci,5,1.2132652,0.233371
sci,-1,0.6308502,0.323591
sci,7,-0.26198408,0.71657115
sci,1,1.3294785,-2.1160996
sci,-1,-1.0535009,0.33413687
sci,2,-1.3862643,1.2145038
sci,1,2.2142556,-1.5630375
sci,-1,2.9990523,1.1756792
sci,-1,3.158762,0.6450173
sci,-1,0.34600118,-0.85059094
sci,4,-0.92680925,-1.0608698
sci,5,1.0478843,0.9363076
sci,3,-2.5486548,-0.8028593
sci,-1,3.2403727,1.1103523
sci,-1,-0.06490774,1.8890526
sci,5,1.4930044,0.9024458
sci,-1,0.19788061,0.07536396
sci,5,2.300045,0.7350809
sci,3,-2.0794916,-0.9745981
sci,2,-0.40596998,1.5199215
sci,-1,0.1915295,2.102665
sci,2,-1.1600455,1.4137634
sci,-1,2.5820303,1.2130349
sci,3,-2.0029745,-0.7744243
sci,5,1.357545,1.6012232
sci,-1,3.279878,1.1180029
sci,4,-0.33407113,-1.6408851
sci,-1,3.199683,1.1825708
sci,-1,0.26027632,1.9834309
sci,-1,2.664167,1.2430716
sci,5,1.0598493,1.9641224
sci,1,1.2436917,-1.044684
sci,5,1.4001323,0.46752298
sci,-1,-1.1979802,0.11588812
sci,5,2.119609,1.5811607
sci,6,-0.27423123,-0.39984268
sci,7,-0.65020895,0.4966674
sci,4,-1.2066615,-2.0981398
sci,5,1.8601753,1.0193264
sci,3,-2.6182377,-1.1370401
sci,1,0.5803956,-2.2158763
sci,7,-0.42155194,1.0912496
sci,-1,2.1215734,-0.77365786
sci,-1,1.7875552,-0.0153968865
sci,-1,2.5240116,1.389259
sci,-1,2.5412636,1.4245993
sci,7,-0.76682615,0.7905533
sci,5,0.8528202,1.2024152
sci,-1,3.2526612,1.2290355
sci,3,-1.6455657,-0.20640261
sci,1,2.2764974,-1.6661942
sci,7,-0.29012793,0.91621405
sci,3,-1.6514381,-1.3032304
sci,1,0.8452152,-1.5901948
sci,-1,3.3328004,0.9857624
sci,1,2.1003356,-2.02546
sci,4,0.09783009,-1.3579859
sci,1,1.154266,-1.9645629
sci,3,-2.487092,-0.64165306
sci,2,-0.49082777,1.9599969
sci,-1,-1.5269514,0.92858016
sci,3,-1.9227734,-0.54082
sci,5,1.3374894,0.5849211
sci,4,-1.1918747,-1.9208033
sci,-1,1.0619913,-0.30912408
sci,5,1.048938,1.3416798
sci,1,1.1327538,-1.3694869
sci,5,1.9291687,0.70987654
sci,3,-2.588412,-1.2585975
sci,7,-0.8491811,0.62510616
sci,5,1.1058156,1.5981973
sci,-1,2.1347148,-0.060153432
sci,5,1.5580837,1.065435
sci,5,2.2954993,0.80557257
sci,1,2.1128955,-1.9421458
sci,5,2.1371455,0.5386852
sci,1,2.3194757,-1.7249497
sci,-1,3.1096144,1.0916111
sci,-1,3.2523847,1.2351344
sci,5,0.72118723,1.339137
sci,4,-0.7943312,-1.8255128
sci,5,1.3500984,1.9691502
sci,-1,1.8311703,-0.31248236
sci,-1,1.6241369,-0.18430087
sci,7,-1.0695709,0.5919186
sci,1,0.68771636,-1.5198253
sci,-1,-1.2842406,-1.1306673
sci,-1,2.8181977,0.60078126
sci,-1,0.65057087,0.051293075
sci,-1,1.368397,-0.21576503
sci,-1,2.9262204,0.57263815
sci,-1,-2.3535287,0.08267292
sci,1,2.3395689,-1.5822992
sci,0,1.2265785,-2.5214617
sci,3,-2.064771,-0.100495726
sci,-1,3.2274811,1.0401402
sci,5,1.1343095,0.9989196
sci,-1,0.21466556,-0.16974662
sci,5,2.807881,0.84037244
sci,3,-1.7268269,-0.75840914
sci,0,1.4787005,-2.7637973
sci,-1,1.1702257,-0.42672512
sci,6,-0.43261355,-0.22880603
sci,-1,-0.33410406,-2.244857
sci,2,-0.8076662,1.657108
sci,1,2.259071,-1.3788009
sci,5,1.9756341,1.5599893
sci,7,-0.4508085,0.8822317
sci,5,1.7141007,1.305091
sci,5,1.3810004,0.48578304
sci,5,1.4610348,0.65972185
sci,3,-2.3134236,-1.4833183
sci,3,-2.0512013,-1.8009622
sci,-1,2.1513658,-0.13621673
sci,4,-0.23569582,-1.5358751
sci,7,0.33777723,0.6665444
sci,1,1.6143441,-1.818197
sci,3,-1.5031509,-1.5905195
sci,1,0.6760274,-1.525584
sci,1,0.63043016,-1.1964977
sci,5,0.2998456,1.2080647
sci,5,2.167019,1.6670402
sci,1,0.85991645,-2.403809
