topic_int,topic_names,labels_layer,Source,topic_names_from_bertopic,main_topic_name
5,offshor grid,5: offshor grid,Pro Media,30_tunnel_control_grid_convert,2_sea_energi_wind_offshor
5,offshor grid,5: offshor grid,Pro Media,12_offshor_wind_energi_project,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,25_wind_offshor_island_sea,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,23_hvdc_control_stabil_convert,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,16_sea_wind_north_light,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,2_sea_energi_wind_offshor,2_sea_energi_wind_offshor
3,renew energi,3: renew energi,Pro Media,31_democraci_social_energi_island,1_co2_bioga_climat_budget
2,offshor wind,2: offshor wind,Pro Media,19_area_energi_project_jacob,2_sea_energi_wind_offshor
3,renew energi,3: renew energi,Pro Media,0_bornholm_energi_hydrogen_green,1_co2_bioga_climat_budget
3,renew energi,3: renew energi,Pro Media,1_co2_bioga_climat_budget,1_co2_bioga_climat_budget
3,renew energi,3: renew energi,Pro Media,3_energi_heat_green_dkk,1_co2_bioga_climat_budget
2,offshor wind,2: offshor wind,Pro Media,23_hvdc_control_stabil_convert,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,14_convert_grid_wind_offshor,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,0_bornholm_energi_hydrogen_green,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,0_bornholm_energi_hydrogen_green,2_sea_energi_wind_offshor
1,wind farm,1: wind farm,Pro Media,0_bornholm_energi_hydrogen_green,0_bornholm_energi_hydrogen_green
3,renew energi,3: renew energi,Pro Media,1_co2_bioga_climat_budget,1_co2_bioga_climat_budget
3,renew energi,3: renew energi,Pro Media,1_co2_bioga_climat_budget,1_co2_bioga_climat_budget
0,energi island,0: energi island,Pro Media,11_museum_archaeologist_archaeolog_bornholm,4_energinet_plant_build_station
5,offshor grid,5: offshor grid,Pro Media,Noise,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,11_museum_archaeologist_archaeolog_bornholm,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,46_offshor_wind_sea_north,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,16_sea_wind_north_light,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,0_bornholm_energi_hydrogen_green,2_sea_energi_wind_offshor
0,energi island,0: energi island,Pro Media,43_sustain_island_steel_control,4_energinet_plant_build_station
2,offshor wind,2: offshor wind,Pro Media,17_guard_power_wind_offshor,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,6_island_energi_bornholm_sage,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,24_associ_bornholm_wind_meet,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,36_agreement_bornholm_speci_land,2_sea_energi_wind_offshor
3,renew energi,3: renew energi,Pro Media,10_energi_climat_poland_green,1_co2_bioga_climat_budget
2,offshor wind,2: offshor wind,Pro Media,0_bornholm_energi_hydrogen_green,2_sea_energi_wind_offshor
3,renew energi,3: renew energi,Pro Media,8_ann_thoma_energi_materi,1_co2_bioga_climat_budget
2,offshor wind,2: offshor wind,Pro Media,2_sea_energi_wind_offshor,2_sea_energi_wind_offshor
1,wind farm,1: wind farm,Pro Media,35_develop_agreement_sensor_energinet,0_bornholm_energi_hydrogen_green
2,offshor wind,2: offshor wind,Pro Media,24_associ_bornholm_wind_meet,2_sea_energi_wind_offshor
3,renew energi,3: renew energi,Pro Media,34_rvv_energi_municip_develop,1_co2_bioga_climat_budget
2,offshor wind,2: offshor wind,Pro Media,25_wind_offshor_island_sea,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,25_wind_offshor_island_sea,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,16_sea_wind_north_light,2_sea_energi_wind_offshor
0,energi island,0: energi island,Pro Media,0_bornholm_energi_hydrogen_green,4_energinet_plant_build_station
2,offshor wind,2: offshor wind,Pro Media,2_sea_energi_wind_offshor,2_sea_energi_wind_offshor
3,renew energi,3: renew energi,Pro Media,10_energi_climat_poland_green,1_co2_bioga_climat_budget
3,renew energi,3: renew energi,Pro Media,20_price_zone_island_power,1_co2_bioga_climat_budget
2,offshor wind,2: offshor wind,Pro Media,39_wind_offshor_island_bornholm,2_sea_energi_wind_offshor
3,renew energi,3: renew energi,Pro Media,1_co2_bioga_climat_budget,1_co2_bioga_climat_budget
2,offshor wind,2: offshor wind,Pro Media,24_associ_bornholm_wind_meet,2_sea_energi_wind_offshor
3,renew energi,3: renew energi,Pro Media,3_energi_heat_green_dkk,1_co2_bioga_climat_budget
3,renew energi,3: renew energi,Pro Media,13_energi_hydrogen_power_busi,1_co2_bioga_climat_budget
2,offshor wind,2: offshor wind,Pro Media,19_area_energi_project_jacob,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,26_energi_poland_offshor_island,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,2_sea_energi_wind_offshor,2_sea_energi_wind_offshor
3,renew energi,3: renew energi,Pro Media,17_guard_power_wind_offshor,1_co2_bioga_climat_budget
5,offshor grid,5: offshor grid,Pro Media,30_tunnel_control_grid_convert,2_sea_energi_wind_offshor
2,offshor wind,2: offshor wind,Pro Media,26_energi_poland_offshor_island,2_sea_energi_wind_offshor
5,offshor grid,5: offshor grid,Pro Media,16_sea_wind_north_light,2_sea_energi_wind_offshor
3,renew energi,3: renew energi,Pro Media,3_energi_heat_green_dkk,1_co2_bioga_climat_budget
2,offshor wind,2: offshor wind,Pro Media,2_sea_energi_wind_offshor,2_sea_energi_wind_offshor
3,renew energi,3: renew energi,Pro Media,38_111_energi_risk_project,1_co2_bioga_climat_budget
3,renew energi,3: renew energi,Pro Media,3_energi_heat_green_dkk,1_co2_bioga_climat_budget
3,renew energi,3: renew energi,Pro Media,28_compani_2030_bornholm_energi,1_co2_bioga_climat_budget
3,renew energi,3: renew energi,Pro Media,28_compani_2030_bornholm_energi,1_co2_bioga_climat_budget
3,renew energi,3: renew energi,Pro Media,10_energi_climat_poland_green,1_co2_bioga_climat_budget
3,renew energi,3: renew energi,Pro Media,34_rvv_energi_municip_develop,1_co2_bioga_climat_budget
2,offshor wind,2: offshor wind,Pro Media,26_energi_poland_offshor_island,2_sea_energi_wind_offshor
4,energi system,4: energi system,Pro Media,5_hydrogen_nuclear_power_product,8_ann_thoma_energi_materi
2,offshor wind,2: offshor wind,Pro Media,23_hvdc_control_stabil_convert,2_sea_energi_wind_offshor
5,offshor grid,5: offshor grid,Pro Media,Noise,2_sea_energi_wind_offshor
5,offshor grid,5: offshor grid,Pro Media,25_wind_offshor_island_sea,2_sea_energi_wind_offshor
5,offshor grid,5: offshor grid,Pro Media,16_sea_wind_north_light,2_sea_energi_wind_offshor
6,municip council,6: municip council,Pro Media,37_municip_labor_save_million,1_co2_bioga_climat_budget
1,wind farm,1: wind farm,Pro Media,35_develop_agreement_sensor_energinet,0_bornholm_energi_hydrogen_green
5,offshor grid,5: offshor grid,Pro Media,15_wind_turbin_offshor_bornholm,2_sea_energi_wind_offshor
3,renew energi,3: renew energi,Pro Media,42_busi_energi_island_sren,1_co2_bioga_climat_budget
3,renew energi,3: renew energi,Pro Media,Noise,1_co2_bioga_climat_budget
6,municip council,6: municip council,Pro Media,24_associ_bornholm_wind_meet,1_co2_bioga_climat_budget
0,energi island,0: energi island,Pro Media,5_hydrogen_nuclear_power_product,4_energinet_plant_build_station
