topic_int,topic_names,labels_layer,Source,topic_names_from_bertopic,main_topic_name
3,north sea,3: north sea,Pro Media,"0, wind, island, energi, connect","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"0, wind, island, energi, connect","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"0, wind, island, energi, connect","8, co2, bioga, ptx, materi"
6,energiø bornholm,6: energiø bornholm,Pro Media,"0, wind, island, energi, connect","0, wind, island, energi, connect"
3,north sea,3: north sea,Pro Media,"32, island, wind, north, energi","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"42, gw, platform, island, wind","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"8, co2, bioga, ptx, materi","8, co2, bioga, ptx, materi"
10,danish energi,10: danish energi,Pro Media,"19, bornholm, agreement, port, energi","2, bornholm, municip, council, democraci"
3,north sea,3: north sea,Pro Media,"11, heat, 2030, climat, green","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"8, co2, bioga, ptx, materi","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"11, heat, 2030, climat, green","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,Noise,"8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"33, hydrogen, energinet, area, plant","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,Noise,"8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,Noise,"8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"11, heat, 2030, climat, green","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"11, heat, 2030, climat, green","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"11, heat, 2030, climat, green","8, co2, bioga, ptx, materi"
6,energiø bornholm,6: energiø bornholm,Pro Media,"0, wind, island, energi, connect","0, wind, island, energi, connect"
3,north sea,3: north sea,Pro Media,"32, island, wind, north, energi","8, co2, bioga, ptx, materi"
11,baltic sea,11: baltic sea,Pro Media,"45, bornholm, land, plant, area","1, say, energi, bornholm, billion"
6,energiø bornholm,6: energiø bornholm,Pro Media,"10, energinet, bornholm, area, energi","0, wind, island, energi, connect"
3,north sea,3: north sea,Pro Media,"10, energinet, bornholm, area, energi","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"0, wind, island, energi, connect","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"0, wind, island, energi, connect","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"0, wind, island, energi, connect","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"0, wind, island, energi, connect","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"0, wind, island, energi, connect","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"0, wind, island, energi, connect","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"8, co2, bioga, ptx, materi","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"11, heat, 2030, climat, green","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"21, energi, mill, island, plant","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"32, island, wind, north, energi","8, co2, bioga, ptx, materi"
6,energiø bornholm,6: energiø bornholm,Pro Media,"0, wind, island, energi, connect","0, wind, island, energi, connect"
6,energiø bornholm,6: energiø bornholm,Pro Media,"5, bornholm, wind, energi, plant","0, wind, island, energi, connect"
1,offshor wind,1: offshor wind,Pro Media,"24, wave, kelvin, model, propag","4, hydrogen, system, energi, renew"
3,north sea,3: north sea,Pro Media,"32, island, wind, north, energi","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"0, wind, island, energi, connect","8, co2, bioga, ptx, materi"
11,baltic sea,11: baltic sea,Pro Media,"45, bornholm, land, plant, area","1, say, energi, bornholm, billion"
6,energiø bornholm,6: energiø bornholm,Pro Media,"1, say, energi, bornholm, billion","0, wind, island, energi, connect"
6,energiø bornholm,6: energiø bornholm,Pro Media,"0, wind, island, energi, connect","0, wind, island, energi, connect"
3,north sea,3: north sea,Pro Media,"11, heat, 2030, climat, green","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"33, hydrogen, energinet, area, plant","8, co2, bioga, ptx, materi"
11,baltic sea,11: baltic sea,Pro Media,"20, bornholm, project, wind, offshor","1, say, energi, bornholm, billion"
3,north sea,3: north sea,Pro Media,"11, heat, 2030, climat, green","8, co2, bioga, ptx, materi"
11,baltic sea,11: baltic sea,Pro Media,"19, bornholm, agreement, port, energi","1, say, energi, bornholm, billion"
3,north sea,3: north sea,Pro Media,"8, co2, bioga, ptx, materi","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"11, heat, 2030, climat, green","8, co2, bioga, ptx, materi"
6,energiø bornholm,6: energiø bornholm,Pro Media,"10, energinet, bornholm, area, energi","0, wind, island, energi, connect"
10,danish energi,10: danish energi,Pro Media,"25, bornholm, busi, energi, car","2, bornholm, municip, council, democraci"
3,north sea,3: north sea,Pro Media,Noise,"8, co2, bioga, ptx, materi"
6,energiø bornholm,6: energiø bornholm,Pro Media,"7, bornholm, state, wind, project","0, wind, island, energi, connect"
6,energiø bornholm,6: energiø bornholm,Pro Media,"21, energi, mill, island, plant","0, wind, island, energi, connect"
10,danish energi,10: danish energi,Pro Media,"2, bornholm, municip, council, democraci","2, bornholm, municip, council, democraci"
3,north sea,3: north sea,Pro Media,"0, wind, island, energi, connect","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"8, co2, bioga, ptx, materi","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"32, island, wind, north, energi","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"11, heat, 2030, climat, green","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"11, heat, 2030, climat, green","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"11, heat, 2030, climat, green","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"11, heat, 2030, climat, green","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"11, heat, 2030, climat, green","8, co2, bioga, ptx, materi"
11,baltic sea,11: baltic sea,Pro Media,"31, bornholm, sea, energi, neighbor","1, say, energi, bornholm, billion"
3,north sea,3: north sea,Pro Media,"21, energi, mill, island, plant","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"33, hydrogen, energinet, area, plant","8, co2, bioga, ptx, materi"
6,energiø bornholm,6: energiø bornholm,Pro Media,"21, energi, mill, island, plant","0, wind, island, energi, connect"
3,north sea,3: north sea,Pro Media,"11, heat, 2030, climat, green","8, co2, bioga, ptx, materi"
6,energiø bornholm,6: energiø bornholm,Pro Media,"5, bornholm, wind, energi, plant","0, wind, island, energi, connect"
3,north sea,3: north sea,Pro Media,Noise,"8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"33, hydrogen, energinet, area, plant","8, co2, bioga, ptx, materi"
10,danish energi,10: danish energi,Pro Media,"5, bornholm, wind, energi, plant","2, bornholm, municip, council, democraci"
3,north sea,3: north sea,Pro Media,"42, gw, platform, island, wind","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"21, energi, mill, island, plant","8, co2, bioga, ptx, materi"
2,wind turbin,2: wind turbin,Pro Media,"1, say, energi, bornholm, billion","1, say, energi, bornholm, billion"
6,energiø bornholm,6: energiø bornholm,Pro Media,"5, bornholm, wind, energi, plant","0, wind, island, energi, connect"
6,energiø bornholm,6: energiø bornholm,Pro Media,"41, nuclear, comput, quantum, power","0, wind, island, energi, connect"
3,north sea,3: north sea,Pro Media,"8, co2, bioga, ptx, materi","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"8, co2, bioga, ptx, materi","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"21, energi, mill, island, plant","8, co2, bioga, ptx, materi"
6,energiø bornholm,6: energiø bornholm,Pro Media,"41, nuclear, comput, quantum, power","0, wind, island, energi, connect"
3,north sea,3: north sea,Pro Media,"0, wind, island, energi, connect","8, co2, bioga, ptx, materi"
3,north sea,3: north sea,Pro Media,"41, nuclear, comput, quantum, power","8, co2, bioga, ptx, materi"
6,energiø bornholm,6: energiø bornholm,Pro Media,"32, island, wind, north, energi","0, wind, island, energi, connect"
