topic_int,topic_names,labels_layer,Source,topic_names_from_bertopic,main_topic_name
2,wind turbin,2: wind turbin,Pro Media,14_energi_wind_electr_connect,20_hydrogen_cip_electrolysi_product
0,energi island,0: energi island,Pro Media,5_wind_offshor_danish_energi,12_energi_bornholm_compani_energinet
1,offshor wind,1: offshor wind,Pro Media,17_wind_energi_island_german,17_wind_energi_island_german
1,offshor wind,1: offshor wind,Pro Media,6_co2_heat_bioga_hydrogen,17_wind_energi_island_german
1,offshor wind,1: offshor wind,Pro Media,17_wind_energi_island_german,17_wind_energi_island_german
2,wind turbin,2: wind turbin,Pro Media,29_wind_energi_sea_offshor,20_hydrogen_cip_electrolysi_product
2,wind turbin,2: wind turbin,Pro Media,19_bornholm_peopl_ole_work,20_hydrogen_cip_electrolysi_product
0,energi island,0: energi island,Pro Media,15_energi_wind_project_cabl,12_energi_bornholm_compani_energinet
2,wind turbin,2: wind turbin,Pro Media,20_hydrogen_cip_electrolysi_product,20_hydrogen_cip_electrolysi_product
1,offshor wind,1: offshor wind,Pro Media,34_price_energi_bornholm_zone,17_wind_energi_island_german
2,wind turbin,2: wind turbin,Pro Media,15_energi_wind_project_cabl,20_hydrogen_cip_electrolysi_product
2,wind turbin,2: wind turbin,Pro Media,5_wind_offshor_danish_energi,20_hydrogen_cip_electrolysi_product
2,wind turbin,2: wind turbin,Pro Media,17_wind_energi_island_german,20_hydrogen_cip_electrolysi_product
2,wind turbin,2: wind turbin,Pro Media,30_hydrogen_plant_powertox_heat,20_hydrogen_cip_electrolysi_product
2,wind turbin,2: wind turbin,Pro Media,28_energi_island_bornholm_wind,20_hydrogen_cip_electrolysi_product
2,wind turbin,2: wind turbin,Pro Media,20_hydrogen_cip_electrolysi_product,20_hydrogen_cip_electrolysi_product
2,wind turbin,2: wind turbin,Pro Media,6_co2_heat_bioga_hydrogen,20_hydrogen_cip_electrolysi_product
2,wind turbin,2: wind turbin,Pro Media,6_co2_heat_bioga_hydrogen,20_hydrogen_cip_electrolysi_product
1,offshor wind,1: offshor wind,Pro Media,17_wind_energi_island_german,17_wind_energi_island_german
1,offshor wind,1: offshor wind,Pro Media,7_energi_renew_system_european,17_wind_energi_island_german
0,energi island,0: energi island,Pro Media,34_price_energi_bornholm_zone,12_energi_bornholm_compani_energinet
0,energi island,0: energi island,Pro Media,34_price_energi_bornholm_zone,12_energi_bornholm_compani_energinet
1,offshor wind,1: offshor wind,Pro Media,17_wind_energi_island_german,17_wind_energi_island_german
2,wind turbin,2: wind turbin,Pro Media,17_wind_energi_island_german,20_hydrogen_cip_electrolysi_product
5,energiø bornholm,5: energiø bornholm,Pro Media,9_bornholm_energi_area_land,3_bornholm_energi_island_green
5,energiø bornholm,5: energiø bornholm,Pro Media,32_cool_energi_island_data,3_bornholm_energi_island_green
2,wind turbin,2: wind turbin,Pro Media,24_island_energi_electr_wind,20_hydrogen_cip_electrolysi_product
1,offshor wind,1: offshor wind,Pro Media,17_wind_energi_island_german,17_wind_energi_island_german
2,wind turbin,2: wind turbin,Pro Media,5_wind_offshor_danish_energi,20_hydrogen_cip_electrolysi_product
5,energiø bornholm,5: energiø bornholm,Pro Media,36_bornholm_green_busi_municip,3_bornholm_energi_island_green
2,wind turbin,2: wind turbin,Pro Media,14_energi_wind_electr_connect,20_hydrogen_cip_electrolysi_product
2,wind turbin,2: wind turbin,Pro Media,20_hydrogen_cip_electrolysi_product,20_hydrogen_cip_electrolysi_product
0,energi island,0: energi island,Pro Media,18_bornholm_energi_island_project,12_energi_bornholm_compani_energinet
5,energiø bornholm,5: energiø bornholm,Pro Media,3_bornholm_energi_island_green,3_bornholm_energi_island_green
2,wind turbin,2: wind turbin,Pro Media,5_wind_offshor_danish_energi,20_hydrogen_cip_electrolysi_product
2,wind turbin,2: wind turbin,Pro Media,29_wind_energi_sea_offshor,20_hydrogen_cip_electrolysi_product
0,energi island,0: energi island,Pro Media,24_island_energi_electr_wind,12_energi_bornholm_compani_energinet
0,energi island,0: energi island,Pro Media,12_energi_bornholm_compani_energinet,12_energi_bornholm_compani_energinet
5,energiø bornholm,5: energiø bornholm,Pro Media,11_bornholm_energi_area_energinet,3_bornholm_energi_island_green
5,energiø bornholm,5: energiø bornholm,Pro Media,36_bornholm_green_busi_municip,3_bornholm_energi_island_green
0,energi island,0: energi island,Pro Media,29_wind_energi_sea_offshor,12_energi_bornholm_compani_energinet
2,wind turbin,2: wind turbin,Pro Media,20_hydrogen_cip_electrolysi_product,20_hydrogen_cip_electrolysi_product
2,wind turbin,2: wind turbin,Pro Media,30_hydrogen_plant_powertox_heat,20_hydrogen_cip_electrolysi_product
5,energiø bornholm,5: energiø bornholm,Pro Media,11_bornholm_energi_area_energinet,3_bornholm_energi_island_green
2,wind turbin,2: wind turbin,Pro Media,24_island_energi_electr_wind,20_hydrogen_cip_electrolysi_product
2,wind turbin,2: wind turbin,Pro Media,5_wind_offshor_danish_energi,20_hydrogen_cip_electrolysi_product
2,wind turbin,2: wind turbin,Pro Media,14_energi_wind_electr_connect,20_hydrogen_cip_electrolysi_product
2,wind turbin,2: wind turbin,Pro Media,20_hydrogen_cip_electrolysi_product,20_hydrogen_cip_electrolysi_product
5,energiø bornholm,5: energiø bornholm,Pro Media,11_bornholm_energi_area_energinet,3_bornholm_energi_island_green
0,energi island,0: energi island,Pro Media,24_island_energi_electr_wind,12_energi_bornholm_compani_energinet
0,energi island,0: energi island,Pro Media,24_island_energi_electr_wind,12_energi_bornholm_compani_energinet
0,energi island,0: energi island,Pro Media,24_island_energi_electr_wind,12_energi_bornholm_compani_energinet
1,offshor wind,1: offshor wind,Pro Media,26_grid_integr_offshor_differ,17_wind_energi_island_german
0,energi island,0: energi island,Pro Media,14_energi_wind_electr_connect,12_energi_bornholm_compani_energinet
2,wind turbin,2: wind turbin,Pro Media,24_island_energi_electr_wind,20_hydrogen_cip_electrolysi_product
2,wind turbin,2: wind turbin,Pro Media,29_wind_energi_sea_offshor,20_hydrogen_cip_electrolysi_product
0,energi island,0: energi island,Pro Media,5_wind_offshor_danish_energi,12_energi_bornholm_compani_energinet
