topic_int,topic_names,labels_layer,Source,topic_names_from_bertopic,main_topic_name
9,north sea,9: north sea,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
6,wind turbin,6: wind turbin,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
6,wind turbin,6: wind turbin,Pro Media,"14, price, island, energi, electr","1, climat, 2030, energi, co2"
6,wind turbin,6: wind turbin,Pro Media,"33, wind, offshor, heat, energi","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"38, island, energi, project, electr","1, climat, 2030, energi, co2"
2,energiø bornholm,2: energiø bornholm,Pro Media,"12, bornholm, energi, island, busi","11, bornholm, compani, busi, food"
9,north sea,9: north sea,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
3,renew energi,3: renew energi,Pro Media,"1, climat, 2030, energi, co2","4, energi, wind, hydrogen, offshor"
9,north sea,9: north sea,Pro Media,"4, energi, wind, hydrogen, offshor","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"4, energi, wind, hydrogen, offshor","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"14, price, island, energi, electr","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
5,wind farm,5: wind farm,Pro Media,"7, system, power, offshor, wind","0, grid, offshor, power, system"
3,renew energi,3: renew energi,Pro Media,"1, climat, 2030, energi, co2","4, energi, wind, hydrogen, offshor"
3,renew energi,3: renew energi,Pro Media,"1, climat, 2030, energi, co2","4, energi, wind, hydrogen, offshor"
6,wind turbin,6: wind turbin,Pro Media,"14, price, island, energi, electr","1, climat, 2030, energi, co2"
1,offshor wind,1: offshor wind,Pro Media,"8, wind, energi, system, electr","0, grid, offshor, power, system"
2,energiø bornholm,2: energiø bornholm,Pro Media,"38, island, energi, project, electr","11, bornholm, compani, busi, food"
6,wind turbin,6: wind turbin,Pro Media,"14, price, island, energi, electr","1, climat, 2030, energi, co2"
2,energiø bornholm,2: energiø bornholm,Pro Media,"39, bornholm, get, energi, island","11, bornholm, compani, busi, food"
9,north sea,9: north sea,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"18, project, energi, island, billion","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"30, island, energi, connect, electr","1, climat, 2030, energi, co2"
2,energiø bornholm,2: energiø bornholm,Pro Media,"15, bornholm, energi, project, island","11, bornholm, compani, busi, food"
2,energiø bornholm,2: energiø bornholm,Pro Media,"14, price, island, energi, electr","11, bornholm, compani, busi, food"
3,renew energi,3: renew energi,Pro Media,"1, climat, 2030, energi, co2","4, energi, wind, hydrogen, offshor"
9,north sea,9: north sea,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"4, energi, wind, hydrogen, offshor","1, climat, 2030, energi, co2"
2,energiø bornholm,2: energiø bornholm,Pro Media,"18, project, energi, island, billion","11, bornholm, compani, busi, food"
8,energi system,8: energi system,Pro Media,"17, offshor, grid, light, wind","8, wind, energi, system, electr"
2,energiø bornholm,2: energiø bornholm,Pro Media,"14, price, island, energi, electr","11, bornholm, compani, busi, food"
9,north sea,9: north sea,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
2,energiø bornholm,2: energiø bornholm,Pro Media,"18, project, energi, island, billion","11, bornholm, compani, busi, food"
2,energiø bornholm,2: energiø bornholm,Pro Media,"18, project, energi, island, billion","11, bornholm, compani, busi, food"
2,energiø bornholm,2: energiø bornholm,Pro Media,"14, price, island, energi, electr","11, bornholm, compani, busi, food"
9,north sea,9: north sea,Pro Media,"30, island, energi, connect, electr","1, climat, 2030, energi, co2"
6,wind turbin,6: wind turbin,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
3,renew energi,3: renew energi,Pro Media,"5, energi, hydrogen, wind, island","4, energi, wind, hydrogen, offshor"
9,north sea,9: north sea,Pro Media,"19, hydrogen, wind, offshor, energi","1, climat, 2030, energi, co2"
2,energiø bornholm,2: energiø bornholm,Pro Media,"30, island, energi, connect, electr","11, bornholm, compani, busi, food"
3,renew energi,3: renew energi,Pro Media,"1, climat, 2030, energi, co2","4, energi, wind, hydrogen, offshor"
6,wind turbin,6: wind turbin,Pro Media,"4, energi, wind, hydrogen, offshor","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"19, hydrogen, wind, offshor, energi","1, climat, 2030, energi, co2"
0,energi island,0: energi island,Pro Media,"5, energi, hydrogen, wind, island","2, bornholm, land, municip, energi"
2,energiø bornholm,2: energiø bornholm,Pro Media,"30, island, energi, connect, electr","11, bornholm, compani, busi, food"
2,energiø bornholm,2: energiø bornholm,Pro Media,"14, price, island, energi, electr","11, bornholm, compani, busi, food"
1,offshor wind,1: offshor wind,Pro Media,"0, grid, offshor, power, system","0, grid, offshor, power, system"
1,offshor wind,1: offshor wind,Pro Media,"8, wind, energi, system, electr","0, grid, offshor, power, system"
6,wind turbin,6: wind turbin,Pro Media,"4, energi, wind, hydrogen, offshor","1, climat, 2030, energi, co2"
6,wind turbin,6: wind turbin,Pro Media,"34, system, power, offshor, structur","1, climat, 2030, energi, co2"
3,renew energi,3: renew energi,Pro Media,"4, energi, wind, hydrogen, offshor","4, energi, wind, hydrogen, offshor"
6,wind turbin,6: wind turbin,Pro Media,"14, price, island, energi, electr","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"5, energi, hydrogen, wind, island","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
3,renew energi,3: renew energi,Pro Media,"1, climat, 2030, energi, co2","4, energi, wind, hydrogen, offshor"
9,north sea,9: north sea,Pro Media,"4, energi, wind, hydrogen, offshor","1, climat, 2030, energi, co2"
6,wind turbin,6: wind turbin,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
8,energi system,8: energi system,Pro Media,"8, wind, energi, system, electr","8, wind, energi, system, electr"
9,north sea,9: north sea,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
9,north sea,9: north sea,Pro Media,Noise,"1, climat, 2030, energi, co2"
6,wind turbin,6: wind turbin,Pro Media,"8, wind, energi, system, electr","1, climat, 2030, energi, co2"
1,offshor wind,1: offshor wind,Pro Media,"17, offshor, grid, light, wind","0, grid, offshor, power, system"
4,municip council,4: municip council,Pro Media,"18, project, energi, island, billion","13, municip, council, bornholm, mayor"
5,wind farm,5: wind farm,Pro Media,"17, offshor, grid, light, wind","0, grid, offshor, power, system"
6,wind turbin,6: wind turbin,Pro Media,"8, wind, energi, system, electr","1, climat, 2030, energi, co2"
3,renew energi,3: renew energi,Pro Media,"4, energi, wind, hydrogen, offshor","4, energi, wind, hydrogen, offshor"
3,renew energi,3: renew energi,Pro Media,"14, price, island, energi, electr","4, energi, wind, hydrogen, offshor"
0,energi island,0: energi island,Pro Media,"3, bornholm, say, energi, land","2, bornholm, land, municip, energi"
7,baltic sea,7: baltic sea,Pro Media,"1, climat, 2030, energi, co2","15, bornholm, energi, project, island"
3,renew energi,3: renew energi,Pro Media,"1, climat, 2030, energi, co2","4, energi, wind, hydrogen, offshor"
3,renew energi,3: renew energi,Pro Media,"1, climat, 2030, energi, co2","4, energi, wind, hydrogen, offshor"
1,offshor wind,1: offshor wind,Pro Media,"16, grid, offshor, wind, system","0, grid, offshor, power, system"
1,offshor wind,1: offshor wind,Pro Media,"9, data, grid, cool, comput","0, grid, offshor, power, system"
9,north sea,9: north sea,Pro Media,"30, island, energi, connect, electr","1, climat, 2030, energi, co2"
8,energi system,8: energi system,Pro Media,"9, data, grid, cool, comput","8, wind, energi, system, electr"
6,wind turbin,6: wind turbin,Pro Media,"9, data, grid, cool, comput","1, climat, 2030, energi, co2"
8,energi system,8: energi system,Pro Media,"27, materi, energi, wind, offshor","8, wind, energi, system, electr"
9,north sea,9: north sea,Pro Media,"7, system, power, offshor, wind","1, climat, 2030, energi, co2"
3,renew energi,3: renew energi,Pro Media,"1, climat, 2030, energi, co2","4, energi, wind, hydrogen, offshor"
3,renew energi,3: renew energi,Pro Media,"1, climat, 2030, energi, co2","4, energi, wind, hydrogen, offshor"
7,baltic sea,7: baltic sea,Pro Media,"15, bornholm, energi, project, island","15, bornholm, energi, project, island"
3,renew energi,3: renew energi,Pro Media,"1, climat, 2030, energi, co2","4, energi, wind, hydrogen, offshor"
1,offshor wind,1: offshor wind,Pro Media,"9, data, grid, cool, comput","0, grid, offshor, power, system"
3,renew energi,3: renew energi,Pro Media,"33, wind, offshor, heat, energi","4, energi, wind, hydrogen, offshor"
4,municip council,4: municip council,Pro Media,"15, bornholm, energi, project, island","13, municip, council, bornholm, mayor"
6,wind turbin,6: wind turbin,Pro Media,"1, climat, 2030, energi, co2","1, climat, 2030, energi, co2"
4,municip council,4: municip council,Pro Media,"18, project, energi, island, billion","13, municip, council, bornholm, mayor"
9,north sea,9: north sea,Pro Media,"5, energi, hydrogen, wind, island","1, climat, 2030, energi, co2"
3,renew energi,3: renew energi,Pro Media,"38, island, energi, project, electr","4, energi, wind, hydrogen, offshor"
1,offshor wind,1: offshor wind,Pro Media,"8, wind, energi, system, electr","0, grid, offshor, power, system"
7,baltic sea,7: baltic sea,Pro Media,"4, energi, wind, hydrogen, offshor","15, bornholm, energi, project, island"
7,baltic sea,7: baltic sea,Pro Media,"1, climat, 2030, energi, co2","15, bornholm, energi, project, island"
0,energi island,0: energi island,Pro Media,"15, bornholm, energi, project, island","2, bornholm, land, municip, energi"
