UMAP1,UMAP2,cluster
5.164472,9.577009,0
5.1883883,9.697139,0
4.5990186,10.231696,0
4.8885183,9.213454,0
4.410644,10.043695,0
5.4815392,10.32049,0
4.6232405,9.133182,0
3.2867558,10.071527,0
4.5481243,9.029316,0
5.307156,7.4473825,1
5.683803,7.8394,1
4.9366503,9.116542,0
5.2431107,9.2863865,-1
4.480297,9.065376,0
4.683691,9.026576,0
8.195401,8.526503,-1
5.2268667,7.4370737,1
5.357965,7.4076643,1
4.7885156,9.840062,0
6.7525616,9.341524,-1
4.5796647,10.157872,0
4.628937,9.746666,0
3.6813319,10.041403,0
4.755268,8.936593,0
4.1876903,9.018972,0
4.7678022,9.514206,0
4.2554092,8.752666,0
4.107999,10.131785,0
4.2726254,9.933535,0
5.5409627,7.536131,1
4.895712,8.8677635,0
5.9696646,7.8720574,1
4.245748,9.841675,0
8.661364,8.948979,-1
4.2965813,10.378491,0
5.1344523,7.9902134,-1
4.3709054,9.73423,0
4.2358537,9.870033,0
4.429858,10.029096,0
4.1485515,9.131652,0
4.8429675,10.0986595,0
7.0163374,6.747939,3
6.1549363,8.554363,2
4.371804,9.507179,0
5.356231,7.46354,1
4.917021,10.481524,0
5.696938,7.702793,1
6.079737,8.601508,2
5.149327,10.233924,0
4.4369593,9.606325,0
4.7353206,9.745399,0
7.9172635,10.080186,5
6.9321017,9.439607,5
5.2792892,9.960884,0
6.830356,10.547186,5
5.772502,7.6124306,1
4.6719775,9.929684,0
6.1737995,8.054607,-1
5.502239,7.8926816,1
5.5631394,7.864644,1
5.6333456,7.9067655,1
5.4989944,7.6288366,1
6.0576024,7.753886,1
4.977884,9.753024,0
7.5093675,7.9612784,3
4.893887,9.1656885,0
6.370569,7.565549,-1
6.1588497,10.643396,0
7.529005,9.490195,5
2.271599,8.099479,0
8.883836,9.073898,5
5.9735184,10.755659,0
5.715564,7.5110664,1
5.117368,7.7870536,-1
2.7081745,10.436455,0
6.9379096,8.2752285,2
5.506211,7.5299673,1
5.505576,7.482395,1
6.9984365,10.44983,5
6.7812347,10.534802,5
4.1021,9.172234,0
8.976616,8.126755,3
6.9547634,10.350116,5
7.6591034,7.8456397,3
7.009343,9.70515,5
6.195397,7.146168,-1
5.6779537,7.524358,1
3.748619,8.2432375,0
6.0462236,7.1283417,-1
7.5771074,8.856828,5
7.36331,7.6945887,3
2.2036383,8.295277,0
4.5460896,10.1020155,0
2.2699986,8.073331,0
5.9809685,8.459943,2
5.2359304,7.6258655,1
6.842158,9.520059,5
7.2248793,8.065275,3
4.6147075,8.38908,-1
3.5769064,9.782171,0
4.971743,9.707787,0
3.9804454,8.759463,0
8.229228,9.81929,5
3.261265,11.215956,-1
3.52911,9.695141,0
4.494334,8.567678,0
7.866218,8.498219,-1
2.0666134,10.983701,0
7.5629325,7.954649,3
7.9407783,10.45713,-1
6.770821,10.317653,5
5.9232497,10.783932,0
7.747331,8.626182,-1
6.572739,10.547292,-1
3.0886133,10.145245,0
5.7249455,10.577124,0
5.581852,8.1190405,-1
5.8758454,7.6716294,1
4.424322,9.5887985,0
4.716122,9.878468,0
7.46908,8.066846,3
2.9278307,10.660835,0
5.679696,10.5538025,0
8.290089,8.920166,5
6.026688,8.573794,2
4.5468745,9.714853,0
6.4008703,8.910366,-1
5.9485703,7.5262103,1
4.7519355,8.022118,-1
6.9648104,10.426843,5
4.844233,10.165631,0
4.3863845,8.297635,0
5.942796,8.486378,2
8.023039,9.886309,5
4.0427074,8.115809,0
5.1136656,10.586029,0
6.1294036,8.504079,2
5.5207605,10.314655,0
4.283897,10.253965,0
4.667626,8.847927,0
4.8259573,10.378886,0
2.2729292,8.076081,0
6.394149,10.813402,-1
4.548563,9.755356,0
3.9529471,8.551271,0
3.8870182,8.660894,0
6.1260386,8.656584,2
4.412567,10.1966505,0
4.158536,10.58971,0
4.765362,9.421926,0
