topic_int,topic_names,labels_layer,Source,topic_names_from_bertopic,main_topic_name
11,bornholm offshor wind,11: bornholm offshor wind,Pro Media,"0, museum, project, energi, say","18, area, energinet, consult, agenc"
3,north sea,3: north sea,Pro Media,"33, energinet, area, plant, architect","5, island, connect, energi, bornholm"
11,bornholm offshor wind,11: bornholm offshor wind,Pro Media,"8, billion, energi, project, say","18, area, energinet, consult, agenc"
11,bornholm offshor wind,11: bornholm offshor wind,Pro Media,"19, wind, state, energinet, gw","18, area, energinet, consult, agenc"
3,north sea,3: north sea,Pro Media,"21, energi, island, bornholm, wind","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"14, say, democraci, social, municip","5, island, connect, energi, bornholm"
9,right reserv,9: right reserv,Pro Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
8,danish energi,8: danish energi,Pro Media,"35, bornholm, municip, cultur, think","0, museum, project, energi, say"
9,right reserv,9: right reserv,Pro Media,"22, bornholm, harbor, busi, ptx","4, green, hydrogen, busi, bornholm"
9,right reserv,9: right reserv,Pro Media,Noise,"4, green, hydrogen, busi, bornholm"
9,right reserv,9: right reserv,Pro Media,"13, hydrogen, co2, fund, compani","4, green, hydrogen, busi, bornholm"
3,north sea,3: north sea,Pro Media,"14, say, democraci, social, municip","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"12, bornholm, year, green, energi","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"9, bornholm, municip, year, energi","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"19, wind, state, energinet, gw","5, island, connect, energi, bornholm"
9,right reserv,9: right reserv,Pro Media,"13, hydrogen, co2, fund, compani","4, green, hydrogen, busi, bornholm"
9,right reserv,9: right reserv,Pro Media,"17, heat, bornholm, green, must","4, green, hydrogen, busi, bornholm"
3,north sea,3: north sea,Pro Media,"17, heat, bornholm, green, must","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"11, energi, island, price, compens","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"9, bornholm, municip, year, energi","5, island, connect, energi, bornholm"
11,bornholm offshor wind,11: bornholm offshor wind,Pro Media,"0, museum, project, energi, say","18, area, energinet, consult, agenc"
11,bornholm offshor wind,11: bornholm offshor wind,Pro Media,"33, energinet, area, plant, architect","18, area, energinet, consult, agenc"
3,north sea,3: north sea,Pro Media,"30, bornholm, wind, offshor, also","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"19, wind, state, energinet, gw","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"19, wind, state, energinet, gw","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"19, wind, state, energinet, gw","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"0, museum, project, energi, say","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"14, say, democraci, social, municip","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"11, energi, island, price, compens","5, island, connect, energi, bornholm"
9,right reserv,9: right reserv,Pro Media,"13, hydrogen, co2, fund, compani","4, green, hydrogen, busi, bornholm"
9,right reserv,9: right reserv,Pro Media,"12, bornholm, year, green, energi","4, green, hydrogen, busi, bornholm"
3,north sea,3: north sea,Pro Media,"25, comput, say, also, energi","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"11, energi, island, price, compens","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"0, museum, project, energi, say","5, island, connect, energi, bornholm"
11,bornholm offshor wind,11: bornholm offshor wind,Pro Media,"18, area, energinet, consult, agenc","18, area, energinet, consult, agenc"
5,renew energi,5: renew energi,Pro Media,"35, bornholm, municip, cultur, think","2, energi, renew, paper, transit"
3,north sea,3: north sea,Pro Media,"7, bornholm, island, energi, cool","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"5, island, connect, energi, bornholm","5, island, connect, energi, bornholm"
11,bornholm offshor wind,11: bornholm offshor wind,Pro Media,Noise,"18, area, energinet, consult, agenc"
8,danish energi,8: danish energi,Pro Media,"11, energi, island, price, compens","0, museum, project, energi, say"
11,bornholm offshor wind,11: bornholm offshor wind,Pro Media,"33, energinet, area, plant, architect","18, area, energinet, consult, agenc"
3,north sea,3: north sea,Pro Media,"12, bornholm, year, green, energi","5, island, connect, energi, bornholm"
9,right reserv,9: right reserv,Pro Media,"13, hydrogen, co2, fund, compani","4, green, hydrogen, busi, bornholm"
8,danish energi,8: danish energi,Pro Media,"11, energi, island, price, compens","0, museum, project, energi, say"
3,north sea,3: north sea,Pro Media,"10, bornholm, new, energi, green","5, island, connect, energi, bornholm"
11,bornholm offshor wind,11: bornholm offshor wind,Pro Media,"10, bornholm, new, energi, green","18, area, energinet, consult, agenc"
9,right reserv,9: right reserv,Pro Media,"17, heat, bornholm, green, must","4, green, hydrogen, busi, bornholm"
9,right reserv,9: right reserv,Pro Media,"17, heat, bornholm, green, must","4, green, hydrogen, busi, bornholm"
11,bornholm offshor wind,11: bornholm offshor wind,Pro Media,"18, area, energinet, consult, agenc","18, area, energinet, consult, agenc"
0,energi island,0: energi island,Pro Media,"12, bornholm, year, green, energi","4, green, hydrogen, busi, bornholm"
3,north sea,3: north sea,Pro Media,"7, bornholm, island, energi, cool","5, island, connect, energi, bornholm"
8,danish energi,8: danish energi,Pro Media,"0, museum, project, energi, say","0, museum, project, energi, say"
3,north sea,3: north sea,Pro Media,"5, island, connect, energi, bornholm","5, island, connect, energi, bornholm"
0,energi island,0: energi island,Pro Media,"9, bornholm, municip, year, energi","4, green, hydrogen, busi, bornholm"
3,north sea,3: north sea,Pro Media,"18, area, energinet, consult, agenc","5, island, connect, energi, bornholm"
9,right reserv,9: right reserv,Pro Media,"22, bornholm, harbor, busi, ptx","4, green, hydrogen, busi, bornholm"
3,north sea,3: north sea,Pro Media,"37, busi, park, bornholm, say","5, island, connect, energi, bornholm"
9,right reserv,9: right reserv,Pro Media,"34, municip, green, bornholm, need","4, green, hydrogen, busi, bornholm"
3,north sea,3: north sea,Pro Media,"12, bornholm, year, green, energi","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"12, bornholm, year, green, energi","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"34, municip, green, bornholm, need","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"28, bornholm, guard, must, mani","5, island, connect, energi, bornholm"
8,danish energi,8: danish energi,Pro Media,"11, energi, island, price, compens","0, museum, project, energi, say"
3,north sea,3: north sea,Pro Media,"7, bornholm, island, energi, cool","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"14, say, democraci, social, municip","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"21, energi, island, bornholm, wind","5, island, connect, energi, bornholm"
9,right reserv,9: right reserv,Pro Media,"22, bornholm, harbor, busi, ptx","4, green, hydrogen, busi, bornholm"
8,danish energi,8: danish energi,Pro Media,"19, wind, state, energinet, gw","0, museum, project, energi, say"
3,north sea,3: north sea,Pro Media,"8, billion, energi, project, say","5, island, connect, energi, bornholm"
9,right reserv,9: right reserv,Pro Media,"12, bornholm, year, green, energi","4, green, hydrogen, busi, bornholm"
3,north sea,3: north sea,Pro Media,"14, say, democraci, social, municip","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"7, bornholm, island, energi, cool","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"14, say, democraci, social, municip","5, island, connect, energi, bornholm"
2,energiø bornholm,2: energiø bornholm,Pro Media,"5, island, connect, energi, bornholm","33, energinet, area, plant, architect"
6,wind turbin,6: wind turbin,Pro Media,"7, bornholm, island, energi, cool","10, bornholm, new, energi, green"
2,energiø bornholm,2: energiø bornholm,Pro Media,"17, heat, bornholm, green, must","33, energinet, area, plant, architect"
9,right reserv,9: right reserv,Pro Media,"24, hydrogen, bornholm, cip, energi","4, green, hydrogen, busi, bornholm"
9,right reserv,9: right reserv,Pro Media,Noise,"4, green, hydrogen, busi, bornholm"
3,north sea,3: north sea,Pro Media,"8, billion, energi, project, say","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"7, bornholm, island, energi, cool","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"11, energi, island, price, compens","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"25, comput, say, also, energi","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"5, island, connect, energi, bornholm","5, island, connect, energi, bornholm"
