UMAP1,UMAP2,cluster
3.9294326,12.123414,0
3.846939,12.082046,0
4.1648855,12.090112,0
3.812993,12.13345,0
4.292126,12.517238,0
4.002549,12.80146,0
5.0252323,11.200612,0
3.90685,12.792988,0
4.81805,11.1738825,0
4.876812,10.842563,0
5.01801,11.191624,0
4.304421,12.102471,0
4.392023,11.371506,0
4.4511323,11.777762,0
4.184901,12.169961,0
4.9411297,11.20962,0
4.5402317,10.987287,0
4.7332587,11.116315,0
4.189649,11.571894,0
4.2079062,12.603721,0
3.0482063,12.180517,0
3.5396793,11.940404,0
3.626557,12.958332,0
4.078145,12.140401,0
4.062716,12.190852,0
4.1316915,12.115022,0
4.362115,12.218047,0
4.129572,12.700123,0
4.016818,12.189438,0
4.853216,10.755036,0
4.5144725,11.073061,0
4.492321,11.97612,0
4.373409,11.752739,0
4.1736183,11.52539,0
3.3025062,11.844991,0
10.598595,13.303965,1
4.4387856,11.902409,0
4.3215647,11.777765,0
3.0355356,11.992207,0
3.2798164,10.800745,0
3.6742392,11.988036,0
4.622307,11.092714,0
5.0287337,11.679703,0
3.468136,11.209054,0
4.502646,11.120062,0
3.0287762,11.935735,0
4.692924,10.993822,0
4.6018376,10.999414,0
3.4363017,11.895692,0
1.802771,13.271468,0
4.687528,11.650358,0
3.3874278,11.038937,0
4.5177503,11.604959,0
2.1463878,13.64026,0
3.6808128,11.939035,0
4.6655617,10.888439,0
4.018781,12.590905,0
4.5728245,10.903768,0
4.442721,10.778503,0
4.0953107,10.624905,0
4.6279297,10.823241,0
4.341855,10.69737,0
3.8040683,11.354539,0
4.6447506,11.82568,0
4.3980627,11.106125,0
4.4935474,11.719845,0
4.469784,10.795304,0
3.3700523,11.419771,0
3.4363556,12.343263,0
4.3120337,10.810394,0
3.6563978,12.513893,0
4.008751,12.262215,0
4.4231772,12.355989,0
1.3020537,10.085258,0
2.4865658,10.506346,0
3.8155036,10.449839,0
4.7497215,10.824205,0
4.8119135,10.864618,0
3.8069663,12.551936,0
4.4734955,11.560946,0
4.3905,11.970557,0
4.9433303,11.4263315,0
4.2574334,11.518861,0
4.986368,11.092718,0
3.5922577,11.66673,0
4.8680997,10.814987,0
4.717913,11.034534,0
3.3202307,10.721536,0
4.902625,10.854636,0
4.358401,11.94999,0
1.0231975,10.912137,0
0.118732326,11.761061,0
3.8230417,12.180457,0
0.43611354,11.255838,0
5.1409893,11.167407,0
3.6033523,10.39896,0
1.9202979,11.93417,0
5.2243295,11.113721,0
2.93326,10.260377,0
0.17530397,11.848418,0
2.8572786,11.653718,0
3.1226385,12.218662,0
3.0208776,10.991915,0
2.2374175,9.383163,0
0.15087555,11.839971,0
3.984992,11.428135,0
4.562999,11.439719,0
2.0560653,9.579121,0
5.3724813,11.088497,0
3.951721,11.731621,0
4.28261,12.515662,0
3.4648116,11.509128,0
4.493349,11.241412,0
4.3836336,12.418512,0
4.5485005,11.640915,0
3.1385999,11.302655,0
5.121939,11.112303,0
3.534466,11.497252,0
4.4412346,12.364767,0
4.278995,12.604338,0
5.156262,11.089093,0
2.9332173,10.61233,0
3.1334233,10.5522585,0
2.2581263,9.974439,0
4.5454755,11.073935,0
3.322658,10.694701,0
4.3202796,11.391533,0
5.1772094,10.903811,0
4.3062043,11.62825,0
4.173967,12.335726,0
4.26149,12.679772,0
3.3939686,10.786958,0
5.0284286,11.651172,0
3.11059,10.364793,0
3.3501441,11.096748,0
3.305776,10.621382,0
4.960557,11.781227,0
3.9749358,12.027526,0
3.0261495,11.797718,0
4.4506836,11.538705,0
3.168636,11.237034,0
4.275571,10.887977,0
4.181853,10.775756,0
4.3584137,11.717237,0
2.8975248,11.394963,0
2.8932524,10.206774,0
3.9547281,12.880549,0
2.3130932,11.659645,0
3.0486555,12.018813,0
3.7009676,11.377828,0
4.4275236,11.802188,0
4.079149,12.751612,0
5.5153613,11.092049,0
4.80998,11.937843,0
3.714183,11.816216,0
3.7372878,11.164129,0
