topic_int,topic_names,labels_layer,Source,topic_names_from_bertopic,main_topic_name
8,offshor wind farm,8: offshor wind farm,Pro Media,"16, wind, offshor, turbin, island","33, fuel, energi, materi, wind"
6,energiø bornholm,6: energiø bornholm,Pro Media,"39, wind, island, energi, bornholm","14, energi, island, nuclear, bornholm"
3,wind turbin,3: wind turbin,Pro Media,"10, hydrogen, energi, bornholm, wind","10, hydrogen, energi, bornholm, wind"
7,north sea,7: north sea,Pro Media,"9, energi, renew, system, power","1, grid, power, system, offshor"
3,wind turbin,3: wind turbin,Pro Media,"17, hydrogen, wind, energi, germani","10, hydrogen, energi, bornholm, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,"16, wind, offshor, turbin, island","33, fuel, energi, materi, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,"4, bornholm, energi, island, sea","33, fuel, energi, materi, wind"
6,energiø bornholm,6: energiø bornholm,Pro Media,"16, wind, offshor, turbin, island","14, energi, island, nuclear, bornholm"
3,wind turbin,3: wind turbin,Pro Media,"37, energi, wind, electr, sea","10, hydrogen, energi, bornholm, wind"
5,renew energi,5: renew energi,Pro Media,"7, bornholm, energi, island, green","9, energi, renew, system, power"
8,offshor wind farm,8: offshor wind farm,Pro Media,"33, fuel, energi, materi, wind","33, fuel, energi, materi, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,"23, energi, wind, electr, climat","33, fuel, energi, materi, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,"33, fuel, energi, materi, wind","33, fuel, energi, materi, wind"
3,wind turbin,3: wind turbin,Pro Media,"10, hydrogen, energi, bornholm, wind","10, hydrogen, energi, bornholm, wind"
6,energiø bornholm,6: energiø bornholm,Pro Media,"16, wind, offshor, turbin, island","14, energi, island, nuclear, bornholm"
3,wind turbin,3: wind turbin,Pro Media,"29, offshor, grid, consid, electrolysi","10, hydrogen, energi, bornholm, wind"
5,renew energi,5: renew energi,Pro Media,"17, hydrogen, wind, energi, germani","9, energi, renew, system, power"
5,renew energi,5: renew energi,Pro Media,"21, hydrogen, plant, co2, methanol","9, energi, renew, system, power"
3,wind turbin,3: wind turbin,Pro Media,"17, hydrogen, wind, energi, germani","10, hydrogen, energi, bornholm, wind"
7,north sea,7: north sea,Pro Media,"22, system, renew, energi, grid","1, grid, power, system, offshor"
3,wind turbin,3: wind turbin,Pro Media,"38, wind, danish, island, offshor","10, hydrogen, energi, bornholm, wind"
6,energiø bornholm,6: energiø bornholm,Pro Media,"42, energi, bornholm, rsted, say","14, energi, island, nuclear, bornholm"
3,wind turbin,3: wind turbin,Pro Media,"10, hydrogen, energi, bornholm, wind","10, hydrogen, energi, bornholm, wind"
6,energiø bornholm,6: energiø bornholm,Pro Media,"16, wind, offshor, turbin, island","14, energi, island, nuclear, bornholm"
2,offshor wind,2: offshor wind,Pro Media,"13, bornholm, danish, agenc, wind","4, bornholm, energi, island, sea"
2,offshor wind,2: offshor wind,Pro Media,"4, bornholm, energi, island, sea","4, bornholm, energi, island, sea"
8,offshor wind farm,8: offshor wind farm,Pro Media,"23, energi, wind, electr, climat","33, fuel, energi, materi, wind"
3,wind turbin,3: wind turbin,Pro Media,"17, hydrogen, wind, energi, germani","10, hydrogen, energi, bornholm, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,"39, wind, island, energi, bornholm","33, fuel, energi, materi, wind"
2,offshor wind,2: offshor wind,Pro Media,"8, bornholm, energi, busi, also","4, bornholm, energi, island, sea"
8,offshor wind farm,8: offshor wind farm,Pro Media,"39, wind, island, energi, bornholm","33, fuel, energi, materi, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,"33, fuel, energi, materi, wind","33, fuel, energi, materi, wind"
6,energiø bornholm,6: energiø bornholm,Pro Media,"28, energi, bornholm, project, error","14, energi, island, nuclear, bornholm"
2,offshor wind,2: offshor wind,Pro Media,"4, bornholm, energi, island, sea","4, bornholm, energi, island, sea"
8,offshor wind farm,8: offshor wind farm,Pro Media,"38, wind, danish, island, offshor","33, fuel, energi, materi, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,"38, wind, danish, island, offshor","33, fuel, energi, materi, wind"
6,energiø bornholm,6: energiø bornholm,Pro Media,"28, energi, bornholm, project, error","14, energi, island, nuclear, bornholm"
6,energiø bornholm,6: energiø bornholm,Pro Media,"12, project, energi, bornholm, wind","14, energi, island, nuclear, bornholm"
2,offshor wind,2: offshor wind,Pro Media,Noise,"4, bornholm, energi, island, sea"
2,offshor wind,2: offshor wind,Pro Media,"8, bornholm, energi, busi, also","4, bornholm, energi, island, sea"
0,energi island,0: energi island,Pro Media,"4, bornholm, energi, island, sea","3, mayor, municip, social, food"
8,offshor wind farm,8: offshor wind farm,Pro Media,Noise,"33, fuel, energi, materi, wind"
3,wind turbin,3: wind turbin,Pro Media,"21, hydrogen, plant, co2, methanol","10, hydrogen, energi, bornholm, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,"14, energi, island, nuclear, bornholm","33, fuel, energi, materi, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,"23, energi, wind, electr, climat","33, fuel, energi, materi, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,"16, wind, offshor, turbin, island","33, fuel, energi, materi, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,Noise,"33, fuel, energi, materi, wind"
3,wind turbin,3: wind turbin,Pro Media,"17, hydrogen, wind, energi, germani","10, hydrogen, energi, bornholm, wind"
2,offshor wind,2: offshor wind,Pro Media,"12, project, energi, bornholm, wind","4, bornholm, energi, island, sea"
6,energiø bornholm,6: energiø bornholm,Pro Media,"30, energi, project, climat, green","14, energi, island, nuclear, bornholm"
6,energiø bornholm,6: energiø bornholm,Pro Media,"14, energi, island, nuclear, bornholm","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Pro Media,"42, energi, bornholm, rsted, say","3, mayor, municip, social, food"
7,north sea,7: north sea,Pro Media,"15, light, grid, energi, sea","1, grid, power, system, offshor"
6,energiø bornholm,6: energiø bornholm,Pro Media,Noise,"14, energi, island, nuclear, bornholm"
8,offshor wind farm,8: offshor wind farm,Pro Media,"16, wind, offshor, turbin, island","33, fuel, energi, materi, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,"23, energi, wind, electr, climat","33, fuel, energi, materi, wind"
6,energiø bornholm,6: energiø bornholm,Pro Media,"23, energi, wind, electr, climat","14, energi, island, nuclear, bornholm"
3,wind turbin,3: wind turbin,Pro Media,"10, hydrogen, energi, bornholm, wind","10, hydrogen, energi, bornholm, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,"30, energi, project, climat, green","33, fuel, energi, materi, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,Noise,"33, fuel, energi, materi, wind"
3,wind turbin,3: wind turbin,Pro Media,"38, wind, danish, island, offshor","10, hydrogen, energi, bornholm, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,"23, energi, wind, electr, climat","33, fuel, energi, materi, wind"
2,offshor wind,2: offshor wind,Pro Media,"11, bornholm, cool, municip, say","4, bornholm, energi, island, sea"
8,offshor wind farm,8: offshor wind farm,Pro Media,"16, wind, offshor, turbin, island","33, fuel, energi, materi, wind"
3,wind turbin,3: wind turbin,Pro Media,"10, hydrogen, energi, bornholm, wind","10, hydrogen, energi, bornholm, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,Noise,"33, fuel, energi, materi, wind"
5,renew energi,5: renew energi,Pro Media,"18, system, water, renew, offshor","9, energi, renew, system, power"
2,offshor wind,2: offshor wind,Pro Media,"12, project, energi, bornholm, wind","4, bornholm, energi, island, sea"
5,renew energi,5: renew energi,Pro Media,"15, light, grid, energi, sea","9, energi, renew, system, power"
2,offshor wind,2: offshor wind,Pro Media,"11, bornholm, cool, municip, say","4, bornholm, energi, island, sea"
1,wind farm,1: wind farm,Pro Media,"0, grid, comput, model, system","0, grid, comput, model, system"
8,offshor wind farm,8: offshor wind farm,Pro Media,"38, wind, danish, island, offshor","33, fuel, energi, materi, wind"
8,offshor wind farm,8: offshor wind farm,Pro Media,"38, wind, danish, island, offshor","33, fuel, energi, materi, wind"
6,energiø bornholm,6: energiø bornholm,Pro Media,"14, energi, island, nuclear, bornholm","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Pro Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Pro Media,"14, energi, island, nuclear, bornholm","14, energi, island, nuclear, bornholm"
8,offshor wind farm,8: offshor wind farm,Pro Media,"39, wind, island, energi, bornholm","33, fuel, energi, materi, wind"
5,renew energi,5: renew energi,Pro Media,"21, hydrogen, plant, co2, methanol","9, energi, renew, system, power"
6,energiø bornholm,6: energiø bornholm,Pro Media,"37, energi, wind, electr, sea","14, energi, island, nuclear, bornholm"
8,offshor wind farm,8: offshor wind farm,Pro Media,"37, energi, wind, electr, sea","33, fuel, energi, materi, wind"
