UMAP1,UMAP2,cluster
3.772711,4.072173,2
4.6914034,3.57942,2
4.045809,1.9532615,1
1.3415158,1.7596362,0
3.9109275,2.380657,1
4.7482414,3.2555056,2
6.727578,3.936227,2
4.2557306,3.961056,2
3.3063753,4.025381,2
3.2336972,5.742433,-1
4.0683146,3.0269535,2
5.263456,2.8810291,2
4.3216314,2.9186993,2
2.6899626,4.169756,-1
4.4822316,3.2425163,2
-0.17204635,2.5654736,0
2.7049854,5.3617225,-1
2.2754264,5.2758656,-1
4.069784,2.151098,1
1.1237944,3.008061,0
5.8680716,2.619108,2
5.2671666,3.9128888,2
3.8783677,1.9475471,1
4.4249372,3.2819626,2
6.2414665,4.2024584,2
6.7974186,4.130953,2
5.439569,3.064323,2
3.9151814,2.12187,1
5.2450576,3.0186453,2
7.3085113,4.3522654,2
5.135305,2.9290235,2
3.571487,3.9789171,2
5.0886803,4.256047,2
6.581707,4.344437,2
5.3129334,3.1344368,2
5.323113,3.0046751,2
5.1822085,3.9622185,2
5.4223127,4.3098664,2
5.878161,4.754077,2
7.1663356,4.316826,2
3.6677833,5.5620017,-1
3.7079487,4.0803638,2
2.856831,3.3391979,2
6.276419,3.8727067,2
5.6700025,2.736055,2
5.141276,2.7524025,2
5.387756,3.2781768,2
3.5481558,3.1836228,2
5.4546046,4.3184953,2
5.063549,3.7886941,2
4.992938,4.21665,2
5.5071535,4.1508417,2
1.0249118,2.339007,0
4.087247,3.73142,2
5.1405406,3.0932388,2
4.9803004,3.2675362,2
4.8999853,3.56059,2
3.0013473,3.74573,2
5.655158,3.1317341,2
5.4289207,3.0370865,2
4.2430634,3.8153164,2
4.991743,3.144965,2
7.249687,4.537564,2
4.6266375,3.0944133,2
2.6281986,4.245692,0
4.733812,2.774027,2
0.9739854,4.9801946,0
6.0740104,3.68985,2
0.5366539,3.9482188,0
7.175024,4.53062,2
-0.50623006,2.75951,0
5.383159,2.8652503,2
5.0125866,3.2762156,2
5.2168274,4.9275045,2
5.84771,6.6970253,2
4.4062557,4.629714,2
5.4462185,2.7567832,2
2.2961695,5.2742357,-1
4.206353,2.9978023,2
4.281398,2.8961058,2
3.8389735,5.1121726,2
-0.58482504,3.4983714,0
3.7653189,1.9876021,1
3.3573313,4.0317807,2
4.486187,2.807798,2
2.166819,4.468269,-1
2.305949,4.3976173,-1
5.941057,3.5093393,2
2.006161,4.8157125,-1
6.823062,4.4570794,2
6.0892067,2.8075721,2
4.022669,1.9442955,1
5.138683,3.1935441,2
5.186282,3.7803345,2
4.0354805,3.3626585,2
2.8655431,5.2931786,-1
5.596076,4.9069834,2
4.473016,4.5622435,2
3.6896312,3.8747525,2
4.8955526,3.7213836,2
5.499883,3.038349,2
6.344439,3.7617202,2
0.49079505,2.441339,0
3.826506,5.8195534,2
4.971046,3.7037487,2
4.459901,2.7507925,2
4.782099,4.8589597,2
4.061022,5.892914,2
4.403307,4.0095925,2
6.332167,3.0986514,2
3.8557355,2.1569684,1
4.748429,2.8068743,2
3.9803185,3.1057281,2
4.016743,1.9110839,1
5.623256,4.972365,2
6.3397665,3.7630637,2
3.22897,3.7175999,2
4.79464,3.4014413,2
5.3001137,3.2602305,2
3.1496685,2.6232142,-1
3.6787565,4.840092,2
6.0182533,5.875572,2
6.1470904,3.65268,2
6.5355754,5.1973543,2
3.047717,3.2898896,2
5.8869257,5.702349,2
5.9504657,2.6595542,2
2.3254144,5.2959595,-1
4.437968,4.102551,2
1.4314668,2.604089,0
3.538148,2.5872426,-1
5.855247,3.020415,2
3.5468569,3.165442,2
4.8286004,2.7137134,2
3.7760148,1.9383796,1
5.661147,2.920162,2
3.3052642,3.4973273,2
4.1673965,2.7695334,2
5.245613,3.362186,2
5.29495,2.7562046,2
5.5314035,2.7404444,2
6.2132273,3.5769546,2
6.4749756,4.4178143,2
4.1947513,5.8076015,2
6.833333,4.0054345,2
6.4610834,5.16626,2
3.2636414,3.230611,2
5.963937,5.0184646,2
5.63961,4.8009057,2
3.9276195,3.4833236,2
5.373086,4.168297,2
4.7295294,3.802431,2
3.690759,4.562735,2
5.1204305,4.005657,2
6.4735823,3.490067,2
5.208609,5.4362793,2
5.537236,2.9577157,2
5.4974275,2.9949255,2
2.1328485,3.722309,0
2.6315188,2.519565,-1
7.274208,4.7112017,2
2.2259316,4.43089,-1
2.8962216,2.5587049,-1
7.009404,4.5784807,2
2.8089478,4.050927,-1
4.7636185,3.2498777,2
6.882736,4.3716264,2
5.9679136,3.0290394,2
2.7591662,3.4782326,-1
6.4727387,5.259904,2
5.2629857,5.4479494,2
6.1765165,3.898901,2
3.1188524,3.9953752,2
5.5212293,3.7885072,2
4.197791,2.2236736,1
4.842902,6.139623,2
6.371849,6.085736,2
6.3866196,4.1217723,2
5.4769645,5.791123,2
5.2760444,5.4928093,2
4.4379807,3.116977,2
4.920925,4.5272837,2
5.2678003,4.434112,2
4.3058043,3.325696,2
3.198108,3.341442,2
3.7029982,3.972703,2
5.006151,3.044846,2
6.3203382,5.6495852,2
4.905569,5.1262302,2
5.3396244,4.394567,2
6.0511527,5.5399733,2
5.3953285,3.9574754,2
4.7766747,3.185754,2
7.560545,5.420279,2
7.0234857,5.363696,2
4.364311,5.715346,2
5.973912,2.7243254,2
4.6710877,5.488725,2
1.2184283,5.1554527,-1
6.661207,5.8567514,2
5.122125,6.484506,2
4.3976374,6.141114,2
4.9105306,3.1304038,2
7.268825,4.8591566,2
7.3261995,5.469271,2
4.5735307,4.572648,2
3.6675982,4.110423,2
4.1610403,4.130509,2
6.0937943,4.383634,2
6.5111613,3.6296082,2
6.656167,4.461159,2
4.745692,3.4850845,2
5.838863,2.595095,2
4.5486426,5.4780455,2
4.47248,5.3053303,2
5.016432,4.4119096,2
5.8773403,2.5772648,2
5.734865,5.569986,2
3.8374317,3.2621498,2
3.9498,2.0943985,1
5.286046,4.339137,2
4.7965913,5.3545656,2
4.77003,5.69654,2
3.6970303,1.9300207,1
4.2427382,4.9842463,2
4.586018,5.4563785,2
4.3386683,5.101683,2
6.2143145,5.6154623,2
3.9542964,3.4726787,2
4.9252906,5.169443,2
6.056337,5.61568,2
5.528021,4.9742665,2
4.7672706,3.42875,2
3.5776703,4.2082605,2
4.445719,5.7863703,2
5.8102345,4.6087866,2
4.0408406,4.2403708,2
5.488154,4.579583,2
3.6649399,3.497318,2
4.8019824,4.9602666,2
6.716624,6.4564123,2
4.1881995,3.3960297,2
4.2236814,3.009973,2
6.989432,4.4699597,2
5.5376344,5.80068,2
4.6107554,3.6018796,2
4.567956,3.9979203,2
5.8248234,3.6326976,2
4.5084796,5.3923683,2
7.0383263,5.55749,2
6.3984714,4.1065497,2
4.4818034,4.3369684,2
4.052189,6.164728,2
4.8646917,5.2509613,2
5.809242,2.6121461,2
5.0828147,5.219347,2
4.4904394,4.3656797,2
2.9836507,4.14114,2
3.6688077,4.1922116,2
3.2815928,2.928262,-1
6.114842,5.621756,2
4.1769724,3.951734,2
4.6191025,5.1874166,2
4.6841683,5.430488,2
4.548346,3.3358252,2
4.2404475,6.2406406,2
6.236959,4.023136,2
6.569026,4.3252416,2
6.3241897,3.9415803,2
4.7031775,3.1805923,2
4.0351267,5.6237483,2
5.263876,3.8525739,2
5.4575624,4.0312243,2
5.6010747,5.803093,2
3.9730232,6.1395826,2
4.104321,6.020354,2
4.5047197,6.0518794,2
6.713982,3.8326914,2
4.1230173,4.0931406,2
4.6128755,5.6469984,2
6.4189296,3.8017197,2
4.995329,5.8640585,2
5.0053897,4.6430097,2
6.3675213,5.7141967,2
7.0059896,3.8840945,2
5.2431164,5.901195,2
4.7693768,4.9287434,2
4.042985,3.8272595,2
5.151766,5.145266,2
4.6023097,3.5849097,2
4.640172,3.0358667,2
4.989261,5.6458955,2
4.0401034,5.9130235,2
4.563768,3.5001445,2
2.3969142,4.3019795,0
3.9618025,3.2660577,2
5.5892634,5.6573277,2
5.178682,5.2491913,2
6.838582,4.286307,2
4.9235654,5.01181,2
6.2127876,4.254353,2
4.60812,3.7800455,2
5.6370635,6.588062,2
5.6986427,6.0797954,2
5.3335924,6.2817397,2
4.351116,6.3133903,2
5.6886525,5.313485,2
5.4057217,5.966422,2
4.588471,3.5629368,2
4.56405,2.8759844,2
4.4989305,5.356565,2
3.9858239,3.357594,2
4.577288,4.9900436,2
4.801233,3.5713315,2
5.28707,6.2502084,2
5.993378,4.700013,2
4.5976067,3.7961729,2
4.812347,4.6714993,2
6.208053,3.4447048,2
3.900011,1.8108253,1
7.18215,5.609184,2
5.245041,4.691981,2
5.246507,5.6181254,2
5.2458997,5.824686,2
7.2023153,5.1370525,2
4.160443,2.0108328,1
3.9467628,1.9295369,1
4.1259837,4.794117,2
7.3448234,5.135872,2
5.8618107,3.2041373,2
4.68474,3.1503518,2
5.443866,3.5039287,2
3.9687884,5.186452,2
4.9813657,6.0726275,2
5.2361712,5.7439566,2
3.9345994,6.0356917,2
4.8329234,4.833842,2
7.5604553,5.5788097,2
5.0530024,5.292895,2
4.8730607,2.9490085,2
5.9067307,5.7797003,2
6.075202,5.7263403,2
6.356872,3.2668688,2
6.770342,6.130454,2
7.13482,5.7687063,2
6.8372183,5.7290783,2
6.5467954,5.8403015,2
1.5928771,4.820705,0
4.6350036,4.4033566,2
5.633542,3.6514964,2
5.5888543,5.87636,2
4.9729037,4.640667,2
6.827066,6.111263,2
6.5293097,4.839108,2
5.409108,5.7494235,2
4.151974,5.553159,2
4.9702563,4.4766617,2
6.6230054,3.9822085,2
3.4102278,3.3700912,2
6.909057,4.019574,2
5.8426013,6.331493,2
5.7885604,6.6691933,2
5.4424844,4.16762,2
6.426992,6.2898216,2
4.664779,5.720776,2
5.1772814,6.561912,2
1.7421511,4.04791,0
5.0940285,5.3627357,2
5.2094502,4.887998,2
4.686607,4.99642,2
4.2249985,6.1011934,2
4.297702,6.279331,2
5.540562,5.8795476,2
5.0572453,5.122508,2
5.0363555,5.269245,2
4.310578,5.9238114,2
4.6677427,5.559111,2
3.4273243,3.0411558,2
4.2098346,5.21011,2
5.6988325,6.7353177,2
2.9796448,3.5849104,2
6.3233213,5.9673257,2
4.0591507,4.6936674,2
6.323776,5.5403605,2
3.759773,5.1084337,-1
6.1945662,5.0457783,2
6.740477,3.8653505,2
5.45818,6.176923,2
5.935538,5.119818,2
4.763859,5.1449084,2
6.647963,4.421602,2
6.1726985,4.700728,2
4.697745,3.801926,2
3.274996,3.908006,2
5.4846497,6.1239686,2
4.5832214,5.369249,2
6.3419094,6.152472,2
3.9734728,5.1289616,2
4.674645,4.9485006,2
4.3225904,6.1046,2
4.7160797,5.4306307,2
5.7697396,5.403501,2
4.3444023,6.148166,2
4.714035,5.4578376,2
6.451657,6.295777,2
4.3248377,6.2779703,2
4.4956646,3.0874684,2
5.6345415,6.7667313,2
4.909729,6.330734,2
4.6636024,3.7433102,2
5.683547,3.5328064,2
