Topic,Probability
0,0.905825045042199
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,0.9323996890221413
1,0.7518455329251734
0,0.970976241782202
1,1.0
1,1.0
0,1.0
1,0.9085055257976824
1,1.0
0,0.9507106032745494
1,1.0
1,0.9697911376656376
1,1.0
0,1.0
1,0.659967110197408
1,0.9492704194173484
0,1.0
0,1.0
0,1.0
0,1.0
0,0.9942595907054513
0,1.0
0,0.9413583145240566
0,1.0
0,1.0
-1,0.0
1,1.0
1,0.7875586361229445
1,0.8674096916271262
0,1.0
1,1.0
0,0.8768423314400193
-1,0.0
0,1.0
0,0.892498178059951
0,0.9724799253344355
0,1.0
0,0.9824120703229311
1,1.0
1,1.0
0,1.0
1,1.0
0,1.0
1,1.0
0,0.9172110596694721
1,1.0
0,1.0
0,1.0
0,1.0
1,0.861906207134762
0,1.0
0,1.0
0,1.0
1,0.9903560727471769
0,1.0
1,1.0
1,1.0
1,1.0
1,0.9213017969116938
1,0.9532492150665351
-1,0.0
0,0.9415039708963641
1,1.0
0,0.9288467972652479
1,1.0
0,1.0
-1,0.0
0,0.9784886240203265
1,1.0
-1,0.0
0,1.0
1,1.0
1,1.0
1,1.0
0,0.8713095006820188
1,1.0
1,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
1,1.0
1,1.0
0,1.0
1,0.9492704194173484
1,1.0
0,1.0
1,0.9890858264250331
0,0.8142063383136584
1,1.0
1,0.8880510303352801
0,1.0
1,1.0
1,1.0
1,1.0
-1,0.0
1,0.9439528412091477
0,0.9413583145240566
1,1.0
1,0.8299543024973168
0,1.0
0,0.9533549829418942
1,0.7607448264474775
0,0.9060559178554642
1,0.8350345003794842
0,0.6601903198006884
1,1.0
0,0.9393624768388708
1,1.0
-1,0.0
1,1.0
0,0.7541274484317145
0,1.0
1,1.0
0,0.8570500409723556
0,1.0
1,0.9459741909418564
1,1.0
0,1.0
0,1.0
0,0.9977965879397084
1,1.0
1,1.0
-1,0.0
0,0.687915241722318
1,1.0
0,0.9333193474748492
1,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,0.8016251537048615
0,0.9266488283533878
0,0.784632173394091
1,1.0
0,1.0
0,0.8978320882633984
0,0.8589689816107041
0,1.0
0,1.0
-1,0.0
-1,0.0
-1,0.0
0,0.8263081545525576
0,1.0
0,1.0
1,1.0
0,0.710911435442429
0,1.0
0,0.7803047224082286
0,0.9828472819189794
0,1.0
1,1.0
0,1.0
0,1.0
1,1.0
-1,0.0
0,1.0
1,1.0
1,1.0
0,1.0
1,0.9768434618793236
1,0.970341991966413
0,0.9562431443444919
0,1.0
1,0.61450160930943
1,0.7607114294690338
1,0.8369318199499897
0,1.0
1,1.0
0,0.733864269919837
1,1.0
0,1.0
-1,0.0
1,0.8366655629239598
0,1.0
0,1.0
