Topic,Words
0,og er til det på en af den et der
1,co2 ørsted energi ga project danish heat million per tonn
2,avail wind energi island turbin offshor electr gw sea danish
3,energi bornholm offshor grid wind power system island control develop
4,island energi gw labor north billion say educ solut sea
5,heat electr project district green co2 state energi agreement wind
6,wave wind offshor project say energi minist climat turbin bornholm
7,climat 2030 energi gw island wind fuel hydrogen denmark bornholm
8,area co2 light protect climat reduct 2030 sea af wind
9,energi wind bornholm ptx energinet electr say danish climat connect
