Topic,Count,Name,Source
-1,13,-1_data center_energy island_light pollution_data centers,pro
0,72,0_offshore wind_energy islands_north sea_energy island,pro
1,68,1_nuclear power_million tonnes_offshore wind_green power,pro
2,28,2_energy islands_energy islands bornholm_islands bornholm_offshore wind,pro
-1,188,-1_energy island_offshore wind_energy islands_islands bornholm,reg
0,54,0_det er_press release_business promotion board_promotion board,reg
1,45,1_social democracy_anne thomas_food school_søren schow,reg
2,41,2_electricity grid_magnus brogaard_price zone_bornholm electricity,reg
3,39,3_finn ole_high voltage_finn ole sonne_ole sonne nielsen,reg
4,31,4_property value_transformer station_energy islands_electrolysis plant,reg
5,30,5_offshore wind_energy agency_danish energy agency_bornholm offshore wind,reg
6,26,6_cultural identity_climate plan_young people_green transition,reg
7,25,7_says linda kofoed_says linda_kofoed persson_linda kofoed persson,reg
8,25,8_energy islands bornholm_islands bornholm_energy islands_social economy,reg
9,22,9_corporate tax_savings catalog_000 kroner_dkk million,reg
10,22,10_local plan_high voltage_high voltage station_voltage station,reg
11,22,11_home guard_henrik espersen_juel jensen_peter juel jensen,reg
12,21,12_lone reppien_nexø harbor_lone reppien thomsen_reppien thomsen,reg
13,19,13_offshore wind_bornholm offshore wind_bornholm offshore_offshore wind turbine,reg
14,17,14_business center_center bornholm_business center bornholm_bornholm companies,reg
15,17,15_business fund_casper poulsen_companies received_bornholm business fund,reg
16,17,16_lars aagaard_jacob trøst_energy parks_energy island,reg
17,15,17_bornholm wind_danish nature_danish nature conservation_conservation association,reg
-1,56,-1_transmission grid_energy island_harmonic distortion_al 111,sci
0,181,0_reactive power_offshore wind_offshore grid_offshore ac,sci
1,131,1_offshore wind_offshore grid_north sea_wind farms,sci
2,130,2_renewable energy_energy sources_energy islands_energy supply,sci
3,46,3_hydrogen production_offshore wind_green hydrogen_offshore energy,sci
