topic_int,topic_names_from_bertopic,count,total_count,percentage
0,"5, energi, island, project, state",17,111,0.153
0,"13, island, energi, wind, offshor",13,111,0.117
0,"27, wind, sea, offshor, energi",12,111,0.108
0,"33, island, north, sea, energi",10,111,0.09
0,"18, project, energi, billion, support",10,111,0.09
1,"4, grid, offshor, wave, integr",44,153,0.288
1,"2, grid, offshor, transmiss, harmon",42,153,0.275
1,"10, grid, offshor, wind, power",35,153,0.229
1,"9, grid, offshor, transmiss, power",23,153,0.15
1,"1, energi, renew, sustain, system",2,153,0.013
2,"6, green, co2, busi, also",11,123,0.089
2,"8, climat, municip, co2, bornholm",9,123,0.073
2,"5, energi, island, project, state",8,123,0.065
2,"0, bornholm, energi, island, also",7,123,0.057
2,"19, energinet, land, municip, plan",7,123,0.057
3,"6, green, co2, busi, also",16,145,0.11
3,"14, plant, bornholm, heat, land",14,145,0.097
3,"22, bornholm, also, municip, say",12,145,0.083
3,"8, climat, municip, co2, bornholm",12,145,0.083
3,"12, municip, social, also, democraci",11,145,0.076
4,"0, bornholm, energi, island, also",22,108,0.204
4,Noise,13,108,0.12
4,"30, wind, comput, offshor, bornholm",11,108,0.102
4,"17, wind, energi, offshor, denmark",11,108,0.102
4,"29, bornholm, energi, wind, green",8,108,0.074
5,"11, control, convert, system, stabil",37,176,0.21
5,Noise,23,176,0.131
5,"26, control, convert, fault, grid",22,176,0.125
5,"37, power, grid, offshor, dc",17,176,0.097
5,"38, control, frequenc, grid, hvdc",16,176,0.091
6,"0, bornholm, energi, island, also",25,117,0.214
6,"15, bornholm, municip, cool, energi",11,117,0.094
6,"28, bornholm, island, busi, visit",10,117,0.085
6,"16, island, energi, compani, bornholm",10,117,0.085
6,"25, bornholm, cultur, year, westh",9,117,0.077
7,"1, energi, renew, sustain, system",59,187,0.316
7,"24, system, emiss, hainan, energi",23,187,0.123
7,"31, energi, island, system, renew",20,187,0.107
7,"36, microgrid, oper, model, optim",17,187,0.091
7,"42, system, optim, heat, integr",15,187,0.08
8,"7, price, electr, energi, connect",29,130,0.223
8,"5, energi, island, project, state",17,130,0.131
8,"18, project, energi, billion, support",16,130,0.123
8,"13, island, energi, wind, offshor",14,130,0.108
8,"0, bornholm, energi, island, also",14,130,0.108
9,"3, energinet, plant, area, station",28,117,0.239
9,"12, municip, social, also, democraci",17,117,0.145
9,"8, climat, municip, co2, bornholm",10,117,0.085
9,"6, green, co2, busi, also",10,117,0.085
9,"22, bornholm, also, municip, say",8,117,0.068
