topic_int,topic_names_from_bertopic,count,total_count,percentage
0,"0, bornholm, island, energi, also",14,156,0.09
0,"1, say, energi, bornholm, profit",10,156,0.064
0,"10, bornholm, energi, archaeologist, project",11,156,0.071
0,"11, wind, bornholm, offshor, energi",7,156,0.045
0,"16, island, bornholm, energi, price",5,156,0.032
0,"19, island, energi, bornholm, wind",7,156,0.045
0,"2, bornholm, energi, also, busi",10,156,0.064
0,"28, area, energi, sea, bornholm",7,156,0.045
0,"3, energi, bornholm, wind, work",17,156,0.109
0,"31, project, bornholm, energi, wind",5,156,0.032
0,"32, bornholm, say, municip, busi",7,156,0.045
0,"34, bornholm, area, wind, energi",2,156,0.013
0,"36, say, energi, casper, bornholm",6,156,0.038
0,"4, bornholm, energi, say, area",12,156,0.077
0,"41, energinet, island, cabl, electr",1,156,0.006
0,"44, sea, island, north, german",2,156,0.013
0,"46, bornholm, energi, land, turbin",4,156,0.026
0,"47, museum, guard, home, bornholm",7,156,0.045
0,"6, energi, wind, bornholm, farm",13,156,0.083
0,"7, bornholm, energi, island, say",1,156,0.006
0,"9, bornholm, municip, energi, island",3,156,0.019
0,Noise,5,156,0.032
1,"12, grid, comput, quantum, model",14,147,0.095
1,"14, offshor, grid, optim, system",16,147,0.109
1,"15, grid, offshor, variabl, power",4,147,0.027
1,"17, convert, voltag, control, stabil",24,147,0.163
1,"23, control, grid, convert, hvdc",23,147,0.156
1,"33, grid, transmiss, cost, optim",9,147,0.061
1,"35, reliabl, offshor, sensor, grid",14,147,0.095
1,"40, control, voltag, frequenc, system",11,147,0.075
1,"42, water, grid, ptx, system",1,147,0.007
1,"45, control, grid, dc, ac",8,147,0.054
1,"5, control, system, 111, power",15,147,0.102
1,Noise,8,147,0.054
2,"0, bornholm, island, energi, also",30,146,0.205
2,"1, say, energi, bornholm, profit",7,146,0.048
2,"10, bornholm, energi, archaeologist, project",2,146,0.014
2,"11, wind, bornholm, offshor, energi",2,146,0.014
2,"2, bornholm, energi, also, busi",13,146,0.089
2,"21, bornholm, citizen, municip, also",12,146,0.082
2,"26, year, municip, peter, say",9,146,0.062
2,"27, scenario, power, grid, paper",1,146,0.007
2,"3, energi, bornholm, wind, work",1,146,0.007
2,"30, social, municip, democraci, ann",3,146,0.021
2,"31, project, bornholm, energi, wind",10,146,0.068
2,"32, bornholm, say, municip, busi",5,146,0.034
2,"34, bornholm, area, wind, energi",3,146,0.021
2,"39, energi, bornholm, poland, wind",1,146,0.007
2,"4, bornholm, energi, say, area",2,146,0.014
2,"44, sea, island, north, german",1,146,0.007
2,"46, bornholm, energi, land, turbin",1,146,0.007
2,"47, museum, guard, home, bornholm",1,146,0.007
2,"6, energi, wind, bornholm, farm",1,146,0.007
2,"7, bornholm, energi, island, say",18,146,0.123
2,"9, bornholm, municip, energi, island",23,146,0.158
3,"10, bornholm, energi, archaeologist, project",6,111,0.054
3,"11, wind, bornholm, offshor, energi",3,111,0.027
3,"18, hydrogen, ga, electrolys, green",6,111,0.054
3,"20, hydrogen, cip, electrolysi, heat",17,111,0.153
3,"22, hydrogen, powertox, product, compani",21,111,0.189
3,"24, co2, bioga, offshor, climat",5,111,0.045
3,"34, bornholm, area, wind, energi",3,111,0.027
3,"36, say, energi, casper, bornholm",1,111,0.009
3,"39, energi, bornholm, poland, wind",11,111,0.099
3,"4, bornholm, energi, say, area",3,111,0.027
3,"41, energinet, island, cabl, electr",9,111,0.081
3,"44, sea, island, north, german",9,111,0.081
3,"46, bornholm, energi, land, turbin",2,111,0.018
3,"6, energi, wind, bornholm, farm",5,111,0.045
3,"8, renew, european, integr, offshor",1,111,0.009
3,Noise,9,111,0.081
4,"0, bornholm, island, energi, also",21,155,0.135
4,"1, say, energi, bornholm, profit",7,155,0.045
4,"2, bornholm, energi, also, busi",16,155,0.103
4,"21, bornholm, citizen, municip, also",16,155,0.103
4,"26, year, municip, peter, say",16,155,0.103
4,"30, social, municip, democraci, ann",20,155,0.129
4,"31, project, bornholm, energi, wind",4,155,0.026
4,"32, bornholm, say, municip, busi",10,155,0.065
4,"37, budget, municip, save, million",19,155,0.123
4,"4, bornholm, energi, say, area",1,155,0.006
4,"47, museum, guard, home, bornholm",2,155,0.013
4,"7, bornholm, energi, island, say",15,155,0.097
4,"9, bornholm, municip, energi, island",8,155,0.052
5,"13, light, offshor, grid, energi",12,107,0.112
5,"14, offshor, grid, optim, system",1,107,0.009
5,"15, grid, offshor, variabl, power",5,107,0.047
5,"18, hydrogen, ga, electrolys, green",14,107,0.131
5,"20, hydrogen, cip, electrolysi, heat",2,107,0.019
5,"24, co2, bioga, offshor, climat",7,107,0.065
5,"25, heat, renew, system, rvv",14,107,0.131
5,"27, scenario, power, grid, paper",4,107,0.037
5,"29, system, grid, energi, develop",8,107,0.075
5,"31, project, bornholm, energi, wind",1,107,0.009
5,"38, rvv, bioga, energi, scenario",12,107,0.112
5,"42, water, grid, ptx, system",5,107,0.047
5,"43, grid, system, power, risk",6,107,0.056
5,"47, museum, guard, home, bornholm",1,107,0.009
5,"8, renew, european, integr, offshor",8,107,0.075
5,Noise,7,107,0.065
6,"1, say, energi, bornholm, profit",6,152,0.039
6,"10, bornholm, energi, archaeologist, project",10,152,0.066
6,"11, wind, bornholm, offshor, energi",13,152,0.086
6,"13, light, offshor, grid, energi",2,152,0.013
6,"16, island, bornholm, energi, price",15,152,0.099
6,"19, island, energi, bornholm, wind",16,152,0.105
6,"20, hydrogen, cip, electrolysi, heat",1,152,0.007
6,"24, co2, bioga, offshor, climat",1,152,0.007
6,"28, area, energi, sea, bornholm",11,152,0.072
6,"3, energi, bornholm, wind, work",15,152,0.099
6,"34, bornholm, area, wind, energi",8,152,0.053
6,"36, say, energi, casper, bornholm",9,152,0.059
6,"4, bornholm, energi, say, area",12,152,0.079
6,"41, energinet, island, cabl, electr",6,152,0.039
6,"44, sea, island, north, german",3,152,0.02
6,"46, bornholm, energi, land, turbin",4,152,0.026
6,"47, museum, guard, home, bornholm",2,152,0.013
6,"6, energi, wind, bornholm, farm",14,152,0.092
6,Noise,4,152,0.026
