topic_int,topic_names_from_bertopic,count,total_count,percentage
0,"0, offshor, grid, wind, energi",6,131,0.046
0,"1, bornholm, energi, hydrogen, island",1,131,0.008
0,"11, grid, island, convert, hvdc",1,131,0.008
0,"12, wind, bornholm, energi, offshor",6,131,0.046
0,"13, energi, project, sea, bornholm",4,131,0.031
0,"15, grid, offshor, wind, convert",2,131,0.015
0,"17, wind, offshor, energi, danish",2,131,0.015
0,"18, energi, island, materi, bornholm",2,131,0.015
0,"19, energi, island, ptx, jacob",2,131,0.015
0,"2, bioga, energi, island, bornholm",7,131,0.053
0,"20, municip, bornholm, council, busi",7,131,0.053
0,"22, museum, archaeologist, archaeolog, energinet",23,131,0.176
0,"23, busi, energi, say, park",3,131,0.023
0,"24, heat, climat, green, co2",2,131,0.015
0,"25, offshor, wind, bornholm, power",1,131,0.008
0,"26, compani, fund, bornholm, busi",4,131,0.031
0,"27, price, zone, bornholm, electr",2,131,0.015
0,"28, island, energi, sea, project",2,131,0.015
0,"29, grid, bornholm, harmon, power",2,131,0.015
0,"3, energi, green, project, bornholm",6,131,0.046
0,"31, rout, system, hydrogen, energi",1,131,0.008
0,"35, water, rvv, energi, busi",1,131,0.008
0,"39, bornholm, island, energi, democraci",2,131,0.015
0,"4, wind, offshor, sea, grid",1,131,0.008
0,"43, wind, jrn, ole, sonn",1,131,0.008
0,"5, energi, island, climat, bornholm",6,131,0.046
0,"6, wind, energinet, turbin, offshor",18,131,0.137
0,"7, wind, offshor, area, bornholm",8,131,0.061
0,"8, energi, bornholm, island, ptx",3,131,0.023
0,"9, nuclear, energi, power, center",4,131,0.031
0,Noise,1,131,0.008
1,"1, bornholm, energi, hydrogen, island",14,90,0.156
1,"11, grid, island, convert, hvdc",3,90,0.033
1,"12, wind, bornholm, energi, offshor",7,90,0.078
1,"13, energi, project, sea, bornholm",3,90,0.033
1,"14, hydrogen, electr, energi, bornholm",9,90,0.1
1,"15, grid, offshor, wind, convert",1,90,0.011
1,"16, hydrogen, network, energi, cabl",7,90,0.078
1,"18, energi, island, materi, bornholm",2,90,0.022
1,"22, museum, archaeologist, archaeolog, energinet",2,90,0.022
1,"23, busi, energi, say, park",1,90,0.011
