topic_int,topic_names_from_bertopic,count,total_count,percentage
0,"0, bornholm, energi, also, green",13,121,0.107
0,"1, hydrogen, wind, energi, bornholm",2,121,0.017
0,"10, bornholm, municip, say, also",1,121,0.008
0,"11, island, energi, energinet, bornholm",13,121,0.107
0,"12, energi, island, bornholm, wind",7,121,0.058
0,"14, energi, light, area, sea",7,121,0.058
0,"17, cool, busi, green, bornholm",3,121,0.025
0,"2, bornholm, energi, busi, island",5,121,0.041
0,"20, hydrogen, bornholm, energi, green",3,121,0.025
0,"24, bornholm, also, energi, develop",1,121,0.008
0,"25, price, bornholm, archaeologist, zone",10,121,0.083
0,"27, wind, offshor, energi, pedersen",5,121,0.041
0,"28, energi, system, offshor, island",1,121,0.008
0,"3, control, convert, grid, offshor",1,121,0.008
0,"30, energi, guard, denmark, bornholm",3,121,0.025
0,"32, municip, bornholm, tax, good",1,121,0.008
0,"33, agreement, energi, ship, bornholm",4,121,0.033
0,"34, bornholm, energi, plant, heat",3,121,0.025
0,"35, bornholm, heat, energi, rvv",2,121,0.017
0,"36, energi, bornholm, project, island",4,121,0.033
0,"37, co2, 2030, energi, green",2,121,0.017
0,"39, materi, energi, island, wind",2,121,0.017
0,"4, bornholm, energi, area, say",15,121,0.124
0,"40, energi, project, billion, dkk",3,121,0.025
0,"7, energi, offshor, grid, germani",1,121,0.008
0,"9, energi, germani, system, bornholm",3,121,0.025
0,Noise,6,121,0.05
1,"0, bornholm, energi, also, green",4,140,0.029
1,"1, hydrogen, wind, energi, bornholm",19,140,0.136
1,"11, island, energi, energinet, bornholm",7,140,0.05
1,"12, energi, island, bornholm, wind",11,140,0.079
1,"14, energi, light, area, sea",12,140,0.086
1,"15, energi, wind, island, sea",4,140,0.029
1,"17, cool, busi, green, bornholm",3,140,0.021
1,"2, bornholm, energi, busi, island",2,140,0.014
1,"20, hydrogen, bornholm, energi, green",7,140,0.05
1,"22, grid, wave, offshor, paramet",2,140,0.014
1,"25, price, bornholm, archaeologist, zone",3,140,0.021
1,"26, energi, wind, danish, island",2,140,0.014
1,"27, wind, offshor, energi, pedersen",8,140,0.057
1,"28, energi, system, offshor, island",9,140,0.064
1,"30, energi, guard, denmark, bornholm",2,140,0.014
1,"33, agreement, energi, ship, bornholm",2,140,0.014
1,"34, bornholm, energi, plant, heat",1,140,0.007
1,"35, bornholm, heat, energi, rvv",1,140,0.007
1,"36, energi, bornholm, project, island",2,140,0.014
1,"37, co2, 2030, energi, green",2,140,0.014
1,"39, materi, energi, island, wind",5,140,0.036
1,"4, bornholm, energi, area, say",11,140,0.079
1,"40, energi, project, billion, dkk",2,140,0.014
1,"5, wind, energi, hydrogen, offshor",7,140,0.05
1,"7, energi, offshor, grid, germani",1,140,0.007
1,"9, energi, germani, system, bornholm",9,140,0.064
1,Noise,2,140,0.014
2,"0, bornholm, energi, also, green",7,134,0.052
2,"1, hydrogen, wind, energi, bornholm",5,134,0.037
2,"10, bornholm, municip, say, also",15,134,0.112
2,"11, island, energi, energinet, bornholm",4,134,0.03
2,"12, energi, island, bornholm, wind",6,134,0.045
2,"13, bornholm, island, energi, also",16,134,0.119
2,"17, cool, busi, green, bornholm",6,134,0.045
2,"2, bornholm, energi, busi, island",11,134,0.082
2,"20, hydrogen, bornholm, energi, green",1,134,0.007
2,"24, bornholm, also, energi, develop",10,134,0.075
2,"25, price, bornholm, archaeologist, zone",1,134,0.007
2,"27, wind, offshor, energi, pedersen",1,134,0.007
2,"3, control, convert, grid, offshor",2,134,0.015
2,"30, energi, guard, denmark, bornholm",6,134,0.045
2,"32, municip, bornholm, tax, good",3,134,0.022
2,"33, agreement, energi, ship, bornholm",3,134,0.022
2,"34, bornholm, energi, plant, heat",5,134,0.037
2,"35, bornholm, heat, energi, rvv",3,134,0.022
2,"36, energi, bornholm, project, island",2,134,0.015
2,"38, bornholm, say, island, municip",4,134,0.03
2,"39, materi, energi, island, wind",1,134,0.007
2,"4, bornholm, energi, area, say",3,134,0.022
2,"40, energi, project, billion, dkk",1,134,0.007
2,"6, bornholm, municip, say, year",15,134,0.112
2,Noise,3,134,0.022
3,"1, hydrogen, wind, energi, bornholm",1,144,0.007
3,"16, grid, offshor, integr, wind",6,144,0.042
3,"18, grid, offshor, paper, north",6,144,0.042
3,"19, comput, grid, quantum, system",1,144,0.007
3,"22, grid, wave, offshor, paramet",3,144,0.021
3,"23, control, grid, offshor, convert",26,144,0.181
3,"29, grid, transmiss, hvdc, offshor",25,144,0.174
3,"3, control, convert, grid, offshor",42,144,0.292
3,"31, offshor, grid, grain, power",2,144,0.014
3,"8, offshor, grid, power, wind",31,144,0.215
3,Noise,1,144,0.007
4,"11, island, energi, energinet, bornholm",1,138,0.007
4,"12, energi, island, bornholm, wind",1,138,0.007
4,"14, energi, light, area, sea",4,138,0.029
4,"15, energi, wind, island, sea",11,138,0.08
4,"16, grid, offshor, integr, wind",24,138,0.174
4,"18, grid, offshor, paper, north",21,138,0.152
4,"19, comput, grid, quantum, system",11,138,0.08
4,"20, hydrogen, bornholm, energi, green",1,138,0.007
4,"21, budget, municip, save, million",1,138,0.007
4,"22, grid, wave, offshor, paramet",8,138,0.058
4,"26, energi, wind, danish, island",1,138,0.007
4,"28, energi, system, offshor, island",2,138,0.014
4,"30, energi, guard, denmark, bornholm",1,138,0.007
4,"31, offshor, grid, grain, power",15,138,0.109
4,"4, bornholm, energi, area, say",3,138,0.022
4,"5, wind, energi, hydrogen, offshor",2,138,0.014
4,"7, energi, offshor, grid, germani",15,138,0.109
4,"8, offshor, grid, power, wind",9,138,0.065
4,"9, energi, germani, system, bornholm",4,138,0.029
4,Noise,3,138,0.022
5,"0, bornholm, energi, also, green",1,156,0.006
5,"1, hydrogen, wind, energi, bornholm",21,156,0.135
5,"11, island, energi, energinet, bornholm",6,156,0.038
5,"12, energi, island, bornholm, wind",5,156,0.032
5,"14, energi, light, area, sea",2,156,0.013
5,"15, energi, wind, island, sea",11,156,0.071
5,"17, cool, busi, green, bornholm",2,156,0.013
5,"20, hydrogen, bornholm, energi, green",4,156,0.026
5,"22, grid, wave, offshor, paramet",4,156,0.026
5,"25, price, bornholm, archaeologist, zone",2,156,0.013
5,"26, energi, wind, danish, island",15,156,0.096
5,"27, wind, offshor, energi, pedersen",7,156,0.045
5,"28, energi, system, offshor, island",8,156,0.051
5,"36, energi, bornholm, project, island",2,156,0.013
5,"39, materi, energi, island, wind",5,156,0.032
5,"40, energi, project, billion, dkk",3,156,0.019
5,"5, wind, energi, hydrogen, offshor",29,156,0.186
5,"7, energi, offshor, grid, germani",17,156,0.109
5,"8, offshor, grid, power, wind",1,156,0.006
5,"9, energi, germani, system, bornholm",9,156,0.058
5,Noise,2,156,0.013
6,"0, bornholm, energi, also, green",3,161,0.019
6,"10, bornholm, municip, say, also",23,161,0.143
6,"13, bornholm, island, energi, also",18,161,0.112
6,"17, cool, busi, green, bornholm",4,161,0.025
6,"2, bornholm, energi, busi, island",11,161,0.068
6,"21, budget, municip, save, million",26,161,0.161
6,"24, bornholm, also, energi, develop",7,161,0.043
6,"3, control, convert, grid, offshor",9,161,0.056
6,"30, energi, guard, denmark, bornholm",2,161,0.012
6,"32, municip, bornholm, tax, good",16,161,0.099
6,"33, agreement, energi, ship, bornholm",1,161,0.006
6,"35, bornholm, heat, energi, rvv",2,161,0.012
6,"37, co2, 2030, energi, green",2,161,0.012
6,"38, bornholm, say, island, municip",4,161,0.025
6,"4, bornholm, energi, area, say",2,161,0.012
6,"6, bornholm, municip, say, year",30,161,0.186
6,Noise,1,161,0.006
7,"0, bornholm, energi, also, green",1,117,0.009
7,"1, hydrogen, wind, energi, bornholm",6,117,0.051
7,"12, energi, island, bornholm, wind",1,117,0.009
7,"13, bornholm, island, energi, also",1,117,0.009
7,"14, energi, light, area, sea",9,117,0.077
7,"15, energi, wind, island, sea",8,117,0.068
7,"16, grid, offshor, integr, wind",2,117,0.017
7,"18, grid, offshor, paper, north",3,117,0.026
7,"19, comput, grid, quantum, system",17,117,0.145
7,"20, hydrogen, bornholm, energi, green",2,117,0.017
7,"22, grid, wave, offshor, paramet",9,117,0.077
7,"26, energi, wind, danish, island",4,117,0.034
7,"28, energi, system, offshor, island",5,117,0.043
7,"31, offshor, grid, grain, power",6,117,0.051
7,"5, wind, energi, hydrogen, offshor",7,117,0.06
7,"7, energi, offshor, grid, germani",11,117,0.094
7,"8, offshor, grid, power, wind",4,117,0.034
7,"9, energi, germani, system, bornholm",16,117,0.137
7,Noise,5,117,0.043
8,"0, bornholm, energi, also, green",19,136,0.14
8,"10, bornholm, municip, say, also",1,136,0.007
8,"11, island, energi, energinet, bornholm",4,136,0.029
8,"12, energi, island, bornholm, wind",3,136,0.022
8,"13, bornholm, island, energi, also",2,136,0.015
8,"17, cool, busi, green, bornholm",14,136,0.103
8,"2, bornholm, energi, busi, island",18,136,0.132
8,"20, hydrogen, bornholm, energi, green",1,136,0.007
8,"24, bornholm, also, energi, develop",7,136,0.051
8,"25, price, bornholm, archaeologist, zone",5,136,0.037
8,"27, wind, offshor, energi, pedersen",2,136,0.015
8,"3, control, convert, grid, offshor",2,136,0.015
8,"30, energi, guard, denmark, bornholm",8,136,0.059
8,"33, agreement, energi, ship, bornholm",7,136,0.051
8,"34, bornholm, energi, plant, heat",4,136,0.029
8,"35, bornholm, heat, energi, rvv",4,136,0.029
8,"36, energi, bornholm, project, island",1,136,0.007
8,"37, co2, 2030, energi, green",6,136,0.044
8,"38, bornholm, say, island, municip",6,136,0.044
8,"39, materi, energi, island, wind",1,136,0.007
8,"4, bornholm, energi, area, say",10,136,0.074
8,"40, energi, project, billion, dkk",4,136,0.029
8,"6, bornholm, municip, say, year",2,136,0.015
8,Noise,5,136,0.037
9,"0, bornholm, energi, also, green",18,120,0.15
9,"1, hydrogen, wind, energi, bornholm",9,120,0.075
9,"10, bornholm, municip, say, also",1,120,0.008
9,"11, island, energi, energinet, bornholm",6,120,0.05
9,"12, energi, island, bornholm, wind",4,120,0.033
9,"13, bornholm, island, energi, also",1,120,0.008
9,"16, grid, offshor, integr, wind",1,120,0.008
9,"17, cool, busi, green, bornholm",1,120,0.008
9,"2, bornholm, energi, busi, island",9,120,0.075
9,"20, hydrogen, bornholm, energi, green",9,120,0.075
9,"22, grid, wave, offshor, paramet",1,120,0.008
9,"24, bornholm, also, energi, develop",1,120,0.008
9,"25, price, bornholm, archaeologist, zone",5,120,0.042
9,"26, energi, wind, danish, island",4,120,0.033
9,"27, wind, offshor, energi, pedersen",2,120,0.017
9,"30, energi, guard, denmark, bornholm",2,120,0.017
9,"33, agreement, energi, ship, bornholm",3,120,0.025
9,"34, bornholm, energi, plant, heat",5,120,0.042
9,"35, bornholm, heat, energi, rvv",5,120,0.042
9,"36, energi, bornholm, project, island",5,120,0.042
9,"37, co2, 2030, energi, green",4,120,0.033
9,"38, bornholm, say, island, municip",1,120,0.008
9,"39, materi, energi, island, wind",1,120,0.008
9,"4, bornholm, energi, area, say",11,120,0.092
9,"40, energi, project, billion, dkk",2,120,0.017
9,"5, wind, energi, hydrogen, offshor",2,120,0.017
9,"9, energi, germani, system, bornholm",1,120,0.008
9,Noise,6,120,0.05
