Source,cluster,x,y
Pro Media,29,3.7066317,4.810376
Pro Media,29,3.7430909,4.8907776
Pro Media,18,3.579783,5.435417
Pro Media,29,3.6455226,4.656951
Pro Media,18,3.1724567,5.734233
Pro Media,2,4.033127,4.493577
Pro Media,29,4.1914334,5.351477
Pro Media,24,2.3539956,5.4923587
Pro Media,8,5.185807,5.398354
Pro Media,8,5.358461,6.027961
Pro Media,8,5.7205343,5.584761
Pro Media,29,3.6540446,4.699178
Pro Media,29,3.8360956,4.7020383
Pro Media,29,4.415632,5.2636294
Pro Media,29,3.3631089,4.7809143
Pro Media,14,8.467063,3.303334
Pro Media,8,5.231286,6.1481557
Pro Media,8,5.336601,6.0595913
Pro Media,18,3.334462,5.6957026
Pro Media,10,5.9223747,4.3957987
Pro Media,18,3.1873274,5.122184
Pro Media,18,3.3002274,5.709058
Pro Media,24,2.6815684,6.028949
Pro Media,29,3.3833442,4.792701
Pro Media,35,2.4992554,5.1986556
Pro Media,26,3.3822582,4.7956653
Pro Media,24,2.9121153,5.901081
Pro Media,18,3.1519601,5.285112
Pro Media,8,5.430072,5.988371
Pro Media,29,4.3465667,5.187467
Pro Media,8,5.4819703,5.3622713
Pro Media,18,3.0205855,5.7242436
Pro Media,8,5.047767,5.518886
Pro Media,18,3.0771356,5.723769
Pro Media,18,3.0079339,5.750539
Pro Media,1,6.864272,3.8409965
Pro Media,35,2.521773,5.32805
Pro Media,18,3.520546,5.4106336
Pro Media,15,7.133583,6.145003
Pro Media,5,5.5970297,4.972238
Pro Media,18,3.1046352,5.602385
Pro Media,8,5.345327,6.0357475
Pro Media,26,3.8696754,5.1466155
Pro Media,8,5.56933,5.6312027
Pro Media,5,5.6133065,4.96973
Pro Media,2,4.0826073,4.3178196
Pro Media,18,3.159607,5.7264376
Pro Media,18,3.2357447,5.7941155
Pro Media,14,8.470553,3.37675
Pro Media,1,6.4561577,3.7375143
Pro Media,18,3.5222375,5.395497
Pro Media,2,4.4343953,4.0190187
Pro Media,8,5.590097,5.7529707
Pro Media,18,3.3102047,5.6651464
Pro Media,5,5.877996,5.1909113
Pro Media,8,5.404991,5.5579567
Pro Media,8,5.299968,5.523774
Pro Media,8,5.4438553,5.556345
Pro Media,8,5.369855,5.7807436
Pro Media,8,5.5629826,5.604926
Pro Media,26,3.577381,5.0982876
Pro Media,25,7.0155344,5.1660986
Pro Media,29,3.642926,4.6813617
Pro Media,8,5.4901342,5.7752705
Pro Media,2,4.2740207,4.025028
Pro Media,1,6.8752403,3.6994905
Pro Media,36,0.51998156,5.3325653
Pro Media,14,8.714005,3.1138012
Pro Media,2,4.1839585,4.231245
Pro Media,8,5.872731,5.608315
Pro Media,8,5.3485985,6.138218
Pro Media,12,0.5864491,6.7532716
Pro Media,5,5.442095,4.818352
Pro Media,8,5.4265513,5.890554
Pro Media,8,5.449599,5.941112
Pro Media,4,5.5907636,3.4681406
Pro Media,4,5.4513936,3.5108664
Pro Media,18,3.2056847,5.852011
Pro Media,21,8.862102,4.4178734
Pro Media,4,5.3838854,3.829173
Pro Media,30,7.1999035,5.0670853
Pro Media,2,4.5101337,4.2821846
Pro Media,8,5.8659067,5.928261
Pro Media,8,5.676977,5.7172637
Pro Media,13,2.1320393,4.6748357
Pro Media,8,5.867915,6.0163684
Pro Media,11,7.5478525,4.2720833
Pro Media,8,5.558907,5.9013824
Pro Media,36,0.48185036,5.376932
Pro Media,18,3.5146878,5.4293704
Pro Media,36,0.56138796,5.355147
Pro Media,5,5.586199,5.1086597
Pro Media,8,5.415429,6.114456
Pro Media,13,2.482373,6.8307805
Pro Media,5,5.699989,4.8459377
Pro Media,29,3.1192546,4.2281656
Pro Media,24,2.4002364,5.542265
Pro Media,26,2.8558776,4.598838
Pro Media,35,2.1599164,4.889174
Pro Media,7,7.6091957,3.0615635
Pro Media,0,2.3477776,7.522093
Pro Media,24,2.4018664,5.542893
Pro Media,12,1.1790282,7.343808
Pro Media,30,6.9947524,5.123092
Pro Media,2,4.121778,4.0210037
Pro Media,4,5.238887,3.7301097
Pro Media,2,4.2199206,4.279537
Pro Media,4,5.1438727,3.634946
Pro Media,23,1.1996633,6.85086
Pro Media,2,3.85077,4.322057
Pro Media,5,5.4521646,5.309859
Pro Media,8,5.543553,5.7068186
Pro Media,18,3.3204668,5.6793075
Pro Media,26,3.6375945,4.96662
Pro Media,30,7.0035076,5.1216607
Pro Media,10,6.1760626,5.846965
Pro Media,11,7.5817604,4.263164
Pro Media,5,5.5679817,4.928311
Pro Media,0,1.3821323,7.4918356
Pro Media,5,5.546646,4.8646097
Pro Media,8,5.782475,5.9359083
Pro Media,34,2.5385125,4.5768785
Pro Media,4,5.583941,3.4681642
Pro Media,4,5.3629084,3.6312847
Pro Media,34,2.612634,4.397296
Pro Media,5,5.5308523,5.0891356
Pro Media,7,7.5613956,3.147131
Pro Media,13,2.2057118,4.6074843
Pro Media,5,5.637366,5.1008945
Pro Media,29,3.138983,4.830246
Pro Media,34,2.639586,4.5314436
Pro Media,36,0.557058,5.3564878
Pro Media,2,4.3609705,4.009776
Pro Media,18,3.281169,5.748298
Pro Media,35,2.3454332,4.919723
Pro Media,35,2.379988,4.953441
Pro Media,5,5.5629225,4.915277
Pro Media,24,3.0106864,6.176084
Pro Media,26,4.045176,5.374347
Pro Media,35,2.4991672,5.1907187
Pro Media,18,3.2212563,5.686111
Pro Media,30,7.470849,5.1733317
Pro Media,24,2.7855005,5.832827
Pro Media,2,4.0667696,4.1429024
Pro Media,24,2.6963632,6.097273
Pro Media,2,4.1003094,4.3814344
Pro Media,8,5.6347303,5.5818524
Pro Media,5,5.771033,5.37177
Pro Media,4,5.4778376,3.5942006
Pro Media,19,0.055557843,6.921591
Pro Media,8,5.2382383,5.6635666
Pro Media,34,2.5275466,4.8713927
Pro Media,35,2.3150785,4.9341803
Pro Media,8,5.0722566,5.6211743
Pro Media,29,3.8487985,4.0716705
Pro Media,13,2.1400301,4.670665
Pro Media,8,5.589655,5.9405203
Pro Media,11,7.5219693,4.184841
Pro Media,3,0.51970726,5.858422
Pro Media,13,2.225992,4.7010946
Pro Media,8,5.527993,5.9100366
Pro Media,34,2.2885954,4.5702047
Pro Media,34,2.5571227,4.645055
Reg Media,19,-0.067369334,6.930914
Reg Media,8,5.7263403,5.7046595
Reg Media,17,1.3622984,6.0853486
Reg Media,17,1.3938615,6.150401
Reg Media,2,4.2540545,4.39318
Reg Media,24,2.936958,6.0180798
Reg Media,26,4.1706567,4.9598885
Reg Media,5,5.6250744,4.9638824
Reg Media,26,4.2769203,4.9005055
Reg Media,32,0.81852955,5.615749
Reg Media,28,1.6822529,5.260865
Reg Media,24,2.9762123,5.978189
Reg Media,24,2.9425528,6.2872505
Reg Media,13,1.9387112,4.740576
Reg Media,2,3.9541285,4.027765
Reg Media,13,1.9808503,4.711169
Reg Media,36,0.4351921,5.416128
Reg Media,27,1.0773872,5.9040127
Reg Media,8,5.2806406,5.6688824
Reg Media,31,0.22507994,7.0719852
Reg Media,32,0.7070114,5.5727363
Reg Media,26,3.8758285,5.0328794
Reg Media,32,0.62651706,5.7033453
Reg Media,13,1.5856041,4.855845
Reg Media,36,3.8076982,4.901622
Reg Media,2,3.974739,4.309416
Reg Media,2,3.776448,4.2204304
Reg Media,2,3.6505766,4.0896115
Reg Media,2,3.7777808,4.057866
Reg Media,19,-0.13617551,7.0044556
Reg Media,13,1.7964664,5.222725
Reg Media,18,3.4346492,5.084493
Reg Media,32,0.7307434,5.616462
Reg Media,27,0.87197006,5.4545813
Reg Media,26,3.791318,5.164468
Reg Media,27,1.3522695,5.6396976
Reg Media,2,4.8515162,4.4235744
Reg Media,24,2.7730925,6.008481
Reg Media,18,3.2182205,5.700706
Reg Media,32,0.64980924,5.6196003
Reg Media,0,1.8709221,7.5425878
Reg Media,4,5.5014334,3.5256815
Reg Media,36,0.57882905,5.435237
Reg Media,28,1.8532366,5.6035028
Reg Media,36,0.5807417,5.419373
Reg Media,17,1.0861744,5.8892417
Reg Media,26,4.209822,5.0413156
Reg Media,31,0.33443245,6.8861995
Reg Media,12,0.70531267,6.751013
Reg Media,26,3.9256692,4.8012524
Reg Media,25,7.3127317,5.6827955
Reg Media,32,0.70542896,5.6791058
Reg Media,20,2.3150272,6.212534
Reg Media,26,3.8493414,5.3423357
Reg Media,12,1.2124981,7.123877
Reg Media,26,3.848139,5.1341953
Reg Media,33,1.2854487,6.8434386
Reg Media,19,-0.12717608,7.0243683
Reg Media,26,3.66064,5.185888
Reg Media,25,7.228884,5.5845895
Reg Media,17,1.2811284,5.9847956
