Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
sci,3,4.875858,2.4683583,grid frequency wind farm wind turbines direct current diode rectifier,offshore power wind grid control
sci,9,2.8940532,8.568869,hydrogen production green hydrogen energy islands offshore wind hydrogen price,energy hydrogen offshore wind system
sci,15,1.7060642,7.441723,sustainable energy social norms energy island rights reserved taking account,energy sustainable social island paper
sci,14,1.0346833,7.005912,energy community energy consumption energy sources renewable energy renewable energy sources,energy power renewable system electricity
sci,9,1.7196722,8.522908,hydrogen production green hydrogen energy islands offshore wind hydrogen price,energy hydrogen offshore wind system
sci,2,4.597898,5.8964305,offshore grid sea surface grid spacing wind farms time series,offshore wind transmission grid cost
sci,11,0.5208311,7.3208528,energy islands energy island island concept pilot sites energy conversion,energy island project islands concept
sci,2,4.584726,5.8875875,offshore grid sea surface grid spacing wind farms time series,offshore wind transmission grid cost
sci,8,1.2671357,5.4848757,islanded microgrid operation cost individual generation frequency voltage management system,energy power system control grid
sci,5,2.298324,8.355782,energy security energy policy transmission grid energy system harmonic distortion,energy grid system transmission harmonic
sci,15,1.2768912,7.1574283,sustainable energy social norms energy island rights reserved taking account,energy sustainable social island paper
sci,0,4.3327556,8.460018,offshore wind wind power wind farms north sea wind farm,offshore wind grid power energy
sci,3,4.8376164,2.5294845,grid frequency wind farm wind turbines direct current diode rectifier,offshore power wind grid control
sci,3,4.8533134,2.5193758,grid frequency wind farm wind turbines direct current diode rectifier,offshore power wind grid control
sci,6,3.7635515,3.4196029,paper presents critical modes time domain simulation results simulation tool,power system offshore grid control
sci,9,2.2176414,8.856439,hydrogen production green hydrogen energy islands offshore wind hydrogen price,energy hydrogen offshore wind system
sci,7,4.123232,6.8079066,north sea offshore grid legal framework offshore wind energy wind energy,offshore grid wind energy north
sci,4,0.33229837,8.041107,renewable energy energy system small islands elsevier ltd energy costs,energy island islands system renewable
sci,8,3.0868592,3.8805456,islanded microgrid operation cost individual generation frequency voltage management system,energy power system control grid
sci,4,0.623479,7.8813734,renewable energy energy system small islands elsevier ltd energy costs,energy island islands system renewable
sci,9,2.3973494,8.907092,hydrogen production green hydrogen energy islands offshore wind hydrogen price,energy hydrogen offshore wind system
sci,15,1.2826418,7.2398643,sustainable energy social norms energy island rights reserved taking account,energy sustainable social island paper
sci,15,1.3288555,7.749236,sustainable energy social norms energy island rights reserved taking account,energy sustainable social island paper
sci,4,0.2284836,7.9021173,renewable energy energy system small islands elsevier ltd energy costs,energy island islands system renewable
sci,9,1.8037038,8.879091,hydrogen production green hydrogen energy islands offshore wind hydrogen price,energy hydrogen offshore wind system
sci,0,5.391364,7.178326,offshore wind wind power wind farms north sea wind farm,offshore wind grid power energy
sci,5,1.6219542,7.9895506,energy security energy policy transmission grid energy system harmonic distortion,energy grid system transmission harmonic
sci,8,1.0567734,5.753627,islanded microgrid operation cost individual generation frequency voltage management system,energy power system control grid
sci,3,4.3581514,3.0609076,grid frequency wind farm wind turbines direct current diode rectifier,offshore power wind grid control
sci,8,0.80418366,5.6345334,islanded microgrid operation cost individual generation frequency voltage management system,energy power system control grid
sci,12,0.9089993,6.009241,power system power systems multi vector energy systems dimension reduction,energy system power systems model
sci,0,5.101391,8.147161,offshore wind wind power wind farms north sea wind farm,offshore wind grid power energy
sci,13,0.5315622,6.041331,smart grid energy storage energy systems energy island systems infrastructure,energy power system systems island
sci,8,0.7908516,5.3846507,islanded microgrid operation cost individual generation frequency voltage management system,energy power system control grid
sci,5,2.529219,8.112595,energy security energy policy transmission grid energy system harmonic distortion,energy grid system transmission harmonic
sci,9,2.2935793,8.865666,hydrogen production green hydrogen energy islands offshore wind hydrogen price,energy hydrogen offshore wind system
