Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
reg,18,3.2375746,4.638093,cultural identity every day make bornholm green energy green transition,bornholm energy island also green
reg,0,1.251689,3.715706,rønne harbor baltic energy baltic energy island press release baltic sea,bornholm energy island og islands
reg,17,-0.43071133,2.6635427,nuclear power solar cells hydrogen production sun wind bornholm energi,energy bornholm power electricity wind
reg,6,2.4890425,3.4388623,green energy danish business national center promotion board center green,bornholm energy business green island
reg,6,2.4109316,3.5545378,green energy danish business national center promotion board center green,bornholm energy business green island
reg,1,-0.44418627,3.9863596,offshore wind bornholm offshore wind bornholm offshore danish energy agency energy agency,bornholm wind energy offshore turbines
reg,0,1.2941961,2.8638368,rønne harbor baltic energy baltic energy island press release baltic sea,bornholm energy island og islands
reg,0,1.0173513,3.519303,rønne harbor baltic energy baltic energy island press release baltic sea,bornholm energy island og islands
reg,0,1.3066529,3.229973,rønne harbor baltic energy baltic energy island press release baltic sea,bornholm energy island og islands
reg,10,-0.7855728,3.0652285,electrolysis plant green fuels klaus vesløv surplus heat district heating,bornholm energy hydrogen wind powertox
reg,0,1.41431,3.2112062,rønne harbor baltic energy baltic energy island press release baltic sea,bornholm energy island og islands
reg,1,-0.07827239,3.8949916,offshore wind bornholm offshore wind bornholm offshore danish energy agency energy agency,bornholm wind energy offshore turbines
reg,1,0.08067926,4.117061,offshore wind bornholm offshore wind bornholm offshore danish energy agency energy agency,bornholm wind energy offshore turbines
reg,8,3.2377553,3.8775375,green transition bornholm future ensure bornholm unique opportunity young people,bornholm energy island green also
reg,6,2.263819,3.0737836,green energy danish business national center promotion board center green,bornholm energy business green island
reg,0,1.0615443,3.5474584,rønne harbor baltic energy baltic energy island press release baltic sea,bornholm energy island og islands
reg,11,0.35028538,1.8641943,baltic sea juel jensen peter juel jensen peter juel critical infrastructure,bornholm energy also defense says
reg,10,-1.341513,3.0447407,electrolysis plant green fuels klaus vesløv surplus heat district heating,bornholm energy hydrogen wind powertox
