Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
pro,1,8.42041,4.3822556,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,5,6.558888,3.177773,"wave power, 0.0182 | million kroner, 0.0097 | energy islands north, 0.0088 | islands north, 0.0086 | islands north sea, 0.0086",energy island islands wind electricity
pro,4,9.6052065,3.8441215,"converter stations, 0.0101 | business case, 0.0100 | north sea, 0.0092 | market design, 0.0087 | energy islands, 0.0079",energy wind island islands sea
pro,0,7.0353494,3.4124339,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,4,9.399818,3.82166,"converter stations, 0.0101 | business case, 0.0100 | north sea, 0.0092 | market design, 0.0087 | energy islands, 0.0079",energy wind island islands sea
pro,1,8.83596,4.007172,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,6,8.140338,4.6060886,"light pollution, 0.0361 | kjeld pedersen, 0.0213 | solar cell, 0.0163 | lars holmegaard, 0.0130 | turbines solar cells, 0.0124",energy green also says wind
pro,2,6.6596684,5.3728027,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,1,8.563503,5.734184,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,3,5.4475217,4.0835414,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,1,8.902801,5.637485,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,3,6.4350996,4.077413,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,1,8.8943205,4.856368,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,1,9.004966,5.147017,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,2,6.5262036,5.5155053,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,2,6.738423,5.491384,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,4,9.495893,3.4929147,"converter stations, 0.0101 | business case, 0.0100 | north sea, 0.0092 | market design, 0.0087 | energy islands, 0.0079",energy wind island islands sea
pro,1,8.857836,5.0335283,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,3,7.87043,4.7157054,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,1,8.752924,4.4305673,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,4,9.6219015,4.1831813,"converter stations, 0.0101 | business case, 0.0100 | north sea, 0.0092 | market design, 0.0087 | energy islands, 0.0079",energy wind island islands sea
pro,1,8.672508,4.1026974,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,5,6.6425376,2.6079855,"wave power, 0.0182 | million kroner, 0.0097 | energy islands north, 0.0088 | islands north, 0.0086 | islands north sea, 0.0086",energy island islands wind electricity
pro,5,6.5357046,2.6501136,"wave power, 0.0182 | million kroner, 0.0097 | energy islands north, 0.0088 | islands north, 0.0086 | islands north sea, 0.0086",energy island islands wind electricity
