Topic,Words
0,bornholm island year peopl mani good new time natur need
1,wind offshor farm turbin bornholm agenc danish sea gigawatt energi
2,energinet plant area land station consult plan municip voltag environment
3,municip social democraci budget parti council list year uniti say
4,busi bornholm compani center green develop energi municip opportun park
5,heat hydrogen power fuel plant product energi cip use bornholm
6,electr grid connect price bornholm energinet cabl trefor power net
7,energi project billion island climat agreement energiø dkk support ministri
8,og er det på til vi der en af den
9,say peter juel jensen minist bornholm jacob energi lea compens
