Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Feng W.; Yu H.; Cai X.; Yang R.; Ren X.; Dong Y.; Peng G.; Ma X.,"Feng, Wenxin (58894048900); Yu, Haotian (57573230000); Cai, Xu (7401847838); Yang, Renxin (57189332931); Ren, Xinfang (58893581800); Dong, Yanle (57763042800); Peng, Guangqiang (55850951300); Ma, Xianghui (58893742900)",58894048900; 57573230000; 7401847838; 57189332931; 58893581800; 57763042800; 55850951300; 58893742900,A collaborative communication-less frequency support control for the DRU-HVDC integrated offshore wind farm,2023,"2023 IEEE Sustainable Power and Energy Conference, iSPEC 2023",,,,,,,0,10.1109/iSPEC58282.2023.10403046,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185369510&doi=10.1109%2fiSPEC58282.2023.10403046&partnerID=40&md5=d8a7d10c7e8f34edbe23b29316106869,"The utilization of diode rectifier units (DRU) in high voltage direct current (HVDC) transmission systems holds significant promise as a cost-effective solution for the integration of large-scale offshore wind farms (OWFs). A collaborative communication-less frequency support (FS) control strategy has been proposed in this paper for OWFs using DRU-HVDC transmission. The onshore-grid frequency change is introduced to the HVDC in the form of a small sinusoidal disturbance and is accurately reflected in offshore grid by the frequency coupling between the AC and the DC side of the DRU. On this basis, the wind turbines (WTs) could realize the FS by measuring the frequency variation of the small disturbance current in the offshore grid. Finally, the results of PSCAD/EMTDC simulation are presented to validate the efficacy of the proposed FS strategy. © 2023 IEEE.",DRU-HVDC; frequency coupling characteristics; frequency support control; offshore wind farm,Cost effectiveness; Electric rectifiers; Electric utilities; HVDC power transmission; Offshore oil well production; Offshore technology; Power quality; Rectifying circuits; Collaborative communications; Coupling characteristic; Diode rectifier; Diode rectifier unit-high voltage direct current; Frequency coupling; Frequency coupling characteristic; Frequency support control; High-Voltage Direct Current; High-voltage direct-current transmission systems; Offshores; Offshore wind farms,Conference paper,Final,,Scopus,2-s2.0-85185369510
Glaum P.; Neumann F.; Brown T.,"Glaum, Philipp (57845740100); Neumann, Fabian (57212443897); Brown, Tom (57203271056)",57845740100; 57212443897; 57203271056,Offshore power and hydrogen networks for Europe's North Sea,2024,Applied Energy,369,,123530,,,,0,10.1016/j.apenergy.2024.123530,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194364133&doi=10.1016%2fj.apenergy.2024.123530&partnerID=40&md5=8b2049a8af054477ff0395b558135c8e,"The European North Sea has a vast renewable energy potential and can be a powerhouse for Europe's energy transition. However, currently there is uncertainty about how much offshore wind energy can be integrated, whether offshore grids should be meshed and to what extent offshore hydrogen should play a role. To address these questions, we use the open-source energy system optimization model PyPSA-Eur to model a European carbon-neutral sector-coupled energy system in high spatial and temporal resolution. We let the model endogenously decide how much offshore wind is deployed and which infrastructure is used to integrate the offshore wind. We find that with point-to-point connections like we have today, 310 GW offshore wind can be integrated in the North Sea. However, if we allow meshed networks and hydrogen, we find that this can be raised to 420 GW with cost savings up to 15 bn€/a. Furthermore, we only observe significant amounts of up to 75 GW of floating wind turbines in the North Sea if we have offshore hydrogen production. Generally, the model opts for offshore wind integration through a mix of both electricity and hydrogen infrastructure. However, the bulk of the offshore energy is transported as hydrogen, which is twice as much as the amount transported as electricity. Moreover, we find that the offshore power network is mainly used for offshore wind integration, with only a small portion used for inter-country transmission. © 2024 The Author(s)",Energy system; Floating wind; Hydrogen; North Sea; Offshore grid; Offshore network,Atlantic Ocean; Europe; North Sea; Electric power transmission; Electric power transmission networks; Offshore oil well production; Open systems; Wind power; Energy systems; Floating wind; North Sea; Offshore grid; Offshore networks; Offshore power; Offshore winds; Offshores; Power networks; Wind integration; alternative energy; cost analysis; hydrogen; offshore structure; optimization; smart grid; spatiotemporal analysis; wind power; Hydrogen production,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85194364133
Opryshko O.; Pasichnyk N.; Kiktev N.; Dudnyk A.; Hutsol T.; Mudryk K.; Herbut P.; Łyszczarz P.; Kukharets V.,"Opryshko, Oleksiy (57200182403); Pasichnyk, Natalia (57205442688); Kiktev, Nikolay (57195126012); Dudnyk, Alla (57189332038); Hutsol, Taras (57202648004); Mudryk, Krzysztof (55916709500); Herbut, Piotr (47861218200); Łyszczarz, Piotr (57210464199); Kukharets, Valentyna (57194160539)",57200182403; 57205442688; 57195126012; 57189332038; 57202648004; 55916709500; 47861218200; 57210464199; 57194160539,European Green Deal: Satellite Monitoring in the Implementation of the Concept of Agricultural Development in an Urbanized Environment,2024,Sustainability (Switzerland) ,16,7,2649,,,,2,10.3390/su16072649,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190371137&doi=10.3390%2fsu16072649&partnerID=40&md5=97c47e4d1895fcde033d235b2bf135b9,"To improve energy and environmental security in urban environments and in accordance with the requirements of the EU, the task of sustainable developing agriculture in urban agglomerations and monitoring it using satellite images becomes relevant. The aim of the work is the development of methods and means for determining stable islands of thermal energy to substantiate the optimal locations for plant growing practices in the metropolis. The research was conducted in Kyiv, the largest metropolis of Ukraine. Data from the Landsat 8 and 9 satellites were used because of the free data and they have better spatial resolution and an available archive of observation results. It was established that the temperature map of the city of Kyiv shows differences in temperature between different parts of the city, probably due to the presence of different sources of heat radiation. It is obvious that the standard deviation of the temperature in the plots depends on many factors, in particular, the season and the type of land use. It is necessary to find alternative solutions for the development of crop production in this area, taking into account the characteristics of thermal emissions. Based on software products from free satellite monitoring providers, EO Browser, a specialized software solution (web application) has been created for monitoring agricultural plantations in an urban environment. A collection of LANDSAT 8 satellite images was used. Areas with stable heat emissions were found, which are due to the operation of a modern shopping and entertainment center, and non-traditional crops for landscaping adapted to its design are proposed. As a result of research, strong heat emissions were recorded for some objects, for them the temperature exceeds the surrounding area by 4 °C, while the minimum standard deviation in January is 0.5 °C, the maximum in July is 2.8 °C, in April and October—1.7 °C and 1.2 °C, respectively. © 2024 by the authors.",algorithm; filtering; satellite imagery; stable thermal energy islands; urban environment; web application,Kiev [Ukraine]; Ukraine; agricultural development; algorithm; crop production; environmental monitoring; implementation process; Landsat; satellite altimetry; satellite imagery; software; spatial resolution; thermal power; urbanization,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85190371137
Hoseinzadeh S.; Groppi D.; Nastasi B.; Bruschi D.; Astiaso Garcia D.,"Hoseinzadeh, Siamak (55295886500); Groppi, Daniele (57202131447); Nastasi, Benedetto (56575194700); Bruschi, Daniele (44860983300); Astiaso Garcia, Davide (57211258655)",55295886500; 57202131447; 56575194700; 44860983300; 57211258655,Designing high-share 50% and 100% renewable energy scenarios for Ragusa by sustainable energy toolkit application,2024,Sustainable Energy Technologies and Assessments,63,,103645,,,,12,10.1016/j.seta.2024.103645,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184079847&doi=10.1016%2fj.seta.2024.103645&partnerID=40&md5=9a884ccf5c1090f0fe4b03d63f8be56f,"Increasing renewable energy production and integrating it into the current energy systems may lead to conditional solutions linked to the context of applications as well as regulatory and techno-socioeconomic issues. The PRISMI Plus toolkit is a powerful tool that can be improved to entail rural areas and energy islands for effective planning of the various renewable energy system scenarios associated with urban contexts. The target Flagship Case Study is Ragusa, a Municipality located in Southern Italy, analyzed with the EnergyPLAN software. The simulation and validation were carried out by the HOMER software. The input dataset was created jointly in collaboration with the Municipality, the updated Sustainable Energy Action Plan was inserted into the PRISMI Plus toolkit, and three transition scenarios based on different renewable energy uses were considered within the post-processing stage. For the baseline scenario, no green energy is considered and the whole electricity consumption is taken into account. In scenarios two and three, 50% and 100% renewable energy shares are secured through optimal investment in Photovoltaic (PV) panels, Wind Turbines (WT), and Battery Energy Storage (BES) technologies. From an economic point of view, it was concluded that the best scenario is the second one thanks to the increased technical capacity of the investment ratio compared with the two other scenarios, showing an energy price reduction of up to 10 %. © 2024 The Authors",100% Renewable Energy Sources; Electric Vehicles; Photovoltaic; Solar energy; Techno-economic analysis; Wind energy,Computer software; Economic analysis; Electric energy storage; Energy conservation; Investments; Solar energy; Solar panels; Solar power generation; 100% renewable energy source; Current energy; Energy productions; Energy scenarios; Energy systems; Photovoltaics; Renewable energies; Renewable energy source; Sustainable energy; Techno-Economic analysis; alternative energy; electric vehicle; photovoltaic system; scenario analysis; sustainable development; wind power; Wind power,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85184079847
Jradi M.,"Jradi, M. (37064786900)",37064786900,Towards positive energy islands – a Danish case study,2023,Journal of Physics: Conference Series,2600,8,82017,,,,0,10.1088/1742-6596/2600/8/082017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180149158&doi=10.1088%2f1742-6596%2f2600%2f8%2f082017&partnerID=40&md5=2162d5078227f1769b1c5523049c54e5,"The Danish island of ""Ærø"" has the ambition of becoming the first Danish island to be self-sufficient in renewable energy and CO2 neutral by 2025, as well as fossil fuel free by 2030. This work investigates the feasibility of re-designing part of the island’s energy system to become the first Danish positive energy island (PEI), evaluating various design scenarios and opportunities for improving and modifying the current energy supply and distribution scheme. The district is modelled considering all building specifications and characteristics and the energy supply systems using the urban scale modelling tool City Energy Analyst (CEA). A simulation of the base-case scenario is performed to calibrate the performance. Different energy improvement strategies targeting building envelopes and energy generation and supply systems are created and implemented in CEA. Six improvement packages are created and simulated. It is demonstrated that a PEI could be built in the district under consideration through a comprehensive energy improvement package of envelope-targeting techniques, energy system upgrades, and the expansion of renewable energy systems. The package includes LED lighting, heat pump installation, and photovoltaic-thermal units. This will enable meeting the annual net need for electricity while producing 20% excess heat. © 2023 Institute of Physics Publishing. All rights reserved.",,Fossil fuels; Case-studies; CO2 neutral; Current energy; Energy; Energy supplies; Energy systems; Fossil-fuel-free; Positive energies; Re-designing; Renewable energies; Renewable energy resources,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85180149158
Hardy S.; Ergun H.; Van Hertem D.,"Hardy, Stephen (57207917230); Ergun, Hakan (36550222000); Van Hertem, Dirk (8335907500)",57207917230; 36550222000; 8335907500,A Methodology for Offshore Transmission System Optimization Considering Spacial Constraints,2023,"2023 IEEE Belgrade PowerTech, PowerTech 2023",,,,,,,2,10.1109/PowerTech55446.2023.10202698,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169412829&doi=10.1109%2fPowerTech55446.2023.10202698&partnerID=40&md5=41f6315680ba465b3494c277b2eebf86,"This work presents an optimization method for offshore wind transmission networks considering a three di-mensional spacial representation of multiple onshore connection points, bathymetry and no-go zones. The model accounts for capital expenditures (CAPEX) as well as operational expenditures such as cable and transformer losses, corrective maintenance (CM) and expected energy not transmitted (EENT). For accurate determination of operational expenditures, time series of wind generation profiles are used. The methodology combines an original offshore substation (OSS) placement algorithm, a greedy search algorithm of the combinatorial search space and a mixed integer linear programming (MILP) model. Two simplifications of the full three dimensional spacial model are presented to increase tractability of large scale test cases. To demonstrate the utility of the approach, the model is applied to the Belgian Exclusive Economic Area (EEA). Results for the full three dimensional problem and the two simplified variations are compared in terms of solution quality and computation time. © 2023 IEEE.",greedy algorithm; mixed-integer optimization; offshore grid; Offshore wind topology; transmission expansion planning; wind energy,Corrective maintenance; Electric power transmission; Electric power transmission networks; Electric substations; Integer programming; Offshore oil well production; Full three-dimensional; Greedy algorithms; Mixed integer optimization; Offshore grid; Offshore wind topology; Offshore winds; Offshores; Operational expenditures; Transmission expansion-planning; Transmission systems; Wind power,Conference paper,Final,,Scopus,2-s2.0-85169412829
Osypenko V.; Kaplun V.,"Osypenko, Volodymyr (57189090865); Kaplun, Victor (46761270700)",57189090865; 46761270700,Quasi-Markov Models of Point-Interval Forecasting in Energy Efficiency Management Energy Islands,2023,International Scientific and Technical Conference on Computer Sciences and Information Technologies,,,,,,,0,10.1109/CSIT61576.2023.10324185,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179837877&doi=10.1109%2fCSIT61576.2023.10324185&partnerID=40&md5=a05c4d937085b20d9f202414b03e25d9,"The paper presents a new approach to modeling the processes of dynamic energy efficiency management of energy islands based on long-term point-interval forecasting. The purpose of this work is to present the concept of long-term energy efficiency management of hybrid Energy Islands, as complex systems consisting of a certain number of relatively independent objects - MicroGrids. It is believed that the period of strategic planning from the point of view of the process-resource approach should be long-term (quarter-season-year) with appropriate detailing (for example, decade-month). Therefore, as an effective tool, it is advisable to have a long-term forecast in the form of a certain corridor. Such can be, for example, point-interval forecasts. To obtain such forecasts, the authors proposed a method based on quasi-Markov models. For this, the simple Markov model, as an analog of the autoregressive model of a stationary process 'without delay is extended to the so-called quasi-Markov model, as an analog of the autoregressive model of a stationary process 'with a delay That is, the decision to move to the next state of the object is made taking into account several previous states. An illustrative example that explains the results presented in another part of the work has been given. © 2023 IEEE.",energy islands; forecasting models; point-interval model; quasi-Markov process; renewable sources,Energy efficiency; Forecasting; Efficiency managements; Energy; Energy island; Forecasting models; Interval forecasting; Interval models; Markov modeling; Point-interval model; Quasi-markov process; Renewable sources; Markov processes,Conference paper,Final,,Scopus,2-s2.0-85179837877
Tao S.; Jiang F.,"Tao, Siyu (57209686376); Jiang, Fuqing (58811208100)",57209686376; 58811208100,Offshore grid planning considering restricted areas: An evolution game approach,2024,Renewable Energy,237,,121556,,,,0,10.1016/j.renene.2024.121556,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206258311&doi=10.1016%2fj.renene.2024.121556&partnerID=40&md5=a7676d1c4d3749e0986b8cfa1868b3dd,"In this paper, offshore wind farm cluster transmission network planning is examined in depth, based on the finite rational evolutionary game method. In the actual project, the game scenarios of offshore wind farm developers and transmission system operators and their respective interests are considered, while cable laying exclusion zones owing to the submarine environment are fully taken into account. Through simulation experiments, the significant effect of the proposed method in improving grid adaptability and interference immunity is verified. The results demonstrate that the proposed finite rational evolutionary game method increases the return on investment by 1.83 % compared to the traditional method, while the payoff ratio of the game participants is 12.81 % lower. In addition, the method excels in ensuring the feasibility of project implementation by successfully balancing the interests between the OWF developer and the power transmission system operator. This offers a new perspective for efficient planning of transmission networks for offshore wind farms that can better cope with complex engineering environments and balance the interests of all parties. © 2024 Elsevier Ltd",Evolution game; Offshore grid planning; Restricted areas; Wind farm cluster,Windmill; Evolution game; Evolutionary games; Game approach; Grid planning; Offshore grid planning; Offshore winds; Offshores; Restricted area; Transmission system operators; Wind farm clusters; cable laying; cluster analysis; energy planning; engineering; simulation; underwater environment; wind farm; Offshore wind farms,Article,Final,,Scopus,2-s2.0-85206258311
Ye H.; Huang Y.; Hao Y.; Miao S.; Qiu Q.; Liang Y.,"Ye, Hua (57220979540); Huang, Yan (57876470500); Hao, Yingpeng (57965738400); Miao, Shuanglin (58504868900); Qiu, Qingquan (59157716700); Liang, Yan (57993959400)",57220979540; 57876470500; 57965738400; 58504868900; 59157716700; 57993959400,Hydro-Pump/Generator-based Hydrogen-Pressure Energy Storage for Power Grid-Forming Support,2023,"2023 3rd New Energy and Energy Storage System Control Summit Forum, NEESSC 2023",,,,67,71,4.0,0,10.1109/NEESSC59976.2023.10349255,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182942241&doi=10.1109%2fNEESSC59976.2023.10349255&partnerID=40&md5=3ec502e1ba409a5638b5f4bd8ecaf9d2,"This paper presents a method to design water-compressed hydrogen energy storage system (WCH-ESS) and its active regulation function for the power grid. First, it proposed the system architecture of water-compressed hydrogen ESS station. Then, the station operation depends on the variable-speed constant frequency (VSCF) motor/generator as the core function. With the station and core function, the design method of active support function of power grid based on the WCH-ESS is proposed. Finally, the layout, function and risk avoidance design of the WCH-ESS based on an energy island is analyzed. This method can take the discarded wind/photovoltaic energy as the surplus electric energy to drive the motor to compress the hydrogen when the load of the power grid is low. For high-value electric energy, the system adopts the WCH-ESS to generate more power, which can participate in the frequency regulation of power grid to stabilize the power system. It can also be used as emergency backup to improve the consumption rate of wind power and photovoltaic power generation. ©2023 IEEE.",discarded wind/photovoltaic energy; grid-forming function; hydrogen energy storage system; variable-speed constant frequency (VSCF) motor/generator,Hydroelectric power plants; Hydrogen storage; Solar energy; Wind power; Discarded wind/photovoltaic energy; Grid-forming function; Hydrogen energy storage system; Hydrogen energy storages; Motor generator; Photovoltaic energy; Power grids; Storage systems; Variable speed constant frequency; Variable-speed constant frequency  motor/generator; Electric loads,Conference paper,Final,,Scopus,2-s2.0-85182942241
Akhmatov V.; Søndergaard Bukh B.; Liberty Skovgaard C.; Gellert B.C.,"Akhmatov, Vladislav (7003601721); Søndergaard Bukh, Bjarne (57791071600); Liberty Skovgaard, Chris (58249816300); Gellert, Bjarne Christian (55452452800)",7003601721; 57791071600; 58249816300; 55452452800,Novel Harmonic Distortion Prediction Methods for Meshed Transmission Grids with Large Amount of Underground Cables †,2023,Energies,16,9,3965,,,,2,10.3390/en16093965,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159332958&doi=10.3390%2fen16093965&partnerID=40&md5=1a3713391dd4f032c3046356f1aa95d9,"The tremendous and fast green transition in Denmark has initiated the large-scale grid-integration of renewable energy sources, electrification of energy consumption, and establishment of PtX and Energy Islands, setting goals for transmission grid development—such as the establishment of new connections—and for grid reconstruction—such as the extensive substitution of overhead lines (OHLs) with underground cables (UGCs). The share of UGCs in the Danish transmission grid is increasing. Presence of UGC has resulted in that resonances of the harmonic impedance characteristics of the transmission grid are brought within the harmonic order range coinciding with the harmonic emission sources and causing systemwide increase of the harmonic voltage distortion in the 400 kV transmission grid. The transformation of the 400 kV transmission grid has given rise to the need to predict harmonic voltage distortion using simulation models to secure an adequate power quality and support investment decisions and harmonic mitigation for the grid stage, which has not yet been established and which differs from the present grid. This paper presents the experiences of Energinet, the Transmission System Operator (TSO) in Denmark, with harmonic distortion in the Danish transmission grid due to the establishment of 400 kV UGCs, and the development of measurement-validated methods for harmonic distortion simulation and prediction. The paper also presents ongoing developments within, and research addressing, the prediction of harmonic distortion in meshed grids; for example, it explores where and how an analytical approach can replace observational studies with many numerical simulations. The methods shall make it possible to predict whether, where in the transmission grid, and for which harmonic orders connections that have not yet been commissioned may cause the violation of the planning levels, and which mitigations are necessary for bringing the harmonic distortion below the planning levels with respect to a given margin. © 2023 by the authors.",harmonic assessment; harmonic distortion; harmonic impedance; harmonic voltage measurement; meshed grid; method; simulation; statistical method; underground cables; validation,Electric power transmission; Forecasting; Harmonic analysis; Harmonic distortion; Investments; Overhead lines; Power quality; Renewable energy resources; Underground cables; Harmonic assessment; Harmonic impedances; Harmonic voltage measurement; Harmonic voltages; Harmonics distortion; Meshed grid; Method; Simulation; Transmission grids; Validation; Energy utilization,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85159332958
